Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0001,1419,496,1915,2682,71.40%,723,1074,1797
"Chief Justice, 1st Court of Appeals",0002,1002,370,1372,2099,65.36%,588,701,1289
"Chief Justice, 1st Court of Appeals",0003,875,336,1211,1625,74.52%,490,645,1135
"Chief Justice, 1st Court of Appeals",0004,955,369,1324,1709,77.47%,524,712,1236
"Chief Justice, 1st Court of Appeals",0005,759,380,1139,1470,77.48%,467,611,1078
"Chief Justice, 1st Court of Appeals",0006,1841,628,2469,4084,60.46%,1183,1189,2372
"Chief Justice, 1st Court of Appeals",0007,430,125,555,1002,55.39%,21,517,538
"Chief Justice, 1st Court of Appeals",0008,889,351,1240,1848,67.10%,604,588,1192
"Chief Justice, 1st Court of Appeals",0009,660,312,972,1861,52.23%,240,662,902
"Chief Justice, 1st Court of Appeals",0010,701,232,933,1830,50.98%,179,676,855
"Chief Justice, 1st Court of Appeals",0011,618,258,876,1748,50.11%,166,649,815
"Chief Justice, 1st Court of Appeals",0012,230,65,295,731,40.36%,144,136,280
"Chief Justice, 1st Court of Appeals",0013,1231,382,1613,2751,58.63%,1028,498,1526
"Chief Justice, 1st Court of Appeals",0014,989,429,1418,1924,73.70%,738,614,1352
"Chief Justice, 1st Court of Appeals",0015,1489,849,2338,2852,81.98%,1441,764,2205
"Chief Justice, 1st Court of Appeals",0016,681,189,870,1284,67.76%,416,417,833
"Chief Justice, 1st Court of Appeals",0017,451,293,744,1198,62.10%,309,387,696
"Chief Justice, 1st Court of Appeals",0018,744,367,1111,1456,76.30%,547,502,1049
"Chief Justice, 1st Court of Appeals",0019,549,293,942,1288,73.14%,317,575,892
"Chief Justice, 1st Court of Appeals",0020,1007,335,1342,2780,48.27%,449,821,1270
"Chief Justice, 1st Court of Appeals",0021,540,207,747,1229,60.78%,172,542,714
"Chief Justice, 1st Court of Appeals",0022,936,419,1355,2501,54.18%,230,1072,1302
"Chief Justice, 1st Court of Appeals",0023,132,74,206,551,37.39%,34,163,197
"Chief Justice, 1st Court of Appeals",0024,293,36,329,712,46.21%,67,249,316
"Chief Justice, 1st Court of Appeals",0025,239,292,531,1105,48.05%,28,486,514
"Chief Justice, 1st Court of Appeals",0026,835,313,1148,1969,58.30%,234,831,1065
"Chief Justice, 1st Court of Appeals",0027,1392,508,1900,3271,58.09%,412,1359,1771
"Chief Justice, 1st Court of Appeals",0028,1514,446,1960,3307,59.27%,1093,801,1894
"Chief Justice, 1st Court of Appeals",0029,548,490,1138,2722,41.81%,348,724,1072
"Chief Justice, 1st Court of Appeals",0030,1287,546,1833,2818,65.05%,559,1164,1723
"Chief Justice, 1st Court of Appeals",0031,784,453,1237,2656,46.57%,45,1141,1186
"Chief Justice, 1st Court of Appeals",0032,1254,504,1758,2728,64.44%,759,884,1643
"Chief Justice, 1st Court of Appeals",0033,2074,554,2528,3907,67.26%,1011,1435,2446
"Chief Justice, 1st Court of Appeals",0034,1512,517,2129,3044,69.94%,517,1512,2029
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
