Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Joe Danna,DEM Alan Rosen,Totals
"Constable, Precinct 1",0001,1416,496,1912,2682,71.29%,621,1173,1794
"Constable, Precinct 1",0002,1000,370,1370,2099,65.27%,548,733,1281
"Constable, Precinct 1",0003,875,336,1211,1625,74.52%,399,746,1145
"Constable, Precinct 1",0004,954,369,1323,1709,77.41%,391,854,1245
"Constable, Precinct 1",0005,759,380,1139,1470,77.48%,382,704,1086
"Constable, Precinct 1",0015,1489,849,2338,2852,81.98%,1174,1018,2192
"Constable, Precinct 1",0016,676,189,865,1284,67.37%,375,445,820
"Constable, Precinct 1",0030,1285,546,1831,2818,64.98%,502,1206,1708
"Constable, Precinct 1",0032,1245,504,1749,2728,64.11%,696,928,1624
"Constable, Precinct 1",0033,2072,554,2626,3907,67.21%,868,1560,2428
"Constable, Precinct 1",0034,1611,517,2128,3044,69.91%,444,1579,2023
"Constable, Precinct 1",0037,1521,409,1930,2467,78.23%,597,1209,1806
"Constable, Precinct 1",0038,1876,436,2312,3081,75.04%,656,1530,2186
"Constable, Precinct 1",0039,1703,492,2195,3070,71.50%,513,1549,2062
"Constable, Precinct 1",0040,275,107,382,527,72.49%,154,201,355
"Constable, Precinct 1",0042,438,109,547,1062,51.51%,14,524,538
"Constable, Precinct 1",0043,815,300,1115,1972,56.54%,442,614,1056
"Constable, Precinct 1",0052,1400,456,1856,2581,71.91%,792,939,1731
"Constable, Precinct 1",0053,1675,613,2288,3083,74.21%,844,1292,2136
"Constable, Precinct 1",0054,1052,211,1263,1619,78.01%,540,645,1185
"Constable, Precinct 1",0055,1252,410,1672,2094,79.85%,642,911,1553
"Constable, Precinct 1",0057,2043,567,2610,3325,78.50%,897,1558,2455
"Constable, Precinct 1",0058,1716,484,2200,3031,72.58%,899,1176,2075
"Constable, Precinct 1",0059,1589,439,2028,2671,75.93%,754,1182,1936
"Constable, Precinct 1",0060,1473,537,2010,2766,72.67%,451,1450,1901
"Constable, Precinct 1",0061,519,423,942,1847,51.00%,237,658,895
"Constable, Precinct 1",0070,2288,670,2958,3815,77.54%,1528,1265,2793
"Constable, Precinct 1",0071,2703,947,3650,5016,72.77%,1671,1784,3455
"Constable, Precinct 1",0073,813,282,1095,1621,67.55%,499,552,1051
"Constable, Precinct 1",0075,1000,286,1286,1684,76.37%,508,710,1218
"Constable, Precinct 1",0077,2,5,7,17,41.18%,1,6,7
