Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Daniel Vela,DEM Christopher (Chris) Diaz,Totals
"Constable, Precinct 2",0023,132,74,206,551,37.39%,37,159,196
"Constable, Precinct 2",0029,848,490,1138,2722,41.81%,318,764,1082
"Constable, Precinct 2",0036,1032,516,1548,3100,49.94%,315,1156,1471
"Constable, Precinct 2",0076,1015,427,1442,2441,59.07%,651,739,1390
"Constable, Precinct 2",0080,1174,466,1640,2840,57.75%,304,1258,1562
"Constable, Precinct 2",0081,776,273,1049,1964,53.41%,236,773,1009
"Constable, Precinct 2",0093,1048,619,1667,3536,47.14%,447,1154,1601
"Constable, Precinct 2",0094,202,63,265,580,45.69%,45,209,254
"Constable, Precinct 2",0134,593,345,938,1513,62.00%,342,549,891
"Constable, Precinct 2",0142,293,140,433,933,46.41%,86,321,407
"Constable, Precinct 2",0162,364,267,631,1312,48.09%,133,464,597
"Constable, Precinct 2",0163,1080,524,1604,3075,52.16%,318,1213,1531
"Constable, Precinct 2",0164,441,258,699,1407,49.68%,23,655,678
"Constable, Precinct 2",0172,245,103,348,661,52.65%,78,257,335
"Constable, Precinct 2",0181,697,439,1136,2195,51.75%,254,834,1088
"Constable, Precinct 2",0188,499,306,805,1711,47.05%,244,524,768
"Constable, Precinct 2",0190,571,326,897,1849,48.51%,253,599,852
"Constable, Precinct 2",0191,327,259,586,1408,41.62%,170,394,564
"Constable, Precinct 2",0208,909,338,1247,2256,55.27%,230,978,1208
"Constable, Precinct 2",0211,964,595,1559,3130,49.81%,413,1054,1467
"Constable, Precinct 2",0221,1032,473,1505,2598,57.93%,449,989,1438
"Constable, Precinct 2",0229,227,168,395,828,47.71%,88,286,374
"Constable, Precinct 2",0231,801,445,1246,2376,52.44%,248,941,1189
"Constable, Precinct 2",0257,997,622,1619,3497,46.30%,358,1199,1557
"Constable, Precinct 2",0259,1030,414,1444,2312,62.46%,42,1367,1409
"Constable, Precinct 2",0275,585,334,919,2059,44.63%,145,743,888
"Constable, Precinct 2",0278,1059,469,1528,2602,58.72%,629,841,1470
"Constable, Precinct 2",0280,444,362,806,1656,48.67%,217,553,770
"Constable, Precinct 2",0289,481,352,833,1584,52.59%,294,493,787
"Constable, Precinct 2",0301,737,392,1129,2337,48.31%,374,704,1078
"Constable, Precinct 2",0308,526,225,751,1457,51.54%,172,533,705
"Constable, Precinct 2",0328,425,286,711,1631,43.59%,199,483,682
"Constable, Precinct 2",0329,589,260,849,1621,52.38%,243,566,809
"Constable, Precinct 2",0349,458,369,827,1372,60.28%,464,337,801
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Daniel Vela,DEM Christopher (Chris) Diaz,Totals
"Constable, Precinct 2",0373,51,13,74,163,45.40%,0,70,70
"Constable, Precinct 2",0374,175,165,341,720,47.36%,71,260,331
"Constable, Precinct 2",0378,521,447,1068,1856,57.54%,620,401,1021
"Constable, Precinct 2",0379,857,388,1245,2149,57.93%,103,1106,1209
"Constable, Precinct 2",0394,235,126,362,914,39.61%,119,226,345
"Constable, Precinct 2",0417,1104,397,1501,2589,57.98%,563,883,1446
"Constable, Precinct 2",0418,1335,663,1999,3940,50.74%,597,1299,1896
"Constable, Precinct 2",0474,1417,624,2041,3127,65.27%,1269,693,1962
"Constable, Precinct 2",0475,791,261,1052,1936,54.34%,381,626,1007
"Constable, Precinct 2",0476,1077,405,1482,2458,60.29%,672,763,1435
"Constable, Precinct 2",0526,235,157,392,820,47.80%,82,292,374
"Constable, Precinct 2",0527,155,38,194,580,33.45%,77,108,185
"Constable, Precinct 2",0528,17,8,25,78,32.05%,1,23,24
"Constable, Precinct 2",0536,2104,1053,3157,5637,56.00%,936,2070,3006
"Constable, Precinct 2",0537,1958,464,2422,3174,76.31%,1585,750,2335
"Constable, Precinct 2",0545,2015,468,2483,3949,62.88%,963,1419,2382
"Constable, Precinct 2",0653,185,110,295,604,48.84%,61,222,283
"Constable, Precinct 2",0654,2381,698,3079,5063,60.81%,1335,1658,2993
"Constable, Precinct 2",0655,1959,761,2720,4495,60.51%,1397,1197,2594
"Constable, Precinct 2",0708,152,98,260,592,43.92%,91,163,254
"Constable, Precinct 2",0742,1532,498,2030,2859,71.00%,1205,736,1941
"Constable, Precinct 2",0749,115,1,116,432,26.85%,17,95,112
"Constable, Precinct 2",0762,924,303,1227,1828,67.12%,512,670,1182
"Constable, Precinct 2",0763,370,264,634,1249,50.76%,195,412,607
"Constable, Precinct 2",0769,85,14,99,184,53.80%,6,90,96
"Constable, Precinct 2",0774,150,55,215,426,50.70%,48,163,211
"Constable, Precinct 2",0777,201,105,306,767,39.90%,73,223,296
"Constable, Precinct 2",0782,1048,368,1416,2355,60.13%,815,534,1349
"Constable, Precinct 2",0786,395,177,573,1258,45.55%,182,366,548
"Constable, Precinct 2",0791,9,3,12,29,41.38%,3,9,12
"Constable, Precinct 2",0797,0,0,0,0,0.00%,0,0,0
"Constable, Precinct 2",0798,222,142,354,521,69.87%,125,224,349
"Constable, Precinct 2",0801,90,44,134,261,51.34%,39,90,129
"Constable, Precinct 2",0810,47,31,78,197,39.59%,12,58,70
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Daniel Vela,DEM Christopher (Chris) Diaz,Totals
