Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Webb,DEM Sherman Eagleton,Totals
"Constable, Precinct 3",0007,430,125,555,1002,55.39%,21,516,537
"Constable, Precinct 3",0012,230,65,295,731,40.36%,131,150,281
"Constable, Precinct 3",0013,1230,382,1612,2751,58.60%,952,587,1539
"Constable, Precinct 3",0028,1513,446,1959,3307,59.24%,997,909,1906
"Constable, Precinct 3",0045,2263,1021,3284,5740,57.21%,563,2577,3140
"Constable, Precinct 3",0063,767,391,1158,1903,60.85%,777,355,1132
"Constable, Precinct 3",0083,1829,540,2369,4174,56.76%,874,1410,2284
"Constable, Precinct 3",0096,828,306,1134,2060,55.05%,147,944,1091
"Constable, Precinct 3",0097,2511,467,2978,4414,67.47%,1918,998,2916
"Constable, Precinct 3",0098,1385,594,1979,3161,62.61%,1565,357,1922
"Constable, Precinct 3",0099,681,295,976,2192,44.53%,385,555,940
"Constable, Precinct 3",0100,529,276,805,1825,44.11%,310,471,781
"Constable, Precinct 3",0102,580,227,807,1907,42.32%,188,582,770
"Constable, Precinct 3",0103,2140,985,3125,5097,61.31%,1327,1726,3053
"Constable, Precinct 3",0104,913,211,1124,1920,58.54%,21,1073,1094
"Constable, Precinct 3",0115,609,272,881,1843,47.80%,84,761,845
"Constable, Precinct 3",0118,1823,530,2353,3181,73.97%,1216,1034,2250
"Constable, Precinct 3",0141,217,153,370,904,40.93%,189,157,346
"Constable, Precinct 3",0150,582,223,805,1574,51.14%,33,746,779
"Constable, Precinct 3",0151,282,107,389,826,47.09%,18,356,374
"Constable, Precinct 3",0205,771,171,942,1724,54.64%,23,896,919
"Constable, Precinct 3",0220,832,306,1138,2362,48.18%,673,418,1091
"Constable, Precinct 3",0248,453,347,800,2147,37.26%,162,606,768
"Constable, Precinct 3",0249,1124,365,1489,2825,52.71%,845,606,1451
"Constable, Precinct 3",0250,288,183,471,925,50.92%,18,445,463
"Constable, Precinct 3",0251,806,378,1184,2132,55.53%,64,1096,1160
"Constable, Precinct 3",0252,925,309,1235,2292,53.88%,26,1179,1205
"Constable, Precinct 3",0253,759,311,1070,2154,49.68%,27,1023,1050
"Constable, Precinct 3",0254,411,280,691,1675,41.25%,147,509,656
"Constable, Precinct 3",0266,737,443,1180,2147,54.96%,394,733,1127
"Constable, Precinct 3",0353,1715,659,2374,4156,57.12%,358,1952,2310
"Constable, Precinct 3",0354,1569,429,1998,3520,56.76%,428,1500,1928
"Constable, Precinct 3",0368,433,122,555,1024,54.20%,136,404,540
"Constable, Precinct 3",0371,210,78,288,537,53.63%,8,275,283
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Webb,DEM Sherman Eagleton,Totals
"Constable, Precinct 3",0375,745,510,1255,2836,44.25%,378,820,1198
"Constable, Precinct 3",0376,753,344,1097,2060,53.25%,377,668,1045
"Constable, Precinct 3",0380,2732,551,3283,4380,74.95%,1674,1508,3182
"Constable, Precinct 3",0381,1185,432,1617,3141,51.48%,555,998,1553
"Constable, Precinct 3",0382,429,206,635,1035,61.35%,366,249,615
"Constable, Precinct 3",0386,1658,419,2077,3105,66.89%,1318,713,2031
"Constable, Precinct 3",0387,1702,780,2482,4340,57.19%,1349,1077,2426
"Constable, Precinct 3",0396,1035,204,1239,2072,59.80%,36,1170,1206
"Constable, Precinct 3",0401,703,257,960,1971,48.71%,46,873,919
"Constable, Precinct 3",0413,1546,456,2002,3081,64.98%,693,1244,1937
"Constable, Precinct 3",0414,1573,514,2087,3586,58.20%,1355,662,2017
"Constable, Precinct 3",0421,1240,273,1513,2023,74.79%,675,784,1459
"Constable, Precinct 3",0454,1043,288,1331,2509,53.05%,23,1275,1298
"Constable, Precinct 3",0456,1404,553,1957,3793,51.60%,930,963,1893
"Constable, Precinct 3",0460,1513,472,2085,3280,63.57%,474,1543,2017
"Constable, Precinct 3",0497,916,281,1197,2148,55.73%,47,1115,1162
"Constable, Precinct 3",0502,1366,293,1659,2595,63.93%,986,647,1633
"Constable, Precinct 3",0531,1234,166,1400,2250,62.22%,798,570,1368
"Constable, Precinct 3",0532,478,140,618,1058,58.41%,380,228,608
"Constable, Precinct 3",0533,352,159,521,1164,44.76%,225,265,490
"Constable, Precinct 3",0582,543,232,775,1607,48.23%,42,699,741
"Constable, Precinct 3",0584,367,120,487,1062,45.86%,33,430,463
"Constable, Precinct 3",0585,829,280,1109,2346,47.27%,50,1024,1074
"Constable, Precinct 3",0604,1816,375,2191,3189,68.70%,1640,500,2140
"Constable, Precinct 3",0605,1711,599,2310,4217,54.78%,500,1713,2213
"Constable, Precinct 3",0611,980,229,1209,2527,47.84%,44,1139,1183
"Constable, Precinct 3",0636,2303,922,3225,4569,70.58%,2689,448,3137
"Constable, Precinct 3",0656,1106,401,1507,2737,55.06%,67,1398,1465
"Constable, Precinct 3",0700,726,247,973,1536,63.35%,759,193,952
"Constable, Precinct 3",0719,624,223,847,1644,51.52%,389,421,810
"Constable, Precinct 3",0725,976,294,1270,2336,54.37%,473,746,1219
"Constable, Precinct 3",0733,55,25,80,303,26.40%,25,53,78
"Constable, Precinct 3",0739,978,440,1418,2971,47.73%,542,827,1369
"Constable, Precinct 3",0740,280,169,449,1005,44.68%,196,234,430
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Webb,DEM Sherman Eagleton,Totals
"Constable, Precinct 3",0741,923,262,1185,1895,62.53%,257,872,1129
"Constable, Precinct 3",0743,54,60,114,234,48.72%,37,69,106
"Constable, Precinct 3",0784,408,119,527,1062,49.62%,18,492,510
"Constable, Precinct 3",0799,58,26,84,171,49.12%,15,68,83
"Constable, Precinct 3",0824,1057,410,1467,2762,53.11%,313,1110,1423
"Constable, Precinct 3",0827,218,234,452,1042,43.38%,134,305,439
"Constable, Precinct 3",0831,8,5,13,36,36.11%,5,7,12
"Constable, Precinct 3",0832,124,50,174,364,47.80%,40,125,165
"Constable, Precinct 3",0847,993,330,1323,2310,57.27%,338,935,1273
"Constable, Precinct 3",0872,15,6,22,68,32.35%,12,10,22
"Constable, Precinct 3",0937,0,0,0,0,0.00%,0,0,0
"Constable, Precinct 3",0954,0,0,0,0,0.00%,0,0,0
"Constable, Precinct 3",0963,225,91,316,528,59.85%,131,170,301
"Constable, Precinct 3",0954,2145,325,2470,3179,77.70%,1378,1013,2391
"Constable, Precinct 3",0965,101,35,136,345,39.42%,86,46,132
"Constable, Precinct 3",0976,190,152,342,712,48.03%,156,168,324
"Constable, Precinct 3",0988,52,15,77,117,65.81%,53,23,76
"Constable, Precinct 3",1008,620,107,727,1011,71.91%,501,213,714
"Constable, Precinct 3",Totals;,76579,26088,102667,180444,68666,60729,99662
