Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Herman,DEM Jeff McGowen,Totals
"Constable, Precinct 4",0006,1840,628,2468,4084,60.43%,1164,1214,2378
"Constable, Precinct 4",0035,5,0,5,14,35.71%,3,2,5
"Constable, Precinct 4",0041,712,264,976,1518,64.30%,403,532,935
"Constable, Precinct 4",0049,1548,731,2277,3709,61.39%,1476,720,2196
"Constable, Precinct 4",0074,2503,268,2771,3578,77.45%,2042,622,2664
"Constable, Precinct 4",0082,1585,756,2341,3539,66.15%,1652,609,2261
"Constable, Precinct 4",0108,1461,448,1909,3674,51.96%,908,903,1811
"Constable, Precinct 4",0110,1661,481,2142,3222,66.48%,1217,858,2075
"Constable, Precinct 4",0111,2599,888,3585,4792,74.39%,2463,977,3440
"Constable, Precinct 4",0112,1507,598,2105,3188,66.03%,1374,649,2023
"Constable, Precinct 4",0113,1307,418,1725,2718,63.47%,887,781,1668
"Constable, Precinct 4",0114,2290,506,2796,3885,71.97%,2018,677,2695
"Constable, Precinct 4",0124,3136,888,4024,5393,74.62%,3103,832,3935
"Constable, Precinct 4",0125,1207,400,1607,2593,61.97%,840,711,1551
"Constable, Precinct 4",0126,2017,427,2444,3380,72.31%,2031,324,2355
"Constable, Precinct 4",0127,978,214,1192,2091,57.01%,830,310,1140
"Constable, Precinct 4",0137,993,259,1252,1986,63.04%,797,408,1205
"Constable, Precinct 4",0173,2259,683,2942,3966,74.18%,2174,656,2830
"Constable, Precinct 4",0199,1929,815,2744,4063,67.54%,2021,611,2632
"Constable, Precinct 4",0225,1353,596,1949,3689,52.83%,815,1057,1872
"Constable, Precinct 4",0244,1409,538,1947,3296,59.07%,907,963,1870
"Constable, Precinct 4",0245,2100,811,2911,4679,62.21%,1797,994,2791
"Constable, Precinct 4",0246,2209,482,2691,3971,67.77%,1671,948,2619
"Constable, Precinct 4",0263,2208,665,2873,4016,71.54%,2038,743,2781
"Constable, Precinct 4",0283,2351,1143,3494,6365,54.89%,477,2904,3381
"Constable, Precinct 4",0300,3385,728,4113,5480,75.05%,3041,909,3950
"Constable, Precinct 4",0334,248,104,350,786,44.53%,55,282,337
"Constable, Precinct 4",0340,2040,654,2694,4012,67.15%,1884,695,2579
"Constable, Precinct 4",0342,311,225,536,1092,49.08%,113,397,510
"Constable, Precinct 4",0351,2855,570,3425,4799,71.37%,2554,756,3310
"Constable, Precinct 4",0357,1882,557,2439,3685,66.19%,1727,612,2339
"Constable, Precinct 4",0358,775,376,1151,2634,43.70%,132,978,1110
"Constable, Precinct 4",0363,1826,635,2461,4160,59.16%,984,1416,2400
"Constable, Precinct 4",0370,2525,627,3152,4531,69.57%,2233,822,3055
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Herman,DEM Jeff McGowen,Totals
"Constable, Precinct 4",0388,2899,711,3610,5413,66.69%,1681,1803,3484
"Constable, Precinct 4",0399,1291,546,1837,3340,55.00%,675,1110,1785
"Constable, Precinct 4",0405,1910,457,2367,3067,77.18%,1766,550,2316
"Constable, Precinct 4",0410,381,96,477,934,51.07%,88,376,464
"Constable, Precinct 4",0442,2441,685,3126,4315,72.44%,2507,525,3032
"Constable, Precinct 4",0447,2411,464,2875,3727,77.14%,1847,921,2768
"Constable, Precinct 4",0449,73,26,99,225,44.00%,10,88,98
"Constable, Precinct 4",0451,1719,367,2086,2771,75.28%,1635,383,2018
"Constable, Precinct 4",0452,1871,662,2533,3789,66.85%,1694,759,2453
"Constable, Precinct 4",0457,0,0,0,0,0.00%,0,0,0
"Constable, Precinct 4",0459,2362,432,2794,3942,70.88%,2073,627,2700
"Constable, Precinct 4",0464,967,582,1549,2343,66.11%,945,533,1478
"Constable, Precinct 4",0465,1628,594,2222,3778,58.81%,999,1134,2133
"Constable, Precinct 4",0466,2274,509,2783,4327,64.32%,1398,1302,2700
"Constable, Precinct 4",0468,1379,747,2126,4040,52.62%,516,1517,2033
"Constable, Precinct 4",0469,1867,462,2329,3257,71.51%,1755,490,2245
"Constable, Precinct 4",0477,2027,640,2667,4010,66.51%,1796,773,2569
"Constable, Precinct 4",0478,2271,683,2954,4696,62.90%,1807,1038,2845
"Constable, Precinct 4",0479,1978,755,2733,3851,70.97%,1986,674,2660
"Constable, Precinct 4",0480,1445,538,1983,2978,66.59%,1333,600,1933
"Constable, Precinct 4",0481,1755,667,2423,3609,67.14%,1728,595,2323
"Constable, Precinct 4",0482,2259,618,2877,4405,65.31%,1910,878,2788
"Constable, Precinct 4",0484,2020,700,2720,3981,68.32%,1701,926,2627
"Constable, Precinct 4",0485,2118,567,2685,4051,66.28%,1885,714,2599
"Constable, Precinct 4",0486,2310,721,3031,4195,72.25%,2268,662,2930
"Constable, Precinct 4",0493,1404,555,1959,3338,58.69%,709,1160,1869
"Constable, Precinct 4",0495,1414,376,1790,2488,71.95%,1180,527,1707
"Constable, Precinct 4",0500,1869,651,2520,3698,68.14%,1580,860,2440
"Constable, Precinct 4",0503,1397,306,1703,2236,76.16%,1260,385,1645
"Constable, Precinct 4",0513,1754,413,2167,3003,72.16%,1533,553,2086
"Constable, Precinct 4",0514,2286,613,2899,4378,66.22%,1977,823,2800
"Constable, Precinct 4",0515,1835,468,2304,3182,72.41%,1799,436,2235
"Constable, Precinct 4",0516,1316,363,1679,2799,59.99%,808,822,1630
"Constable, Precinct 4",0518,1886,676,2562,4049,63.27%,1457,1005,2462
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Herman,DEM Jeff McGowen,Totals
"Constable, Precinct 4",0519,1421,518,1939,3098,62.59%,1303,569,1872
"Constable, Precinct 4",0520,1786,670,2456,5202,47.21%,371,2032,2403
"Constable, Precinct 4",0529,2107,434,2541,3842,66.14%,2054,386,2440
"Constable, Precinct 4",0539,811,234,1045,1535,68.08%,559,449,1008
"Constable, Precinct 4",0546,1524,278,1802,2471,72.93%,1491,267,1758
"Constable, Precinct 4",0548,882,395,1277,2339,54.60%,554,691,1245
"Constable, Precinct 4",0549,1105,447,1552,2786,55.71%,205,1313,1518
"Constable, Precinct 4",0550,1171,553,1724,3245,53.13%,719,960,1679
"Constable, Precinct 4",0551,2586,793,3379,4428,76.31%,2533,745,3278
"Constable, Precinct 4",0552,2090,784,2874,3762,76.40%,2282,505,2787
"Constable, Precinct 4",0563,2069,337,2406,3468,69.38%,1800,519,2319
"Constable, Precinct 4",0575,1905,535,2440,3557,68.60%,1339,1012,2351
"Constable, Precinct 4",0586,1790,790,2580,4521,57.07%,1421,1054,2475
