Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ted Heap,Totals
"Constable, Precinct 5",0008,889,351,1240,1848,67.10%,708,708
"Constable, Precinct 5",0014,989,429,1418,1924,73.70%,843,843
"Constable, Precinct 5",0050,1836,680,2516,4314,58.32%,1432,1432
"Constable, Precinct 5",0056,698,283,981,1393,70.42%,629,629
"Constable, Precinct 5",0095,2022,534,2556,3394,75.31%,1809,1809
"Constable, Precinct 5",0116,1898,599,2497,3194,78.18%,1983,1983
"Constable, Precinct 5",0119,2755,409,3164,4682,67.58%,2580,2580
"Constable, Precinct 5",0120,1804,588,2392,3732,64.09%,1599,1599
"Constable, Precinct 5",0121,354,221,575,966,59.52%,395,395
"Constable, Precinct 5",0129,2540,1052,3592,5172,69.45%,2350,2350
"Constable, Precinct 5",0130,1310,433,1743,2289,76.15%,1300,1300
"Constable, Precinct 5",0143,1868,267,2135,2582,82.69%,1540,1540
"Constable, Precinct 5",0146,1000,494,1494,2073,72.07%,788,788
"Constable, Precinct 5",0149,2938,573,3511,4756,73.82%,2247,2247
"Constable, Precinct 5",0155,2275,576,2851,4065,70.14%,1937,1937
"Constable, Precinct 5",0165,1169,469,1638,2460,66.59%,1045,1045
"Constable, Precinct 5",0176,767,375,1142,1533,74.49%,688,688
"Constable, Precinct 5",0209,0,0,0,0,0.00%,0,0
"Constable, Precinct 5",0213,1782,795,2577,3406,75.66%,2062,2062
"Constable, Precinct 5",0234,2419,728,3147,4042,77.86%,2374,2374
"Constable, Precinct 5",0256,1398,583,1981,3321,59.65%,845,845
"Constable, Precinct 5",0258,1948,608,2556,3346,76.39%,1975,1975
"Constable, Precinct 5",0260,547,227,774,1300,59.54%,433,433
"Constable, Precinct 5",0262,1847,676,2523,4397,57.38%,1551,1551
"Constable, Precinct 5",0264,1110,627,1737,3101,56.01%,1025,1025
"Constable, Precinct 5",0265,1991,608,2599,3582,72.56%,1957,1957
"Constable, Precinct 5",0269,1305,365,1670,2114,79.00%,1312,1312
"Constable, Precinct 5",0272,870,415,1285,2334,55.06%,613,613
"Constable, Precinct 5",0273,1175,647,1822,2485,73.32%,1475,1475
"Constable, Precinct 5",0274,1261,311,1572,2223,70.72%,1066,1066
"Constable, Precinct 5",0281,1287,590,1877,2507,74.87%,1132,1132
"Constable, Precinct 5",0282,773,604,1377,2144,64.23%,862,862
"Constable, Precinct 5",0284,1585,574,2159,4079,52.93%,878,878
"Constable, Precinct 5",0293,778,475,1253,1811,69.19%,663,663
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ted Heap,Totals
"Constable, Precinct 5",0296,701,385,1086,1705,63.70%,625,625
"Constable, Precinct 5",0297,729,341,1070,2055,52.07%,479,479
"Constable, Precinct 5",0298,1095,387,1482,2236,66.28%,867,867
"Constable, Precinct 5",0303,1896,692,2588,3375,76.68%,2050,2050
"Constable, Precinct 5",0304,1190,474,1664,2326,71.54%,1067,1067
"Constable, Precinct 5",0305,2154,645,2799,4838,57.85%,1229,1229
"Constable, Precinct 5",0309,2160,591,2751,3495,78.71%,2253,2253
"Constable, Precinct 5",0310,709,326,1035,1464,70.70%,698,698
"Constable, Precinct 5",0311,930,643,1573,3222,48.82%,835,835
"Constable, Precinct 5",0312,1705,552,2257,3724,60.61%,1317,1317
"Constable, Precinct 5",0314,2997,817,3814,5606,68.03%,2480,2480
"Constable, Precinct 5",0315,801,353,1154,1636,70.54%,774,774
"Constable, Precinct 5",0316,739,340,1079,1513,71.32%,687,687
"Constable, Precinct 5",0317,593,252,845,1661,50.87%,347,347
"Constable, Precinct 5",0330,853,326,1189,2146,55.41%,652,652
"Constable, Precinct 5",0331,884,234,1118,1612,69.35%,788,788
"Constable, Precinct 5",0335,489,293,782,1679,46.58%,281,281
"Constable, Precinct 5",0338,1626,632,2258,5001,45.15%,790,790
"Constable, Precinct 5",0356,1542,582,2124,3126,67.95%,1357,1357
"Constable, Precinct 5",0362,2855,553,3418,5161,66.23%,2635,2635
"Constable, Precinct 5",0385,1141,561,1702,2207,77.12%,1338,1338
"Constable, Precinct 5",0395,1007,371,1378,1875,73.49%,1042,1042
"Constable, Precinct 5",0398,1761,654,2415,4200,57.50%,1305,1305
"Constable, Precinct 5",0400,1467,372,1839,2661,69.11%,1353,1353
