Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Sandlin,DEM Heather Perry,Totals
"Constable, Precinct 8",0051,828,271,1099,1734,63.38%,814,254,1068
"Constable, Precinct 8",0084,573,257,830,1421,58.41%,579,223,802
"Constable, Precinct 8",0088,338,141,479,784,61.10%,320,136,456
"Constable, Precinct 8",0090,1858,890,2746,3883,70.72%,2015,638,2653
"Constable, Precinct 8",0091,873,339,1012,1724,58.70%,555,393,948
"Constable, Precinct 8",0092,1283,474,1737,2260,76.86%,1164,505,1889
"Constable, Precinct 8",0170,883,262,925,1958,47.24%,412,448,860
"Constable, Precinct 8",0174,1718,707,2423,3389,71.50%,1644,676,2320
"Constable, Precinct 8",0242,508,314,820,1744,47.02%,366,406,772
"Constable, Precinct 8",0267,421,293,714,1433,49.83%,251,431,682
"Constable, Precinct 8",0277,573,338,911,1898,48.00%,312,568,880
"Constable, Precinct 8",0279,789,314,1103,2073,53.21%,603,455,1058
"Constable, Precinct 8",0290,705,332,1037,1623,63.89%,748,260,1008
"Constable, Precinct 8",0302,1197,591,1788,3277,54.56%,883,833,1716
"Constable, Precinct 8",0306,1098,299,1395,1896,73.58%,1025,311,1336
"Constable, Precinct 8",0307,1458,801,2257,3270,69.02%,1518,636,2154
"Constable, Precinct 8",0333,1385,942,2327,3296,70.60%,1618,601,2219
"Constable, Precinct 8",0346,1,0,1,1,100.00%,0,0,0
"Constable, Precinct 8",0347,1481,618,2079,3614,57.53%,1191,802,1993
"Constable, Precinct 8",0348,830,242,1072,1796,59.69%,725,310,1035
"Constable, Precinct 8",0352,2023,538,2561,4278,59.86%,1763,710,2473
"Constable, Precinct 8",0377,1381,643,2024,3137,64.52%,1536,422,1958
"Constable, Precinct 8",0391,988,336,1322,1978,66.84%,784,482,1266
"Constable, Precinct 8",0393,427,257,684,1274,53.69%,316,337,653
"Constable, Precinct 8",0404,1033,445,1478,2717,54.40%,713,722,1435
"Constable, Precinct 8",0415,1078,573,1649,2284,72.20%,1139,443,1582
"Constable, Precinct 8",0416,1443,845,2288,4009,57.07%,1120,1062,2182
"Constable, Precinct 8",0419,1188,477,1643,2702,60.81%,950,636,1586
"Constable, Precinct 8",0420,2887,731,3418,4946,69.11%,2782,546,3328
"Constable, Precinct 8",0470,555,232,787,1358,57.95%,575,182,757
"Constable, Precinct 8",0471,1057,458,1515,2473,61.26%,1139,334,1473
"Constable, Precinct 8",0473,944,390,1334,1787,74.65%,930,356,1286
"Constable, Precinct 8",0534,1895,577,2472,3918,63.09%,1726,657,2383
"Constable, Precinct 8",0535,132,62,194,413,46.97%,60,121,181
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Sandlin,DEM Heather Perry,Totals
"Constable, Precinct 8",0561,1023,624,1647,3138,52.49%,960,613,1573
"Constable, Precinct 8",0568,1833,697,2530,3638,69.54%,1635,766,2401
"Constable, Precinct 8",0662,2267,571,2838,4002,70.91%,2288,484,2772
"Constable, Precinct 8",0665,1327,360,1687,2354,71.67%,1351,288,1639
"Constable, Precinct 8",0673,1625,467,2092,3051,68.57%,1657,380,2037
"Constable, Precinct 8",0679,1718,529,2247,3542,63.44%,1571,596,2167
"Constable, Precinct 8",0682,2112,690,2802,4313,64.97%,1987,734,2721
"Constable, Precinct 8",0692,1278,678,1956,3118,62.73%,1371,502,1873
"Constable, Precinct 8",0695,628,315,943,1842,51.19%,542,355,897
"Constable, Precinct 8",0696,723,312,1035,2027,51.06%,613,392,1005
"Constable, Precinct 8",0699,1276,398,1674,2387,70.13%,1095,494,1589
"Constable, Precinct 8",0703,899,528,1427,1943,73.44%,1025,349,1374
"Constable, Precinct 8",0704,1698,512,2210,3121,70.81%,1809,355,2164
"Constable, Precinct 8",0715,553,239,792,1549,51.13%,364,395,759
"Constable, Precinct 8",0716,1215,419,1635,2720,60.11%,1142,438,1580
"Constable, Precinct 8",0718,2243,872,3115,4412,70.60%,2070,912,2982
"Constable, Precinct 8",0721,1466,603,2069,2926,70.71%,1365,625,1990
"Constable, Precinct 8",0724,395,146,541,800,67.63%,369,154,523
"Constable, Precinct 8",0728,399,198,597,942,63.38%,353,210,563
"Constable, Precinct 8",0732,791,449,1240,1943,63.82%,717,469,1186
"Constable, Precinct 8",0744,1009,444,1453,2103,69.09%,864,531,1395
"Constable, Precinct 8",0745,1213,446,1659,2543,65.24%,1037,558,1595
"Constable, Precinct 8",0746,244,121,365,732,49.86%,176,165,341
"Constable, Precinct 8",0748,563,245,808,1556,51.93%,388,392,780
"Constable, Precinct 8",0750,294,122,416,809,51.42%,224,170,394
"Constable, Precinct 8",0752,659,227,886,1484,59.70%,591,260,851
"Constable, Precinct 8",0755,1782,955,2737,5015,54.58%,930,1677,2607
"Constable, Precinct 8",0770,103,42,145,388,37.37%,46,94,140
"Constable, Precinct 8",0793,984,416,1400,2620,53.44%,726,608,1334
"Constable, Precinct 8",0907,53,37,90,201,44.78%,9,79,88
"Constable, Precinct 8",0920,41,13,54,79,68.35%,33,19,52
"Constable, Precinct 8",0941,284,144,428,870,49.20%,203,201,404
"Constable, Precinct 8",0950,0,0,0,0,0.00%,0,0,0
"Constable, Precinct 8",0972,0,0,0,0,0.00%,0,0,0
