Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0001,1416,496,1912,2682,71.29%,641,1142,1783
County Attorney,0002,1000,370,1370,2099,65.27%,543,727,1270
County Attorney,0003,875,336,1211,1625,74.52%,410,734,1144
County Attorney,0004,954,369,1323,1709,77.41%,422,820,1242
County Attorney,0005,759,380,1139,1470,77.48%,380,696,1076
County Attorney,0006,1840,628,2468,4084,60.43%,1150,1207,2357
County Attorney,0007,430,125,555,1002,55.39%,16,524,540
County Attorney,0008,889,351,1240,1848,67.10%,547,640,1187
County Attorney,0009,658,312,970,1861,52.12%,215,689,904
County Attorney,0010,701,232,933,1830,50.98%,174,678,852
County Attorney,0011,617,258,875,1748,50.06%,151,658,809
County Attorney,0012,230,65,295,731,40.36%,143,136,279
County Attorney,0013,1230,382,1612,2751,58.60%,1014,524,1538
County Attorney,0014,989,429,1418,1924,73.70%,632,718,1350
County Attorney,0015,1489,849,2338,2852,81.98%,1207,993,2200
County Attorney,0016,676,189,865,1284,67.37%,383,440,823
County Attorney,0017,451,293,744,1198,62.10%,277,417,694
County Attorney,0018,743,367,1110,1456,76.24%,469,589,1058
County Attorney,0019,547,293,940,1288,72.98%,292,592,884
County Attorney,0020,1007,335,1342,2780,48.27%,401,855,1256
County Attorney,0021,539,207,746,1229,60.70%,154,556,710
County Attorney,0022,935,419,1354,2501,54.14%,206,1098,1304
County Attorney,0023,132,74,206,551,37.39%,33,164,197
County Attorney,0024,292,36,328,712,46.07%,56,258,314
County Attorney,0025,239,292,531,1105,48.05%,22,491,513
County Attorney,0026,834,313,1147,1969,58.25%,220,849,1069
County Attorney,0027,1391,508,1899,3271,58.06%,367,1402,1769
County Attorney,0028,1513,446,1959,3307,59.24%,1071,821,1892
County Attorney,0029,548,490,1138,2722,41.81%,317,755,1072
County Attorney,0030,1285,546,1831,2818,64.98%,509,1203,1712
County Attorney,0031,784,453,1237,2656,46.57%,33,1152,1185
County Attorney,0032,1245,504,1749,2728,64.11%,712,921,1633
County Attorney,0033,2072,554,2525,3907,67.21%,900,1532,2432
County Attorney,0034,1511,517,2128,3044,69.91%,437,1590,2027
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0035,5,0,5,14,35.71%,3,2,5
County Attorney,0036,1032,516,1548,3100,49.94%,313,1157,1470
County Attorney,0037,1521,409,1930,2467,78.23%,614,1190,1804
County Attorney,0038,1876,436,2312,3081,75.04%,697,1489,2186
County Attorney,0039,1703,492,2195,3070,71.50%,529,1525,2054
County Attorney,0040,275,107,382,527,72.49%,142,218,360
County Attorney,0041,712,264,976,1518,64.30%,389,542,931
County Attorney,0042,438,109,547,1062,51.51%,15,520,535
County Attorney,0043,815,300,1115,1972,56.54%,437,615,1052
County Attorney,0044,726,310,1036,2126,48.73%,199,750,949
County Attorney,0045,2263,1021,3284,5740,57.21%,594,2528,3122
County Attorney,0046,875,341,1216,2568,47.35%,176,967,1143
County Attorney,0047,505,268,773,1618,47.78%,42,711,753
County Attorney,0048,348,168,516,967,53.36%,49,436,485
County Attorney,0049,1546,731,2277,3709,61.39%,1460,726,2186
County Attorney,0050,1836,680,2516,4314,58.32%,1171,1256,2427
County Attorney,0051,828,271,1099,1734,63.38%,783,274,1057
County Attorney,0052,1400,456,1856,2581,71.91%,804,936,1740
