Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
"County Commissioner, Precinct 1",0003,875,336,1211,1625,74.52%,840,840
"County Commissioner, Precinct 1",0004,954,369,1323,1709,77.41%,931,931
"County Commissioner, Precinct 1",0005,759,380,1139,1470,77.48%,794,794
"County Commissioner, Precinct 1",0007,430,125,555,1002,55.39%,527,527
"County Commissioner, Precinct 1",0014,989,429,1418,1924,73.70%,831,831
"County Commissioner, Precinct 1",0016,676,189,865,1284,67.37%,528,528
"County Commissioner, Precinct 1",0017,451,293,744,1198,62.10%,479,479
"County Commissioner, Precinct 1",0018,743,367,1110,1456,76.24%,691,691
"County Commissioner, Precinct 1",0019,647,293,940,1288,72.98%,692,692
"County Commissioner, Precinct 1",0020,1007,335,1342,2780,48.27%,997,997
"County Commissioner, Precinct 1",0021,539,207,746,1229,60.70%,602,602
"County Commissioner, Precinct 1",0022,935,419,1354,2501,54.14%,1140,1140
"County Commissioner, Precinct 1",0024,292,36,328,712,46.07%,281,281
"County Commissioner, Precinct 1",0025,239,292,531,1105,48.05%,496,496
"County Commissioner, Precinct 1",0030,1285,546,1831,2818,64.98%,1362,1362
"County Commissioner, Precinct 1",0031,784,453,1237,2656,46.57%,1179,1179
"County Commissioner, Precinct 1",0032,1245,504,1749,2728,64.11%,1129,1129
"County Commissioner, Precinct 1",0033,2072,554,2626,3907,67.21%,1835,1835
"County Commissioner, Precinct 1",0034,1611,517,2128,3044,69.91%,1711,1711
"County Commissioner, Precinct 1",0035,5,0,5,14,35.71%,2,2
"County Commissioner, Precinct 1",0037,1521,409,1930,2467,78.23%,1374,1374
"County Commissioner, Precinct 1",0038,1876,436,2312,3081,75.04%,1637,1637
"County Commissioner, Precinct 1",0039,1703,492,2195,3070,71.50%,1668,1668
"County Commissioner, Precinct 1",0040,275,107,382,527,72.49%,242,242
"County Commissioner, Precinct 1",0042,438,109,547,1062,51.51%,529,529
"County Commissioner, Precinct 1",0045,2263,1021,3284,5740,57.21%,2706,2706
"County Commissioner, Precinct 1",0047,505,268,773,1618,47.78%,728,728
"County Commissioner, Precinct 1",0048,348,168,516,967,53.36%,454,454
"County Commissioner, Precinct 1",0052,1400,456,1856,2581,71.91%,1196,1196
"County Commissioner, Precinct 1",0053,1675,613,2288,3083,74.21%,1459,1459
"County Commissioner, Precinct 1",0055,1262,410,1672,2094,79.85%,1083,1083
"County Commissioner, Precinct 1",0057,2043,567,2610,3325,78.50%,1718,1718
"County Commissioner, Precinct 1",0059,1589,439,2028,2671,75.93%,1343,1343
"County Commissioner, Precinct 1",0060,1473,537,2010,2766,72.67%,1545,1545
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
"County Commissioner, Precinct 1",0068,1171,430,1601,3096,51.71%,1524,1524
"County Commissioner, Precinct 1",0075,1000,286,1286,1684,76.37%,819,819
"County Commissioner, Precinct 1",0076,1015,427,1442,2441,59.07%,826,826
"County Commissioner, Precinct 1",0085,587,329,916,2169,42.23%,859,859
"County Commissioner, Precinct 1",0096,828,306,1134,2060,55.05%,984,984
"County Commissioner, Precinct 1",0101,221,129,350,988,35.43%,272,272
"County Commissioner, Precinct 1",0104,913,211,1124,1920,58.54%,1083,1083
"County Commissioner, Precinct 1",0109,1098,278,1376,2909,47.30%,1316,1316
"County Commissioner, Precinct 1",0115,609,272,881,1843,47.80%,779,779
"County Commissioner, Precinct 1",0122,732,284,1016,1904,53.36%,949,949
"County Commissioner, Precinct 1",0123,749,287,1036,1585,65.36%,811,811
"County Commissioner, Precinct 1",0131,798,371,1169,2147,54.45%,960,960
"County Commissioner, Precinct 1",0132,1028,322,1350,2378,56.77%,1311,1311
"County Commissioner, Precinct 1",0134,593,345,938,1513,62.00%,609,609
"County Commissioner, Precinct 1",0136,982,352,1334,2116,63.04%,1249,1249
"County Commissioner, Precinct 1",0138,600,228,828,1723,48.06%,791,791
"County Commissioner, Precinct 1",0140,1513,510,2023,3270,61.87%,1710,1710
"County Commissioner, Precinct 1",0144,442,125,567,1086,52.21%,548,548
"County Commissioner, Precinct 1",0145,560,256,816,1564,52.17%,779,779
"County Commissioner, Precinct 1",0146,1000,494,1494,2073,72.07%,958,958
"County Commissioner, Precinct 1",0147,1411,354,1765,3211,54.97%,1553,1553
"County Commissioner, Precinct 1",0148,1265,652,1917,2571,74.56%,1290,1290
"County Commissioner, Precinct 1",0150,582,223,805,1574,51.14%,756,756
"County Commissioner, Precinct 1",0151,282,107,389,826,47.09%,367,367
"County Commissioner, Precinct 1",0156,1413,403,1816,3223,56.35%,1704,1704
"County Commissioner, Precinct 1",0157,880,278,1158,2265,51.13%,1086,1086
"County Commissioner, Precinct 1",0158,1143,365,1508,3049,49.46%,1453,1453
"County Commissioner, Precinct 1",0159,348,147,495,997,49.65%,438,438
"County Commissioner, Precinct 1",0160,286,67,353,717,49.23%,331,331
"County Commissioner, Precinct 1",0161,378,173,551,992,55.54%,528,528
"County Commissioner, Precinct 1",0164,441,258,699,1407,49.68%,666,666
"County Commissioner, Precinct 1",0167,5,2,7,24,29.17%,7,7
"County Commissioner, Precinct 1",0168,196,59,255,512,49.80%,247,247
"County Commissioner, Precinct 1",0169,985,247,1232,2548,48.35%,1185,1185
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
"County Commissioner, Precinct 1",0171,482,283,765,1648,46.42%,710,710
"County Commissioner, Precinct 1",0175,1402,691,2093,2711,77.20%,1263,1263
"County Commissioner, Precinct 1",0180,928,463,1391,2914,47.74%,1318,1318
"County Commissioner, Precinct 1",0185,709,444,1153,2054,56.13%,876,876
"County Commissioner, Precinct 1",0186,252,150,402,798,50.38%,364,364
"County Commissioner, Precinct 1",0192,757,259,1016,1959,51.86%,941,941
"County Commissioner, Precinct 1",0193,375,211,586,1099,53.32%,551,551
"County Commissioner, Precinct 1",0194,1138,449,1587,2172,73.07%,1207,1207
"County Commissioner, Precinct 1",0195,606,344,950,1739,54.63%,876,876
"County Commissioner, Precinct 1",0196,132,37,169,313,53.99%,152,152
"County Commissioner, Precinct 1",0197,996,372,1368,2969,46.08%,1311,1311
"County Commissioner, Precinct 1",0198,161,82,243,619,39.26%,228,228
"County Commissioner, Precinct 1",0200,2307,377,2684,3692,72.70%,1703,1703
"County Commissioner, Precinct 1",0201,221,105,326,773,42.17%,317,317
"County Commissioner, Precinct 1",0202,421,233,654,1410,46.38%,617,617
"County Commissioner, Precinct 1",0205,771,171,942,1724,54.64%,912,912
"County Commissioner, Precinct 1",0210,1259,489,1748,2781,62.86%,1507,1507
"County Commissioner, Precinct 1",0212,309,323,632,1370,46.13%,516,516
"County Commissioner, Precinct 1",0216,778,244,1022,1966,51.98%,935,935
"County Commissioner, Precinct 1",0219,1117,515,1632,2868,56.90%,1493,1493
"County Commissioner, Precinct 1",0222,1450,671,2131,2728,78.12%,1360,1360
"County Commissioner, Precinct 1",0223,1750,517,2267,3664,61.87%,1788,1788
"County Commissioner, Precinct 1",0224,1166,495,1661,2313,71.81%,1047,1047
"County Commissioner, Precinct 1",0228,625,159,784,1175,66.72%,743,743
"County Commissioner, Precinct 1",0230,353,165,518,1094,47.35%,484,484
"County Commissioner, Precinct 1",0232,941,438,1379,1826,75.52%,793,793
"County Commissioner, Precinct 1",0235,451,203,664,1421,46.73%,625,625
"County Commissioner, Precinct 1",0236,656,308,964,2104,45.82%,920,920
"County Commissioner, Precinct 1",0237,739,312,1051,2146,48.97%,1014,1014
"County Commissioner, Precinct 1",0238,606,317,923,1948,47.38%,877,877
"County Commissioner, Precinct 1",0239,694,334,1028,1984,51.81%,983,983
"County Commissioner, Precinct 1",0240,1007,292,1299,2601,49.94%,1265,1265
"County Commissioner, Precinct 1",0243,244,42,286,475,60.21%,283,283
"County Commissioner, Precinct 1",0247,440,376,816,1595,51.16%,786,786
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
"County Commissioner, Precinct 1",0252,926,309,1235,2292,53.88%,1199,1199
"County Commissioner, Precinct 1",0253,759,311,1070,2154,49.68%,1033,1033
"County Commissioner, Precinct 1",0255,1253,586,1839,2489,73.89%,1150,1150
"County Commissioner, Precinct 1",0257,997,622,1619,3497,46.30%,1279,1279
"County Commissioner, Precinct 1",0259,1030,414,1444,2312,62.46%,1396,1396
"County Commissioner, Precinct 1",0271,1150,346,1496,2558,58.48%,1457,1457
"County Commissioner, Precinct 1",0276,1027,255,1282,2458,52.16%,1247,1247
"County Commissioner, Precinct 1",0283,2351,1143,3494,6365,54.89%,3051,3051
"County Commissioner, Precinct 1",0285,1077,431,1508,2680,56.27%,1382,1382
"County Commissioner, Precinct 1",0286,1708,545,2253,3757,59.97%,2072,2072
"County Commissioner, Precinct 1",0287,851,408,1259,1658,75.93%,753,753
"County Commissioner, Precinct 1",0288,881,314,1195,2208,54.12%,1161,1161
"County Commissioner, Precinct 1",0291,603,233,836,1218,68.64%,534,534
"County Commissioner, Precinct 1",0292,549,178,727,1379,52.72%,646,646
"County Commissioner, Precinct 1",0293,778,475,1253,1811,69.19%,793,793
"County Commissioner, Precinct 1",0294,852,198,1050,2054,51.12%,1028,1028
"County Commissioner, Precinct 1",0295,270,111,381,894,42.62%,365,365
"County Commissioner, Precinct 1",0318,1726,529,2255,3776,59.72%,2128,2128
"County Commissioner, Precinct 1",0319,994,271,1265,2199,57.53%,1189,1189
"County Commissioner, Precinct 1",0320,554,238,792,1570,50.45%,545,545
"County Commissioner, Precinct 1",0321,867,363,1230,2483,49.54%,912,912
"County Commissioner, Precinct 1",0325,802,257,1059,2176,48.67%,881,881
"County Commissioner, Precinct 1",0327,738,141,879,1758,50.00%,843,843
"County Commissioner, Precinct 1",0332,1355,503,1858,2926,63.50%,1679,1679
"County Commissioner, Precinct 1",0334,246,104,350,786,44.53%,292,292
"County Commissioner, Precinct 1",0336,2489,689,3178,4771,66.61%,2897,2897
"County Commissioner, Precinct 1",0337,367,155,522,1108,47.11%,438,438
"County Commissioner, Precinct 1",0342,311,225,536,1092,49.08%,420,420
"County Commissioner, Precinct 1",0344,381,207,588,1225,48.00%,547,547
"County Commissioner, Precinct 1",0349,458,369,827,1372,60.28%,436,436
"County Commissioner, Precinct 1",0350,1674,582,2256,3269,69.01%,1585,1585
"County Commissioner, Precinct 1",0353,1715,659,2374,4156,57.12%,2006,2006
"County Commissioner, Precinct 1",0355,821,239,1060,1714,61.84%,960,960
"County Commissioner, Precinct 1",0359,803,496,1299,3320,39.13%,1167,1167
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
"County Commissioner, Precinct 1",0361,323,688,1011,1808,55.92%,845,845
"County Commissioner, Precinct 1",0365,827,174,1001,1348,74.26%,899,899
"County Commissioner, Precinct 1",0367,453,204,657,1256,52.31%,522,522
"County Commissioner, Precinct 1",0368,433,122,555,1024,54.20%,435,435
"County Commissioner, Precinct 1",0371,210,78,288,537,53.63%,276,276
"County Commissioner, Precinct 1",0372,509,180,689,1274,54.08%,616,616
"County Commissioner, Precinct 1",0373,61,13,74,163,45.40%,70,70
"County Commissioner, Precinct 1",0376,753,344,1097,2060,53.25%,732,732
"County Commissioner, Precinct 1",0378,621,447,1068,1856,57.54%,511,511
"County Commissioner, Precinct 1",0379,857,388,1245,2149,57.93%,1136,1136
"County Commissioner, Precinct 1",0380,2732,551,3283,4380,74.95%,1819,1819
"County Commissioner, Precinct 1",0382,429,206,635,1035,61.35%,296,296
"County Commissioner, Precinct 1",0384,1152,444,1596,2725,58.57%,1309,1309
"County Commissioner, Precinct 1",0389,397,293,690,1359,50.77%,604,604
"County Commissioner, Precinct 1",0390,698,271,969,1482,65.38%,859,859
"County Commissioner, Precinct 1",0392,652,145,797,1426,55.89%,772,772
"County Commissioner, Precinct 1",0396,1035,204,1239,2072,59.80%,1191,1191
"County Commissioner, Precinct 1",0401,703,257,960,1971,48.71%,891,891
"County Commissioner, Precinct 1",0402,897,262,1159,1911,60.65%,1072,1072
"County Commissioner, Precinct 1",0406,275,65,340,649,52.39%,327,327
"County Commissioner, Precinct 1",0408,520,313,833,1740,47.87%,579,579
"County Commissioner, Precinct 1",0410,381,96,477,934,51.07%,393,393
"County Commissioner, Precinct 1",0412,156,80,236,478,49.37%,221,221
"County Commissioner, Precinct 1",0417,1104,397,1501,2589,57.98%,950,950
"County Commissioner, Precinct 1",0418,1336,663,1999,3940,50.74%,1415,1415
"County Commissioner, Precinct 1",0421,1240,273,1513,2023,74.79%,904,904
"County Commissioner, Precinct 1",0422,1357,401,1768,3348,52.81%,1689,1689
"County Commissioner, Precinct 1",0423,316,288,604,1423,42.45%,497,497
"County Commissioner, Precinct 1",0429,947,649,1596,3311,48.20%,1269,1269
"County Commissioner, Precinct 1",0449,73,26,99,225,44.00%,90,90
"County Commissioner, Precinct 1",0450,1104,394,1498,2890,51.83%,1172,1172
"County Commissioner, Precinct 1",0453,661,417,1078,2039,52.87%,806,806
"County Commissioner, Precinct 1",0454,1043,288,1331,2509,53.05%,1286,1286
"County Commissioner, Precinct 1",0455,559,173,842,1713,49.15%,791,791
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
"County Commissioner, Precinct 1",0458,914,253,1167,2025,57.63%,1083,1083
"County Commissioner, Precinct 1",0460,1613,472,2085,3280,63.57%,1679,1679
"County Commissioner, Precinct 1",0462,1474,738,2212,3507,63.07%,1590,1590
"County Commissioner, Precinct 1",0472,463,339,802,1131,70.91%,547,547
"County Commissioner, Precinct 1",0474,1417,624,2041,3127,65.27%,908,908
"County Commissioner, Precinct 1",0475,791,261,1052,1936,54.34%,684,684
"County Commissioner, Precinct 1",0476,1077,405,1482,2458,60.29%,859,859
"County Commissioner, Precinct 1",0489,865,344,1209,1958,61.75%,924,924
"County Commissioner, Precinct 1",0494,1079,419,1498,2787,53.75%,1317,1317
"County Commissioner, Precinct 1",0497,916,281,1197,2148,55.73%,1129,1129
"County Commissioner, Precinct 1",0501,1146,406,1552,2016,76.98%,1046,1046
"County Commissioner, Precinct 1",0506,1513,696,2209,3544,62.33%,1896,1896
"County Commissioner, Precinct 1",0520,1786,670,2456,5202,47.21%,2117,2117
"County Commissioner, Precinct 1",0525,1440,574,2014,3260,61.78%,1638,1638
"County Commissioner, Precinct 1",0528,17,8,25,78,32.05%,23,23
"County Commissioner, Precinct 1",0536,2104,1053,3157,5637,56.00%,2269,2269
