Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Steve Radack,DEM Jenifer Rene Pool,Totals
"County Commissioner, Precinct 3",0008,889,351,1240,1848,67.10%,617,579,1196
"County Commissioner, Precinct 3",0015,1489,849,2338,2852,81.98%,1450,756,2206
"County Commissioner, Precinct 3",0043,815,300,1115,1972,56.54%,468,583,1051
"County Commissioner, Precinct 3",0049,1545,731,2277,3709,61.39%,1520,683,2203
"County Commissioner, Precinct 3",0050,1836,680,2516,4314,58.32%,1219,1209,2428
"County Commissioner, Precinct 3",0056,698,283,981,1393,70.42%,599,341,940
"County Commissioner, Precinct 3",0087,1451,719,2170,2839,76.44%,1415,657,2072
"County Commissioner, Precinct 3",0089,398,424,822,1094,75.14%,498,282,780
"County Commissioner, Precinct 3",0095,2022,534,2556,3394,75.31%,1708,767,2475
"County Commissioner, Precinct 3",0111,2599,866,3565,4792,74.39%,2500,934,3434
"County Commissioner, Precinct 3",0116,1898,599,2497,3194,78.18%,1927,490,2417
"County Commissioner, Precinct 3",0119,2755,409,3164,4682,67.58%,2468,594,3062
"County Commissioner, Precinct 3",0120,1804,588,2392,3732,64.09%,1446,854,2300
"County Commissioner, Precinct 3",0121,354,221,575,966,59.52%,361,202,563
"County Commissioner, Precinct 3",0124,3136,888,4024,5393,74.62%,3174,764,3938
"County Commissioner, Precinct 3",0126,2017,427,2444,3380,72.31%,2047,313,2360
"County Commissioner, Precinct 3",0128,1107,612,1719,2322,74.03%,1116,511,1627
"County Commissioner, Precinct 3",0129,2540,1052,3592,5172,69.45%,2113,1317,3430
"County Commissioner, Precinct 3",0130,1310,433,1743,2289,76.15%,1269,412,1681
"County Commissioner, Precinct 3",0133,1411,746,2157,2690,80.19%,1267,772,2039
"County Commissioner, Precinct 3",0143,1858,267,2135,2582,82.69%,1401,678,2079
"County Commissioner, Precinct 3",0149,2938,573,3511,4756,73.82%,1962,1443,3405
"County Commissioner, Precinct 3",0165,1169,469,1638,2460,66.59%,958,608,1566
"County Commissioner, Precinct 3",0176,767,375,1142,1533,74.49%,608,480,1088
"County Commissioner, Precinct 3",0179,771,244,1015,1673,60.67%,486,469,955
"County Commissioner, Precinct 3",0182,1943,994,2937,4071,72.14%,1658,1092,2750
"County Commissioner, Precinct 3",0183,1285,715,2001,2535,78.93%,1315,580,1895
"County Commissioner, Precinct 3",0213,1782,795,2577,3406,75.66%,2048,448,2496
"County Commissioner, Precinct 3",0214,1016,418,1434,1911,75.04%,881,476,1357
"County Commissioner, Precinct 3",0215,1096,636,1732,2286,75.77%,1043,603,1646
"County Commissioner, Precinct 3",0234,2419,728,3147,4042,77.86%,2377,647,3024
"County Commissioner, Precinct 3",0256,1398,583,1981,3321,59.65%,708,1179,1887
"County Commissioner, Precinct 3",0258,1948,608,2556,3346,76.39%,1861,597,2458
"County Commissioner, Precinct 3",0265,1991,608,2599,3582,72.56%,1891,593,2484
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Steve Radack,DEM Jenifer Rene Pool,Totals
"County Commissioner, Precinct 3",0268,1174,689,1863,2528,73.69%,1117,623,1740
"County Commissioner, Precinct 3",0269,1305,365,1670,2114,79.00%,1293,321,1614
"County Commissioner, Precinct 3",0272,870,415,1285,2334,55.06%,439,777,1216
"County Commissioner, Precinct 3",0273,1175,647,1822,2485,73.32%,1442,324,1766
"County Commissioner, Precinct 3",0274,1261,311,1572,2223,70.72%,1008,486,1494
"County Commissioner, Precinct 3",0281,1287,590,1877,2507,74.87%,972,819,1791
"County Commissioner, Precinct 3",0282,773,604,1377,2144,64.23%,787,527,1314
"County Commissioner, Precinct 3",0284,1585,574,2159,4079,52.93%,737,1324,2061
"County Commissioner, Precinct 3",0296,701,385,1086,1705,63.70%,568,456,1024
"County Commissioner, Precinct 3",0297,729,341,1070,2055,52.07%,389,631,1020
"County Commissioner, Precinct 3",0298,1095,387,1482,2236,66.28%,756,663,1419
"County Commissioner, Precinct 3",0299,499,236,735,1506,48.80%,232,465,697
"County Commissioner, Precinct 3",0300,3385,728,4113,5480,75.05%,3105,875,3980
"County Commissioner, Precinct 3",0303,1895,692,2588,3375,76.68%,2003,490,2493
"County Commissioner, Precinct 3",0304,1190,474,1664,2326,71.54%,991,583,1574
"County Commissioner, Precinct 3",0305,2154,645,2799,4838,57.85%,937,1758,2695
"County Commissioner, Precinct 3",0309,2160,591,2751,3495,78.71%,2170,490,2660
"County Commissioner, Precinct 3",0311,930,643,1573,3222,48.82%,739,746,1485
"County Commissioner, Precinct 3",0312,1705,552,2257,3724,60.61%,1185,968,2153
