Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George Moore,DEM Sherrie L. Matula,Totals
"County School Trustee, Position 1, Precinct 2",0001,1416,496,1912,2682,71.29%,635,1136,1771
"County School Trustee, Position 1, Precinct 2",0002,1000,370,1370,2099,65.27%,542,731,1273
"County School Trustee, Position 1, Precinct 2",0009,658,312,970,1861,52.12%,220,674,894
"County School Trustee, Position 1, Precinct 2",0010,701,232,933,1830,50.98%,168,676,844
"County School Trustee, Position 1, Precinct 2",0011,817,258,875,1748,50.06%,165,640,805
"County School Trustee, Position 1, Precinct 2",0012,230,65,295,731,40.36%,146,134,280
"County School Trustee, Position 1, Precinct 2",0013,1230,382,1612,2751,58.60%,1016,503,1519
"County School Trustee, Position 1, Precinct 2",0023,132,74,206,551,37.39%,37,160,197
"County School Trustee, Position 1, Precinct 2",0026,834,313,1147,1969,58.25%,221,843,1064
"County School Trustee, Position 1, Precinct 2",0027,1391,508,1899,3271,58.06%,366,1395,1761
"County School Trustee, Position 1, Precinct 2",0028,1513,446,1959,3307,59.24%,1071,816,1887
"County School Trustee, Position 1, Precinct 2",0029,548,490,1138,2722,41.81%,328,738,1066
"County School Trustee, Position 1, Precinct 2",0036,1032,516,1548,3100,49.94%,332,1141,1473
"County School Trustee, Position 1, Precinct 2",0044,726,310,1036,2126,48.73%,191,747,938
"County School Trustee, Position 1, Precinct 2",0046,875,341,1216,2568,47.35%,182,957,1139
"County School Trustee, Position 1, Precinct 2",0051,828,271,1099,1734,63.38%,789,269,1058
"County School Trustee, Position 1, Precinct 2",0061,519,423,942,1847,51.00%,242,639,881
"County School Trustee, Position 1, Precinct 2",0062,689,452,1141,2195,51.98%,192,861,1053
"County School Trustee, Position 1, Precinct 2",0063,767,391,1158,1903,60.85%,901,205,1106
"County School Trustee, Position 1, Precinct 2",0064,678,368,1046,2220,47.12%,192,783,975
"County School Trustee, Position 1, Precinct 2",0065,538,435,1073,2178,49.27%,170,845,1015
"County School Trustee, Position 1, Precinct 2",0066,247,255,502,1135,44.23%,86,382,468
"County School Trustee, Position 1, Precinct 2",0067,942,521,1463,3019,48.46%,277,1083,1360
"County School Trustee, Position 1, Precinct 2",0069,375,222,597,1309,45.61%,94,455,549
