Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eric Dick,DEM Marilyn Burgess,Totals
"County School Trustee, Position 2, Precinct 4",0006,1840,628,2468,4084,60.43%,1132,1222,2354
"County School Trustee, Position 2, Precinct 4",0041,712,264,976,1518,64.30%,383,548,931
"County School Trustee, Position 2, Precinct 4",0054,1052,211,1263,1619,78.01%,558,600,1158
"County School Trustee, Position 2, Precinct 4",0058,1715,484,2200,3031,72.58%,898,1154,2052
"County School Trustee, Position 2, Precinct 4",0070,2288,670,2958,3815,77.54%,1530,1239,2769
"County School Trustee, Position 2, Precinct 4",0071,2703,947,3650,5016,72.77%,1684,1737,3421
"County School Trustee, Position 2, Precinct 4",0073,813,282,1095,1621,67.55%,501,519,1020
"County School Trustee, Position 2, Precinct 4",0074,2503,268,2771,3578,77.45%,1970,672,2642
"County School Trustee, Position 2, Precinct 4",0082,1585,756,2341,3539,66.15%,1608,635,2243
"County School Trustee, Position 2, Precinct 4",0083,1829,540,2369,4174,56.76%,836,1443,2279
"County School Trustee, Position 2, Precinct 4",0086,2032,493,2525,3449,73.21%,1082,1281,2363
"County School Trustee, Position 2, Precinct 4",0108,1461,448,1909,3674,51.96%,884,913,1797
"County School Trustee, Position 2, Precinct 4",0110,1661,481,2142,3222,66.48%,1174,880,2054
"County School Trustee, Position 2, Precinct 4",0112,1507,598,2105,3188,66.03%,1324,687,2011
"County School Trustee, Position 2, Precinct 4",0113,1307,418,1725,2718,63.47%,838,817,1655
"County School Trustee, Position 2, Precinct 4",0114,2290,506,2796,3885,71.97%,1961,719,2680
"County School Trustee, Position 2, Precinct 4",0117,573,379,952,1900,50.11%,310,584,894
"County School Trustee, Position 2, Precinct 4",0118,1823,530,2353,3181,73.97%,1171,1068,2239
"County School Trustee, Position 2, Precinct 4",0125,1207,400,1607,2593,61.97%,811,734,1545
"County School Trustee, Position 2, Precinct 4",0127,978,214,1192,2091,57.01%,798,328,1126
"County School Trustee, Position 2, Precinct 4",0135,1514,551,2165,2777,77.96%,1259,759,2018
"County School Trustee, Position 2, Precinct 4",0137,993,259,1252,1986,63.04%,804,397,1201
"County School Trustee, Position 2, Precinct 4",0139,1939,601,2540,3435,73.94%,1054,1290,2344
"County School Trustee, Position 2, Precinct 4",0155,2275,576,2851,4065,70.14%,1683,1028,2711
"County School Trustee, Position 2, Precinct 4",0173,2259,683,2942,3966,74.18%,2107,707,2814
"County School Trustee, Position 2, Precinct 4",0177,937,333,1270,1715,74.05%,626,543,1169
"County School Trustee, Position 2, Precinct 4",0178,1115,273,1389,1795,77.38%,851,435,1286
"County School Trustee, Position 2, Precinct 4",0189,804,279,1083,1505,71.96%,571,449,1020
"County School Trustee, Position 2, Precinct 4",0199,1929,815,2744,4063,67.54%,1969,652,2621
"County School Trustee, Position 2, Precinct 4",0204,2099,577,2676,3568,75.00%,1308,1168,2476
"County School Trustee, Position 2, Precinct 4",0209,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 2, Precinct 4",0217,1545,618,2163,2736,79.06%,1203,808,2011
"County School Trustee, Position 2, Precinct 4",0225,1353,596,1949,3689,52.83%,784,1089,1873
"County School Trustee, Position 2, Precinct 4",0227,1071,359,1430,1810,79.01%,948,395,1343
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eric Dick,DEM Marilyn Burgess,Totals
"County School Trustee, Position 2, Precinct 4",0233,2571,703,3274,4713,69.47%,1343,1694,3037
"County School Trustee, Position 2, Precinct 4",0244,1409,538,1947,3296,59.07%,868,997,1865
"County School Trustee, Position 2, Precinct 4",0245,2100,811,2911,4679,62.21%,1751,1022,2773
"County School Trustee, Position 2, Precinct 4",0246,2209,482,2691,3971,67.77%,1614,978,2592
"County School Trustee, Position 2, Precinct 4",0260,547,227,774,1300,59.54%,360,369,729
"County School Trustee, Position 2, Precinct 4",0262,1847,676,2523,4397,57.38%,1263,1119,2382
"County School Trustee, Position 2, Precinct 4",0263,2208,665,2873,4016,71.54%,1949,795,2744
"County School Trustee, Position 2, Precinct 4",0264,1110,627,1737,3101,56.01%,836,808,1644
"County School Trustee, Position 2, Precinct 4",0270,1816,688,2504,3985,62.84%,1162,1191,2353
"County School Trustee, Position 2, Precinct 4",0310,709,326,1035,1464,70.70%,587,381,968
"County School Trustee, Position 2, Precinct 4",0313,23,8,31,61,50.82%,16,8,24
"County School Trustee, Position 2, Precinct 4",0322,426,124,550,1210,45.45%,150,384,534
"County School Trustee, Position 2, Precinct 4",0323,700,296,996,1793,55.55%,320,631,951
"County School Trustee, Position 2, Precinct 4",0324,1444,550,2004,2607,76.87%,1133,761,1894
"County School Trustee, Position 2, Precinct 4",0330,853,326,1189,2146,55.41%,500,625,1125
"County School Trustee, Position 2, Precinct 4",0340,2040,654,2694,4012,67.15%,1808,752,2560
"County School Trustee, Position 2, Precinct 4",0357,1882,557,2439,3685,66.19%,1665,666,2331
"County School Trustee, Position 2, Precinct 4",0358,775,376,1151,2634,43.70%,121,985,1106
"County School Trustee, Position 2, Precinct 4",0363,1826,635,2461,4160,59.16%,941,1445,2386
"County School Trustee, Position 2, Precinct 4",0364,1190,528,1718,2827,60.77%,737,882,1619
"County School Trustee, Position 2, Precinct 4",0366,988,524,1512,2887,52.37%,303,1144,1447
"County School Trustee, Position 2, Precinct 4",0383,722,458,1180,2373,49.73%,341,781,1122
"County School Trustee, Position 2, Precinct 4",0398,1761,654,2415,4200,57.50%,1026,1289,2315
"County School Trustee, Position 2, Precinct 4",0399,1291,546,1837,3340,55.00%,660,1111,1771
"County School Trustee, Position 2, Precinct 4",0434,831,293,1124,1557,72.19%,572,467,1039
"County School Trustee, Position 2, Precinct 4",0442,2441,685,3125,4315,72.44%,2422,577,2999
"County School Trustee, Position 2, Precinct 4",0444,1620,679,2299,3625,63.42%,1164,987,2151
"County School Trustee, Position 2, Precinct 4",0445,1036,382,1418,2134,66.45%,782,564,1346
"County School Trustee, Position 2, Precinct 4",0446,89,45,134,309,43.37%,49,80,129
"County School Trustee, Position 2, Precinct 4",0448,1763,529,2292,3155,72.65%,1149,978,2127
"County School Trustee, Position 2, Precinct 4",0451,1719,367,2086,2771,75.28%,1581,424,2005
"County School Trustee, Position 2, Precinct 4",0452,1871,662,2533,3789,66.85%,1626,802,2428
"County School Trustee, Position 2, Precinct 4",0457,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 2, Precinct 4",0459,2362,432,2794,3942,70.88%,2004,669,2673
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eric Dick,DEM Marilyn Burgess,Totals
"County School Trustee, Position 2, Precinct 4",0464,967,582,1549,2343,66.11%,896,568,1464
"County School Trustee, Position 2, Precinct 4",0465,1628,594,2222,3778,58.81%,950,1180,2130
"County School Trustee, Position 2, Precinct 4",0466,2274,509,2783,4327,64.32%,1336,1347,2683
"County School Trustee, Position 2, Precinct 4",0467,501,225,726,1320,55.00%,140,549,689
"County School Trustee, Position 2, Precinct 4",0468,1379,747,2126,4040,52.62%,483,1539,2022
"County School Trustee, Position 2, Precinct 4",0469,1867,462,2329,3257,71.51%,1709,526,2235
"County School Trustee, Position 2, Precinct 4",0477,2027,640,2667,4010,66.51%,1730,808,2538
"County School Trustee, Position 2, Precinct 4",0478,2271,683,2954,4696,62.90%,1735,1083,2818
"County School Trustee, Position 2, Precinct 4",0479,1978,755,2733,3851,70.97%,1889,746,2635
"County School Trustee, Position 2, Precinct 4",0482,2259,618,2877,4405,65.31%,1872,882,2754
"County School Trustee, Position 2, Precinct 4",0484,2020,700,2720,3981,68.32%,1642,970,2612
"County School Trustee, Position 2, Precinct 4",0485,2118,567,2685,4051,66.28%,1820,762,2582
"County School Trustee, Position 2, Precinct 4",0486,2310,721,3031,4195,72.25%,2200,708,2908
"County School Trustee, Position 2, Precinct 4",0493,1404,555,1959,3338,58.69%,683,1163,1846
"County School Trustee, Position 2, Precinct 4",0495,1414,376,1790,2488,71.95%,1132,561,1693
"County School Trustee, Position 2, Precinct 4",0496,687,549,1236,2325,53.16%,395,783,1178
"County School Trustee, Position 2, Precinct 4",0498,1069,423,1492,2527,59.04%,484,941,1425
"County School Trustee, Position 2, Precinct 4",0500,1869,651,2520,3698,68.14%,1501,908,2409
"County School Trustee, Position 2, Precinct 4",0503,1397,306,1703,2236,76.16%,1209,420,1629
"County School Trustee, Position 2, Precinct 4",0505,1750,735,2485,4076,60.97%,1029,1295,2324
"County School Trustee, Position 2, Precinct 4",0512,1558,871,2539,4559,55.69%,909,1526,2435
"County School Trustee, Position 2, Precinct 4",0513,1754,413,2167,3003,72.16%,1458,612,2070
"County School Trustee, Position 2, Precinct 4",0514,2286,613,2899,4378,66.22%,1891,889,2780
"County School Trustee, Position 2, Precinct 4",0515,1836,468,2304,3182,72.41%,1752,455,2207
"County School Trustee, Position 2, Precinct 4",0516,1316,363,1679,2799,59.99%,774,840,1614
"County School Trustee, Position 2, Precinct 4",0517,1510,509,2119,3744,56.60%,850,1177,2027
"County School Trustee, Position 2, Precinct 4",0518,1885,676,2562,4049,63.27%,1402,1043,2445
"County School Trustee, Position 2, Precinct 4",0523,1978,537,2515,4027,62.45%,1457,932,2389
"County School Trustee, Position 2, Precinct 4",0529,2107,434,2541,3842,66.14%,2022,406,2428
"County School Trustee, Position 2, Precinct 4",0539,811,234,1045,1535,68.08%,538,456,994
"County School Trustee, Position 2, Precinct 4",0546,1524,278,1802,2471,72.93%,1445,312,1757
"County School Trustee, Position 2, Precinct 4",0548,882,395,1277,2339,54.60%,545,692,1237
"County School Trustee, Position 2, Precinct 4",0549,1105,447,1552,2786,55.71%,177,1332,1509
"County School Trustee, Position 2, Precinct 4",0550,1171,553,1724,3245,53.13%,688,982,1670
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eric Dick,DEM Marilyn Burgess,Totals
"County School Trustee, Position 2, Precinct 4",0551,2586,793,3379,4428,76.31%,2426,813,3239
"County School Trustee, Position 2, Precinct 4",0552,2090,784,2874,3762,76.40%,2219,545,2764
"County School Trustee, Position 2, Precinct 4",0553,962,317,1279,2193,58.32%,456,780,1236
"County School Trustee, Position 2, Precinct 4",0563,2069,337,2406,3468,69.38%,1738,573,2311
"County School Trustee, Position 2, Precinct 4",0575,1905,535,2440,3557,68.60%,1283,1043,2326
"County School Trustee, Position 2, Precinct 4",0578,1026,405,1431,1862,76.85%,789,540,1329
"County School Trustee, Position 2, Precinct 4",0586,1790,790,2580,4521,57.07%,1366,1099,2465
"County School Trustee, Position 2, Precinct 4",0587,1204,431,1635,2870,56.97%,512,1060,1572
"County School Trustee, Position 2, Precinct 4",0588,1940,606,2546,3780,67.35%,1610,843,2453
"County School Trustee, Position 2, Precinct 4",0590,1230,400,1630,2176,74.91%,1171,389,1560
"County School Trustee, Position 2, Precinct 4",0592,449,272,721,1446,49.86%,135,551,686
"County School Trustee, Position 2, Precinct 4",0593,1561,755,2316,4179,55.42%,875,1324,2199
"County School Trustee, Position 2, Precinct 4",0596,1377,501,1878,3574,52.55%,799,979,1778
"County School Trustee, Position 2, Precinct 4",0597,1204,609,1813,3587,50.54%,590,1132,1722
"County School Trustee, Position 2, Precinct 4",0599,1378,493,1871,3005,62.26%,608,1204,1812
"County School Trustee, Position 2, Precinct 4",0601,2220,670,2890,4151,69.62%,1984,797,2781
"County School Trustee, Position 2, Precinct 4",0609,2037,729,2766,4305,64.25%,1500,1136,2636
"County School Trustee, Position 2, Precinct 4",0610,665,343,1008,2086,48.32%,383,562,945
"County School Trustee, Position 2, Precinct 4",0612,1927,431,2358,3388,69.60%,1670,583,2253
"County School Trustee, Position 2, Precinct 4",0613,937,339,1276,2368,53.89%,189,1035,1224
"County School Trustee, Position 2, Precinct 4",0614,1949,645,2594,4566,56.81%,708,1773,2481
"County School Trustee, Position 2, Precinct 4",0615,1075,301,1376,2086,65.96%,680,633,1313
"County School Trustee, Position 2, Precinct 4",0617,1704,650,2354,4179,56.33%,743,1518,2261
"County School Trustee, Position 2, Precinct 4",0622,2129,591,2720,4562,59.62%,1373,1233,2606
"County School Trustee, Position 2, Precinct 4",0623,1960,461,2421,3919,61.78%,1439,870,2309
"County School Trustee, Position 2, Precinct 4",0628,715,545,1261,2420,52.11%,412,768,1180
"County School Trustee, Position 2, Precinct 4",0631,1841,398,2239,3263,68.62%,1397,746,2143
"County School Trustee, Position 2, Precinct 4",0633,2286,601,2887,3912,73.80%,1863,906,2769
"County School Trustee, Position 2, Precinct 4",0634,1435,499,1934,3259,59.34%,1039,819,1858
"County School Trustee, Position 2, Precinct 4",0635,1645,520,2165,3512,61.65%,1510,560,2070
"County School Trustee, Position 2, Precinct 4",0642,1030,270,1300,1783,72.91%,965,286,1251
"County School Trustee, Position 2, Precinct 4",0643,1948,593,2541,4189,60.66%,1120,1325,2445
"County School Trustee, Position 2, Precinct 4",0648,1859,500,2359,3487,67.65%,1571,707,2278
"County School Trustee, Position 2, Precinct 4",0661,1946,774,2720,4363,62.34%,1238,1356,2594
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eric Dick,DEM Marilyn Burgess,Totals
"County School Trustee, Position 2, Precinct 4",0663,1338,448,1786,2340,76.32%,825,823,1648
"County School Trustee, Position 2, Precinct 4",0666,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 2, Precinct 4",0668,1552,719,2271,3669,61.90%,1283,902,2185
"County School Trustee, Position 2, Precinct 4",0669,1889,702,2591,3585,72.27%,1659,822,2481
"County School Trustee, Position 2, Precinct 4",0670,1996,416,2412,3335,72.32%,1780,530,2310
"County School Trustee, Position 2, Precinct 4",0671,1398,588,1986,3198,62.10%,1000,895,1895
"County School Trustee, Position 2, Precinct 4",0672,1724,489,2213,3433,64.46%,1444,697,2141
"County School Trustee, Position 2, Precinct 4",0676,1087,465,1552,2976,52.15%,554,925,1479
"County School Trustee, Position 2, Precinct 4",0684,1680,640,2320,3559,65.19%,1373,850,2223
"County School Trustee, Position 2, Precinct 4",0687,1510,400,1910,2713,70.40%,1164,647,1811
"County School Trustee, Position 2, Precinct 4",0689,726,604,1330,2449,54.31%,525,720,1245
"County School Trustee, Position 2, Precinct 4",0690,1967,553,2520,3614,69.73%,1853,561,2414
"County School Trustee, Position 2, Precinct 4",0691,2131,551,2682,3690,72.68%,1997,599,2596
"County School Trustee, Position 2, Precinct 4",0694,1005,319,1324,2478,53.43%,498,775,1273
"County School Trustee, Position 2, Precinct 4",0697,1299,552,1851,3238,57.16%,420,1362,1782
"County School Trustee, Position 2, Precinct 4",0698,1275,520,1795,3339,53.76%,191,1543,1734
"County School Trustee, Position 2, Precinct 4",0701,208,73,281,614,45.77%,114,144,258
"County School Trustee, Position 2, Precinct 4",0710,1132,450,1582,2096,75.48%,788,695,1483
"County School Trustee, Position 2, Precinct 4",0717,974,232,1206,2082,57.93%,148,1011,1159
"County School Trustee, Position 2, Precinct 4",0726,1271,321,1592,2207,72.13%,1330,207,1537
"County School Trustee, Position 2, Precinct 4",0735,157,61,218,251,86.85%,110,100,210
"County School Trustee, Position 2, Precinct 4",0747,1746,693,2439,4096,59.55%,990,1344,2334
"County School Trustee, Position 2, Precinct 4",0753,258,53,311,512,60.74%,117,179,296
"County School Trustee, Position 2, Precinct 4",0756,687,309,996,1723,57.81%,291,652,943
"County School Trustee, Position 2, Precinct 4",0758,2104,595,2699,3803,70.97%,1965,619,2584
"County School Trustee, Position 2, Precinct 4",0759,1389,375,1764,2779,63.48%,965,715,1680
"County School Trustee, Position 2, Precinct 4",0760,1219,268,1487,2162,68.78%,1160,283,1443
"County School Trustee, Position 2, Precinct 4",0768,1479,387,1866,2643,70.60%,1379,415,1794
"County School Trustee, Position 2, Precinct 4",0771,572,210,782,1588,49.24%,315,433,748
"County School Trustee, Position 2, Precinct 4",0776,1432,538,1970,3276,60.13%,1065,822,1887
"County School Trustee, Position 2, Precinct 4",0788,2,0,2,13,15.38%,2,0,2
"County School Trustee, Position 2, Precinct 4",0789,1377,420,1797,2998,59.94%,996,735,1731
"County School Trustee, Position 2, Precinct 4",0805,1597,454,2051,2874,71.36%,1515,449,1964
"County School Trustee, Position 2, Precinct 4",0809,19,7,26,98,26.53%,13,12,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eric Dick,DEM Marilyn Burgess,Totals
"County School Trustee, Position 2, Precinct 4",0823,1339,410,1749,3017,57.97%,869,806,1675
"County School Trustee, Position 2, Precinct 4",0825,9,7,16,21,76.19%,3,12,15
"County School Trustee, Position 2, Precinct 4",0828,1174,281,1455,1965,74.05%,1068,318,1386
"County School Trustee, Position 2, Precinct 4",0841,1473,475,1948,3431,56.78%,432,1458,1890
"County School Trustee, Position 2, Precinct 4",0847,993,330,1323,2310,57.27%,320,951,1271
"County School Trustee, Position 2, Precinct 4",0851,1885,441,2326,3597,64.66%,1471,751,2222
"County School Trustee, Position 2, Precinct 4",0853,1637,487,2124,2986,71.13%,1506,540,2046
"County School Trustee, Position 2, Precinct 4",0864,693,574,1267,2708,46.79%,260,934,1194
"County School Trustee, Position 2, Precinct 4",0868,735,495,1231,2446,50.33%,305,864,1169
"County School Trustee, Position 2, Precinct 4",0870,0,2,2,0,0.00%,1,1,2
"County School Trustee, Position 2, Precinct 4",0873,296,111,407,778,52.31%,90,304,394
"County School Trustee, Position 2, Precinct 4",0874,1681,670,2351,3294,71.37%,1607,639,2246
"County School Trustee, Position 2, Precinct 4",0876,1945,577,2522,3485,72.37%,1681,744,2425
"County School Trustee, Position 2, Precinct 4",0878,685,110,795,1039,76.52%,616,148,764
"County School Trustee, Position 2, Precinct 4",0880,1354,471,1825,2467,73.98%,1323,441,1764
"County School Trustee, Position 2, Precinct 4",0881,2465,927,3392,5638,60.16%,845,2444,3289
"County School Trustee, Position 2, Precinct 4",0882,1952,595,2547,4317,59.00%,711,1720,2431
"County School Trustee, Position 2, Precinct 4",0884,149,55,204,396,51.52%,28,171,199
"County School Trustee, Position 2, Precinct 4",0888,817,289,1106,1867,59.24%,337,726,1063
"County School Trustee, Position 2, Precinct 4",0897,812,365,1177,1766,66.65%,589,529,1118
"County School Trustee, Position 2, Precinct 4",0898,792,301,1093,1821,60.02%,413,647,1060
"County School Trustee, Position 2, Precinct 4",0902,1310,361,1671,2217,75.37%,786,758,1544
"County School Trustee, Position 2, Precinct 4",0903,1314,354,1668,2558,65.21%,1166,445,1611
"County School Trustee, Position 2, Precinct 4",0904,2,0,2,8,25.00%,1,1,2
"County School Trustee, Position 2, Precinct 4",0911,237,63,300,576,52.08%,185,104,289
"County School Trustee, Position 2, Precinct 4",0912,712,167,879,1341,65.55%,492,341,833
"County School Trustee, Position 2, Precinct 4",0913,102,12,114,241,47.30%,19,91,110
"County School Trustee, Position 2, Precinct 4",0915,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 2, Precinct 4",0916,1472,308,1780,2205,80.73%,1310,387,1697
"County School Trustee, Position 2, Precinct 4",0926,550,149,699,967,72.29%,459,207,666
"County School Trustee, Position 2, Precinct 4",0927,966,173,1139,1771,64.31%,529,537,1066
"County School Trustee, Position 2, Precinct 4",0939,1,1,2,4,50.00%,1,1,2
"County School Trustee, Position 2, Precinct 4",0955,3528,572,4100,5108,80.27%,2772,1141,3913
"County School Trustee, Position 2, Precinct 4",0957,282,39,321,585,54.87%,35,273,308
