Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0001,1416,496,1912,2682,71.29%,748,1065,1813
County Tax Assessor-Collector,0002,1000,370,1370,2099,65.27%,615,689,1304
County Tax Assessor-Collector,0003,875,336,1211,1625,74.52%,507,656,1163
County Tax Assessor-Collector,0004,954,369,1323,1709,77.41%,513,753,1266
County Tax Assessor-Collector,0005,759,380,1139,1470,77.48%,469,631,1100
County Tax Assessor-Collector,0006,1840,628,2468,4084,60.43%,1226,1158,2384
County Tax Assessor-Collector,0007,430,125,555,1002,55.39%,26,514,540
County Tax Assessor-Collector,0008,889,351,1240,1848,67.10%,623,575,1198
County Tax Assessor-Collector,0009,658,312,970,1861,52.12%,267,644,911
County Tax Assessor-Collector,0010,701,232,933,1830,50.98%,230,633,863
County Tax Assessor-Collector,0011,617,258,875,1748,50.06%,203,621,824
County Tax Assessor-Collector,0012,230,65,295,731,40.36%,152,131,283
County Tax Assessor-Collector,0013,1230,382,1612,2751,58.60%,1075,475,1550
County Tax Assessor-Collector,0014,989,429,1418,1924,73.70%,750,611,1361
County Tax Assessor-Collector,0015,1489,849,2338,2852,81.98%,1361,878,2239
County Tax Assessor-Collector,0016,676,189,865,1284,67.37%,425,402,827
County Tax Assessor-Collector,0017,451,293,744,1198,62.10%,318,391,709
County Tax Assessor-Collector,0018,743,367,1110,1456,76.24%,543,530,1073
County Tax Assessor-Collector,0019,647,293,940,1288,72.98%,358,537,895
County Tax Assessor-Collector,0020,1007,335,1342,2780,48.27%,476,808,1284
County Tax Assessor-Collector,0021,539,207,746,1229,60.70%,190,526,716
County Tax Assessor-Collector,0022,935,419,1354,2501,54.14%,242,1068,1310
County Tax Assessor-Collector,0023,132,74,206,551,37.39%,44,154,198
County Tax Assessor-Collector,0024,292,36,328,712,46.07%,69,250,319
County Tax Assessor-Collector,0025,239,292,531,1105,48.05%,33,483,516
County Tax Assessor-Collector,0026,834,313,1147,1969,58.25%,272,807,1079
County Tax Assessor-Collector,0027,1391,508,1899,3271,58.06%,444,1342,1786
County Tax Assessor-Collector,0028,1513,446,1959,3307,59.24%,1130,779,1909
County Tax Assessor-Collector,0029,548,490,1138,2722,41.81%,358,721,1079
County Tax Assessor-Collector,0030,1285,546,1831,2818,64.98%,592,1133,1725
County Tax Assessor-Collector,0031,784,453,1237,2656,46.57%,56,1135,1191
County Tax Assessor-Collector,0032,1245,504,1749,2728,64.11%,812,838,1650
County Tax Assessor-Collector,0033,2072,554,2525,3907,67.21%,1037,1439,2476
County Tax Assessor-Collector,0034,1511,517,2128,3044,69.91%,532,1514,2046
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0035,5,0,5,14,35.71%,3,2,5
County Tax Assessor-Collector,0036,1032,516,1548,3100,49.94%,379,1098,1477
County Tax Assessor-Collector,0037,1521,409,1930,2467,78.23%,743,1093,1836
County Tax Assessor-Collector,0038,1876,436,2312,3081,75.04%,846,1367,2213
County Tax Assessor-Collector,0039,1703,492,2195,3070,71.50%,655,1424,2079
County Tax Assessor-Collector,0040,275,107,382,527,72.49%,177,181,358
County Tax Assessor-Collector,0041,712,264,976,1518,64.30%,421,525,946
County Tax Assessor-Collector,0042,438,109,547,1062,51.51%,18,520,538
County Tax Assessor-Collector,0043,815,300,1115,1972,56.54%,478,579,1057
County Tax Assessor-Collector,0044,726,310,1036,2126,48.73%,250,715,965
County Tax Assessor-Collector,0045,2263,1021,3284,5740,57.21%,729,2427,3156
County Tax Assessor-Collector,0046,875,341,1216,2568,47.35%,243,910,1153
County Tax Assessor-Collector,0047,505,268,773,1618,47.78%,52,704,756
County Tax Assessor-Collector,0048,348,168,516,967,53.36%,69,420,489
County Tax Assessor-Collector,0049,1546,731,2277,3709,61.39%,1517,685,2202
