Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0001,1416,496,1912,2682,71.29%,644,1161,1805
District Attorney,0002,1000,370,1370,2099,65.27%,534,772,1306
District Attorney,0003,875,336,1211,1625,74.52%,426,740,1166
District Attorney,0004,954,369,1323,1709,77.41%,445,823,1268
District Attorney,0005,759,380,1139,1470,77.48%,384,717,1101
District Attorney,0006,1840,628,2468,4084,60.43%,1132,1239,2371
District Attorney,0007,430,125,555,1002,55.39%,21,519,540
District Attorney,0008,889,351,1240,1848,67.10%,570,626,1196
District Attorney,0009,658,312,970,1861,52.12%,217,696,913
District Attorney,0010,701,232,933,1830,50.98%,179,687,866
District Attorney,0011,617,258,875,1748,50.06%,163,650,813
District Attorney,0012,230,65,295,731,40.36%,141,138,279
District Attorney,0013,1230,382,1612,2751,58.60%,974,567,1541
District Attorney,0014,989,429,1418,1924,73.70%,662,705,1367
District Attorney,0015,1489,849,2338,2852,81.98%,1227,1022,2249
District Attorney,0016,676,189,865,1284,67.37%,378,451,829
District Attorney,0017,451,293,744,1198,62.10%,277,428,705
District Attorney,0018,743,367,1110,1456,76.24%,483,586,1069
District Attorney,0019,547,293,940,1288,72.98%,285,610,895
District Attorney,0020,1007,335,1342,2780,48.27%,406,868,1274
District Attorney,0021,539,207,746,1229,60.70%,151,566,717
District Attorney,0022,935,419,1354,2501,54.14%,224,1090,1314
District Attorney,0023,132,74,206,551,37.39%,33,163,196
District Attorney,0024,292,36,328,712,46.07%,57,259,316
District Attorney,0025,239,292,531,1105,48.05%,27,490,517
District Attorney,0026,834,313,1147,1969,58.25%,228,861,1089
District Attorney,0027,1391,508,1899,3271,58.06%,376,1410,1786
District Attorney,0028,1513,446,1959,3307,59.24%,1060,851,1911
District Attorney,0029,548,490,1138,2722,41.81%,337,738,1075
District Attorney,0030,1285,546,1831,2818,64.98%,507,1225,1732
District Attorney,0031,784,453,1237,2656,46.57%,54,1143,1197
District Attorney,0032,1245,504,1749,2728,64.11%,716,932,1648
District Attorney,0033,2072,554,2525,3907,67.21%,908,1573,2481
District Attorney,0034,1511,517,2128,3044,69.91%,437,1619,2056
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0035,5,0,5,14,35.71%,3,2,5
District Attorney,0036,1032,516,1548,3100,49.94%,332,1146,1478
District Attorney,0037,1521,409,1930,2467,78.23%,612,1220,1832
District Attorney,0038,1876,436,2312,3081,75.04%,707,1519,2226
District Attorney,0039,1703,492,2195,3070,71.50%,533,1564,2097
District Attorney,0040,275,107,382,527,72.49%,161,201,362
District Attorney,0041,712,264,976,1518,64.30%,393,546,939
District Attorney,0042,438,109,547,1062,51.51%,21,517,538
District Attorney,0043,815,300,1115,1972,56.54%,437,622,1059
