Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0001,1416,496,1912,2682,71.29%,681,1103,1784
"District Judge, 11th Judicial District",0002,1000,370,1370,2099,65.27%,570,713,1283
"District Judge, 11th Judicial District",0003,875,336,1211,1625,74.52%,438,684,1122
"District Judge, 11th Judicial District",0004,954,369,1323,1709,77.41%,458,775,1233
"District Judge, 11th Judicial District",0005,759,380,1139,1470,77.48%,423,639,1062
"District Judge, 11th Judicial District",0006,1840,628,2468,4084,60.43%,1172,1190,2362
"District Judge, 11th Judicial District",0007,430,125,555,1002,55.39%,26,513,539
"District Judge, 11th Judicial District",0008,889,351,1240,1848,67.10%,589,588,1177
"District Judge, 11th Judicial District",0009,658,312,970,1861,52.12%,227,671,898
"District Judge, 11th Judicial District",0010,701,232,933,1830,50.98%,178,665,843
"District Judge, 11th Judicial District",0011,817,258,875,1748,50.06%,169,642,811
"District Judge, 11th Judicial District",0012,230,65,295,731,40.36%,146,132,278
"District Judge, 11th Judicial District",0013,1230,382,1612,2751,58.60%,1015,503,1518
"District Judge, 11th Judicial District",0014,989,429,1418,1924,73.70%,708,624,1332
"District Judge, 11th Judicial District",0015,1489,849,2338,2852,81.98%,1272,906,2178
"District Judge, 11th Judicial District",0016,676,189,865,1284,67.37%,406,417,823
"District Judge, 11th Judicial District",0017,451,293,744,1198,62.10%,291,402,693
"District Judge, 11th Judicial District",0018,743,367,1110,1456,76.24%,516,522,1038
"District Judge, 11th Judicial District",0019,547,293,940,1,288,72.98%,305,582,887
"District Judge, 11th Judicial District",0020,1007,335,1342,2780,48.27%,424,835,1259
"District Judge, 11th Judicial District",0021,539,207,746,1,229,60.70%,168,544,712
"District Judge, 11th Judicial District",0022,935,419,1354,2501,54.14%,217,1083,1300
"District Judge, 11th Judicial District",0023,132,74,206,551,37.39%,34,164,198
"District Judge, 11th Judicial District",0024,292,36,328,712,46.07%,64,251,315
