Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0001,1416,496,1912,2682,71.29%,653,1132,1785
"District Judge, 125th Judicial District",0002,1000,370,1370,2099,65.27%,552,725,1277
"District Judge, 125th Judicial District",0003,875,336,1211,1625,74.52%,416,697,1113
"District Judge, 125th Judicial District",0004,954,369,1323,1709,77.41%,423,802,1225
"District Judge, 125th Judicial District",0005,759,380,1139,1470,77.48%,397,665,1062
"District Judge, 125th Judicial District",0006,1840,628,2468,4084,60.43%,1180,1175,2355
"District Judge, 125th Judicial District",0007,430,125,555,1002,55.39%,20,518,538
"District Judge, 125th Judicial District",0008,889,351,1240,1848,67.10%,566,612,1178
"District Judge, 125th Judicial District",0009,658,312,970,1861,52.12%,224,671,895
"District Judge, 125th Judicial District",0010,701,232,933,1830,50.98%,171,676,847
"District Judge, 125th Judicial District",0011,617,258,875,1748,50.06%,166,642,808
"District Judge, 125th Judicial District",0012,230,65,295,731,40.36%,148,132,280
"District Judge, 125th Judicial District",0013,1230,382,1612,2751,58.60%,1025,498,1523
"District Judge, 125th Judicial District",0014,989,429,1418,1924,73.70%,658,681,1339
"District Judge, 125th Judicial District",0015,1489,849,2338,2852,81.98%,1211,964,2175
"District Judge, 125th Judicial District",0016,676,189,865,1284,67.37%,388,433,821
"District Judge, 125th Judicial District",0017,451,293,744,1198,62.10%,277,412,689
"District Judge, 125th Judicial District",0018,743,367,1110,1456,76.24%,482,557,1039
"District Judge, 125th Judicial District",0019,547,293,940,1288,72.98%,290,594,884
"District Judge, 125th Judicial District",0020,1007,335,1342,2780,48.27%,414,841,1255
"District Judge, 125th Judicial District",0021,539,207,746,1229,60.70%,163,546,709
"District Judge, 125th Judicial District",0022,935,419,1354,2501,54.14%,214,1089,1303
"District Judge, 125th Judicial District",0023,132,74,206,551,37.39%,35,161,196
"District Judge, 125th Judicial District",0024,292,36,328,712,46.07%,60,255,315
"District Judge, 125th Judicial District",0025,239,292,531,1105,48.05%,22,491,513
"District Judge, 125th Judicial District",0026,834,313,1147,1969,58.25%,237,828,1065
"District Judge, 125th Judicial District",0027,1391,508,1899,3271,58.06%,366,1396,1762
"District Judge, 125th Judicial District",0028,1513,446,1959,3307,59.24%,1087,796,1883
"District Judge, 125th Judicial District",0029,548,490,1138,2722,41.81%,344,729,1073
"District Judge, 125th Judicial District",0030,1285,546,1831,2818,64.98%,533,1176,1709
"District Judge, 125th Judicial District",0031,784,453,1237,2656,46.57%,50,1140,1190
"District Judge, 125th Judicial District",0032,1245,504,1749,2728,64.11%,707,910,1617
"District Judge, 125th Judicial District",0033,2072,554,2525,3907,67.21%,911,1514,2425
"District Judge, 125th Judicial District",0034,1511,517,2128,3044,69.91%,467,1553,2020
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0035,5,0,5,14,35.71%,3,2,5
"District Judge, 125th Judicial District",0036,1032,516,1548,3100,49.94%,339,1129,1468
"District Judge, 125th Judicial District",0037,1521,409,1930,2467,78.23%,622,1167,1789
"District Judge, 125th Judicial District",0038,1876,436,2312,3081,75.04%,720,1449,2169
"District Judge, 125th Judicial District",0039,1703,492,2195,3070,71.50%,536,1507,2043
"District Judge, 125th Judicial District",0040,275,107,382,527,72.49%,158,194,352
"District Judge, 125th Judicial District",0041,712,264,976,1518,64.30%,408,529,937
"District Judge, 125th Judicial District",0042,438,109,547,1062,51.51%,15,521,536
"District Judge, 125th Judicial District",0043,815,300,1115,1972,56.54%,451,597,1048
"District Judge, 125th Judicial District",0044,726,310,1036,2126,48.73%,211,727,938
"District Judge, 125th Judicial District",0045,2263,1021,3284,5740,57.21%,621,2510,3131
"District Judge, 125th Judicial District",0046,875,341,1216,2568,47.35%,179,961,1140
"District Judge, 125th Judicial District",0047,505,268,773,1618,47.78%,40,711,751
"District Judge, 125th Judicial District",0048,348,168,516,967,53.36%,52,436,488
"District Judge, 125th Judicial District",0049,1546,731,2277,3709,61.39%,1478,702,2180
"District Judge, 125th Judicial District",0050,1836,680,2516,4314,58.32%,1188,1240,2428
"District Judge, 125th Judicial District",0051,828,271,1099,1734,63.38%,795,263,1058
"District Judge, 125th Judicial District",0052,1400,456,1856,2581,71.91%,814,914,1728
"District Judge, 125th Judicial District",0053,1675,613,2288,3083,74.21%,894,1210,2104
"District Judge, 125th Judicial District",0054,1052,211,1263,1619,78.01%,575,591,1166
"District Judge, 125th Judicial District",0055,1262,410,1672,2094,79.85%,668,875,1543
"District Judge, 125th Judicial District",0056,698,283,981,1393,70.42%,532,389,921
"District Judge, 125th Judicial District",0057,2043,567,2610,3325,78.50%,951,1471,2422
"District Judge, 125th Judicial District",0058,1716,484,2200,3031,72.58%,943,1106,2049
"District Judge, 125th Judicial District",0059,1589,439,2028,2671,75.93%,792,1116,1908
"District Judge, 125th Judicial District",0060,1473,537,2010,2766,72.67%,501,1375,1876
"District Judge, 125th Judicial District",0061,519,423,942,1847,51.00%,229,648,877
"District Judge, 125th Judicial District",0062,689,452,1141,2195,51.98%,210,850,1060
"District Judge, 125th Judicial District",0063,767,391,1158,1903,60.85%,897,210,1107
"District Judge, 125th Judicial District",0064,678,368,1046,2220,47.12%,189,786,975
"District Judge, 125th Judicial District",0065,638,435,1073,2178,49.27%,173,843,1016
"District Judge, 125th Judicial District",0066,247,255,502,1135,44.23%,85,387,472
"District Judge, 125th Judicial District",0067,942,521,1463,3019,48.46%,272,1078,1350
"District Judge, 125th Judicial District",0068,1171,430,1601,3096,51.71%,43,1501,1544
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0069,375,222,597,1309,45.61%,93,449,542
"District Judge, 125th Judicial District",0070,2288,670,2958,3815,77.54%,1580,1203,2783
"District Judge, 125th Judicial District",0071,2703,947,3650,5016,72.77%,1731,1698,3429
"District Judge, 125th Judicial District",0072,736,418,1154,2029,56.88%,274,808,1082
"District Judge, 125th Judicial District",0073,813,282,1095,1621,67.55%,533,492,1025
"District Judge, 125th Judicial District",0074,2503,268,2771,3578,77.45%,2007,642,2649
"District Judge, 125th Judicial District",0075,1000,286,1286,1684,76.37%,534,663,1197
"District Judge, 125th Judicial District",0076,1015,427,1442,2441,59.07%,684,675,1359
"District Judge, 125th Judicial District",0077,2,5,7,17,41.18%,1,6,7
"District Judge, 125th Judicial District",0078,618,254,872,1608,54.23%,210,592,802
"District Judge, 125th Judicial District",0079,831,602,1433,2963,48.36%,244,1084,1328
"District Judge, 125th Judicial District",0080,1174,466,1640,2840,57.75%,346,1207,1553
"District Judge, 125th Judicial District",0081,776,273,1049,1964,53.41%,296,705,1001
"District Judge, 125th Judicial District",0082,1585,756,2341,3539,66.15%,1635,608,2243
"District Judge, 125th Judicial District",0083,1829,540,2369,4174,56.76%,877,1405,2282
"District Judge, 125th Judicial District",0084,573,257,830,1421,58.41%,577,226,803
"District Judge, 125th Judicial District",0085,587,329,916,2169,42.23%,38,844,882
"District Judge, 125th Judicial District",0086,2032,493,2525,3449,73.21%,1130,1238,2368
"District Judge, 125th Judicial District",0087,1451,719,2170,2839,76.44%,1231,815,2046
"District Judge, 125th Judicial District",0088,338,141,479,784,61.10%,306,149,455
"District Judge, 125th Judicial District",0089,398,424,822,1094,75.14%,422,342,764
"District Judge, 125th Judicial District",0090,1856,890,2746,3883,70.72%,1970,655,2625
"District Judge, 125th Judicial District",0091,673,339,1012,1724,58.70%,547,401,948
"District Judge, 125th Judicial District",0092,1263,474,1737,2260,76.86%,1070,568,1638
"District Judge, 125th Judicial District",0093,1048,619,1667,3536,47.14%,470,1115,1585
"District Judge, 125th Judicial District",0094,202,63,265,580,45.69%,44,207,251
"District Judge, 125th Judicial District",0095,2022,534,2556,3394,75.31%,1565,869,2434
"District Judge, 125th Judicial District",0096,828,306,1134,2060,55.05%,162,924,1086
"District Judge, 125th Judicial District",0097,2511,467,2978,4414,67.47%,2170,669,2839
"District Judge, 125th Judicial District",0098,1385,594,1979,3161,62.61%,1589,310,1899
"District Judge, 125th Judicial District",0099,681,295,976,2192,44.53%,407,524,931
"District Judge, 125th Judicial District",0100,529,276,805,1825,44.11%,319,457,776
"District Judge, 125th Judicial District",0101,221,129,350,988,35.43%,84,253,337
"District Judge, 125th Judicial District",0102,580,227,807,1907,42.32%,202,557,759
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0103,2140,985,3125,5097,61.31%,1464,1550,3014
"District Judge, 125th Judicial District",0104,913,211,1124,1920,58.54%,31,1070,1101
"District Judge, 125th Judicial District",0105,709,433,1142,2304,49.57%,276,786,1062
"District Judge, 125th Judicial District",0106,73,59,132,299,44.15%,38,89,127
"District Judge, 125th Judicial District",0107,592,403,995,2230,44.62%,151,803,954
"District Judge, 125th Judicial District",0108,1461,448,1909,3674,51.96%,894,893,1787
"District Judge, 125th Judicial District",0109,1098,278,1376,2909,47.30%,38,1298,1336
"District Judge, 125th Judicial District",0110,1661,481,2142,3222,66.48%,1207,845,2052
"District Judge, 125th Judicial District",0111,2699,866,3565,4792,74.39%,2430,972,3402
"District Judge, 125th Judicial District",0112,1507,598,2105,3188,66.03%,1364,647,2011
"District Judge, 125th Judicial District",0113,1307,418,1725,2718,63.47%,853,801,1654
"District Judge, 125th Judicial District",0114,2290,506,2796,3885,71.97%,1992,687,2679
"District Judge, 125th Judicial District",0115,609,272,881,1843,47.80%,83,763,846
"District Judge, 125th Judicial District",0116,1898,599,2497,3194,78.18%,1767,620,2387
"District Judge, 125th Judicial District",0117,573,379,952,1900,50.11%,323,568,891
"District Judge, 125th Judicial District",0118,1823,530,2353,3181,73.97%,1179,1063,2242
"District Judge, 125th Judicial District",0119,2755,409,3164,4682,67.58%,2396,625,3021
"District Judge, 125th Judicial District",0120,1804,588,2392,3732,64.09%,1363,902,2265
"District Judge, 125th Judicial District",0121,354,221,575,966,59.52%,350,208,558
"District Judge, 125th Judicial District",0122,732,284,1016,1904,53.36%,53,920,973
"District Judge, 125th Judicial District",0123,749,287,1036,1585,65.36%,261,722,983
"District Judge, 125th Judicial District",0124,3136,888,4024,5393,74.62%,3086,810,3896
"District Judge, 125th Judicial District",0125,1207,400,1607,2593,61.97%,834,704,1538
"District Judge, 125th Judicial District",0126,2017,427,2444,3380,72.31%,2033,316,2349
"District Judge, 125th Judicial District",0127,978,214,1192,2091,57.01%,817,309,1126
"District Judge, 125th Judicial District",0128,1107,612,1719,2322,74.03%,940,657,1597
"District Judge, 125th Judicial District",0129,2540,1052,3592,5172,69.45%,1982,1422,3404
"District Judge, 125th Judicial District",0130,1310,433,1743,2289,76.15%,1195,469,1664
"District Judge, 125th Judicial District",0131,798,371,1169,2147,54.45%,239,895,1134
"District Judge, 125th Judicial District",0132,1028,322,1350,2378,56.77%,49,1276,1325
"District Judge, 125th Judicial District",0133,1411,746,2157,2690,80.19%,1094,919,2013
"District Judge, 125th Judicial District",0134,593,345,938,1513,62.00%,363,523,886
"District Judge, 125th Judicial District",0135,1614,551,2165,2777,77.96%,1278,760,2038
"District Judge, 125th Judicial District",0136,982,352,1334,2116,63.04%,73,1207,1280
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0137,993,259,1252,1986,63.04%,827,376,1203
"District Judge, 125th Judicial District",0138,600,228,828,1723,48.06%,36,767,803
"District Judge, 125th Judicial District",0139,1939,601,2540,3435,73.94%,1069,1295,2364
"District Judge, 125th Judicial District",0140,1513,510,2023,3270,61.87%,298,1616,1914
"District Judge, 125th Judicial District",0141,217,153,370,904,40.93%,190,152,342
"District Judge, 125th Judicial District",0142,293,140,433,933,46.41%,83,319,402
"District Judge, 125th Judicial District",0143,1868,267,2135,2582,82.69%,1365,697,2062
"District Judge, 125th Judicial District",0144,442,125,567,1086,52.21%,20,525,545
"District Judge, 125th Judicial District",0145,560,256,816,1564,52.17%,19,774,793
"District Judge, 125th Judicial District",0146,1000,494,1494,2073,72.07%,594,821,1415
"District Judge, 125th Judicial District",0147,1411,354,1765,3211,54.97%,216,1498,1714
"District Judge, 125th Judicial District",0148,1265,652,1917,2571,74.56%,664,1128,1792
"District Judge, 125th Judicial District",0149,2938,573,3511,4756,73.82%,1921,1470,3391
"District Judge, 125th Judicial District",0150,582,223,805,1574,51.14%,34,743,777
"District Judge, 125th Judicial District",0151,282,107,389,826,47.09%,15,357,372
"District Judge, 125th Judicial District",0152,838,524,1362,3059,44.52%,265,1017,1282
"District Judge, 125th Judicial District",0153,544,399,943,1873,50.35%,201,692,893
"District Judge, 125th Judicial District",0154,913,289,1202,2293,52.42%,225,888,1113
"District Judge, 125th Judicial District",0155,2275,576,2851,4065,70.14%,1741,979,2720
"District Judge, 125th Judicial District",0156,1413,403,1816,3223,56.35%,88,1652,1740
"District Judge, 125th Judicial District",0157,880,278,1158,2265,51.13%,73,1050,1123
"District Judge, 125th Judicial District",0158,1143,365,1508,3049,49.46%,39,1431,1470
"District Judge, 125th Judicial District",0159,348,147,495,997,49.65%,74,404,478
"District Judge, 125th Judicial District",0160,286,67,353,717,49.23%,13,327,340
"District Judge, 125th Judicial District",0161,378,173,551,992,55.54%,14,514,528
"District Judge, 125th Judicial District",0162,364,267,631,1312,48.09%,151,434,585
"District Judge, 125th Judicial District",0163,1080,524,1604,3075,52.16%,419,1030,1449
"District Judge, 125th Judicial District",0164,441,258,699,1407,49.68%,25,645,670
"District Judge, 125th Judicial District",0165,1169,469,1638,2460,66.59%,889,649,1538
"District Judge, 125th Judicial District",0166,562,261,823,1171,70.28%,263,508,771
"District Judge, 125th Judicial District",0167,5,2,7,24,29.17%,0,6,6
"District Judge, 125th Judicial District",0168,196,59,255,512,49.80%,6,245,251
"District Judge, 125th Judicial District",0169,985,247,1232,2548,48.35%,45,1149,1194
"District Judge, 125th Judicial District",0170,663,262,925,1958,47.24%,408,453,861
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0171,482,283,765,1648,46.42%,40,689,729
"District Judge, 125th Judicial District",0172,245,103,348,661,52.65%,85,248,333
"District Judge, 125th Judicial District",0173,2259,683,2942,3966,74.18%,2143,667,2810
"District Judge, 125th Judicial District",0174,171,5,707,2423,3389,71.50%,1537,744,2281
"District Judge, 125th Judicial District",0175,1402,691,2093,2711,77.20%,957,993,1950
"District Judge, 125th Judicial District",0176,767,375,1142,1533,74.49%,499,558,1057
"District Judge, 125th Judicial District",0177,937,333,1270,1715,74.05%,638,547,1185
"District Judge, 125th Judicial District",0178,1116,273,1389,1795,77.38%,841,456,1297
"District Judge, 125th Judicial District",0179,771,244,1015,1673,60.67%,450,498,948
"District Judge, 125th Judicial District",0180,928,463,1391,2914,47.74%,54,1280,1334
"District Judge, 125th Judicial District",0181,697,439,1136,2195,51.75%,244,834,1078
"District Judge, 125th Judicial District",0182,1943,994,2937,4071,72.14%,1433,1300,2733
"District Judge, 125th Judicial District",0183,1286,715,2001,2535,78.93%,1148,719,1867
"District Judge, 125th Judicial District",0184,278,219,497,1048,47.42%,126,341,467
"District Judge, 125th Judicial District",0185,709,444,1153,2054,56.13%,288,801,1089
"District Judge, 125th Judicial District",0186,252,150,402,798,50.38%,29,357,386
"District Judge, 125th Judicial District",0187,95,51,147,309,47.57%,24,110,134
"District Judge, 125th Judicial District",0188,499,306,805,1711,47.05%,251,518,769
"District Judge, 125th Judicial District",0189,804,279,1083,1505,71.96%,577,439,1016
"District Judge, 125th Judicial District",0190,571,326,897,1849,48.51%,253,587,840
"District Judge, 125th Judicial District",0191,327,259,586,1408,41.62%,171,387,558
"District Judge, 125th Judicial District",0192,757,259,1016,1959,51.86%,66,911,977
