Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0001,1416,496,1912,2682,71.29%,647,1132,1779
"District Judge, 127th Judicial District",0002,1000,370,1370,2099,65.27%,546,731,1277
"District Judge, 127th Judicial District",0003,875,336,1211,1625,74.52%,411,701,1112
"District Judge, 127th Judicial District",0004,954,369,1323,1709,77.41%,427,791,1218
"District Judge, 127th Judicial District",0005,759,380,1139,1470,77.48%,385,675,1060
"District Judge, 127th Judicial District",0006,1840,628,2468,4084,60.43%,1169,1176,2345
"District Judge, 127th Judicial District",0007,430,125,555,1002,55.39%,23,516,539
"District Judge, 127th Judicial District",0008,889,351,1240,1848,67.10%,559,617,1176
"District Judge, 127th Judicial District",0009,658,312,970,1861,52.12%,217,677,894
"District Judge, 127th Judicial District",0010,701,232,933,1830,50.98%,176,670,846
"District Judge, 127th Judicial District",0011,617,258,875,1748,50.06%,164,640,804
"District Judge, 127th Judicial District",0012,230,65,295,731,40.36%,146,133,279
"District Judge, 127th Judicial District",0013,1230,382,1612,2751,58.60%,1000,512,1512
"District Judge, 127th Judicial District",0014,989,429,1418,1924,73.70%,657,673,1330
"District Judge, 127th Judicial District",0015,1489,849,2338,2852,81.98%,1196,977,2173
"District Judge, 127th Judicial District",0016,676,189,865,1284,67.37%,378,443,821
"District Judge, 127th Judicial District",0017,451,293,744,1198,62.10%,281,411,692
"District Judge, 127th Judicial District",0018,743,367,1110,1456,76.24%,475,561,1036
"District Judge, 127th Judicial District",0019,547,293,940,1288,72.98%,301,582,883
"District Judge, 127th Judicial District",0020,1007,335,1342,2780,48.27%,418,835,1253
"District Judge, 127th Judicial District",0021,539,207,746,1229,60.70%,160,550,710
"District Judge, 127th Judicial District",0022,935,419,1354,2501,54.14%,216,1083,1299
"District Judge, 127th Judicial District",0023,132,74,206,551,37.39%,34,161,195
"District Judge, 127th Judicial District",0024,292,36,328,712,46.07%,62,253,315
"District Judge, 127th Judicial District",0025,239,292,531,1105,48.05%,23,492,515
"District Judge, 127th Judicial District",0026,834,313,1147,1969,58.25%,231,828,1059
"District Judge, 127th Judicial District",0027,1391,508,1899,3271,58.06%,368,1387,1755
"District Judge, 127th Judicial District",0028,1513,446,1959,3307,59.24%,1077,807,1884
"District Judge, 127th Judicial District",0029,548,490,1138,2722,41.81%,340,724,1064
"District Judge, 127th Judicial District",0030,1285,546,1831,2818,64.98%,517,1180,1697
"District Judge, 127th Judicial District",0031,784,453,1237,2656,46.57%,44,1144,1188
"District Judge, 127th Judicial District",0032,1245,504,1749,2728,64.11%,713,903,1616
"District Judge, 127th Judicial District",0033,2072,554,2525,3907,67.21%,922,1491,2413
"District Judge, 127th Judicial District",0034,1511,517,2128,3044,69.91%,449,1570,2019
