Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0001,1416,496,1912,2682,71.29%,636,1152,1788
"District Judge, 129th Judicial District",0002,1000,370,1370,2099,65.27%,542,736,1278
"District Judge, 129th Judicial District",0003,875,336,1211,1625,74.52%,427,691,1118
"District Judge, 129th Judicial District",0004,954,369,1323,1709,77.41%,437,782,1219
"District Judge, 129th Judicial District",0005,759,380,1139,1470,77.48%,394,668,1062
"District Judge, 129th Judicial District",0006,1840,628,2468,4084,60.43%,1140,1210,2350
"District Judge, 129th Judicial District",0007,430,125,555,1002,55.39%,18,520,538
"District Judge, 129th Judicial District",0008,889,351,1240,1848,67.10%,565,611,1176
"District Judge, 129th Judicial District",0009,558,312,970,1861,52.12%,208,693,901
"District Judge, 129th Judicial District",0010,701,232,933,1830,50.98%,145,704,849
"District Judge, 129th Judicial District",0011,617,258,875,1748,50.06%,151,663,814
"District Judge, 129th Judicial District",0012,230,65,295,731,40.36%,137,143,280
"District Judge, 129th Judicial District",0013,1230,382,1612,2751,58.60%,1006,508,1514
"District Judge, 129th Judicial District",0014,989,429,1418,1924,73.70%,661,669,1330
"District Judge, 129th Judicial District",0015,1489,849,2338,2852,81.98%,1227,945,2172
"District Judge, 129th Judicial District",0016,676,189,865,1284,67.37%,386,431,817
"District Judge, 129th Judicial District",0017,451,293,744,1198,62.10%,280,414,694
"District Judge, 129th Judicial District",0018,743,367,1110,1456,76.24%,482,556,1038
"District Judge, 129th Judicial District",0019,547,293,940,1288,72.98%,302,581,883
"District Judge, 129th Judicial District",0020,1007,335,1342,2780,48.27%,414,843,1257
"District Judge, 129th Judicial District",0021,539,207,746,1229,60.70%,156,553,709
"District Judge, 129th Judicial District",0022,935,419,1354,2501,54.14%,202,1094,1296
"District Judge, 129th Judicial District",0023,132,74,206,551,37.39%,30,167,197
"District Judge, 129th Judicial District",0024,292,36,328,712,46.07%,58,257,315
"District Judge, 129th Judicial District",0025,239,292,531,1105,48.05%,20,496,516
"District Judge, 129th Judicial District",0026,834,313,1147,1969,58.25%,214,856,1070
"District Judge, 129th Judicial District",0027,1391,508,1899,3271,58.06%,343,1427,1770
"District Judge, 129th Judicial District",0028,1513,446,1959,3307,59.24%,1071,812,1883
"District Judge, 129th Judicial District",0029,548,490,1138,2722,41.81%,315,757,1072
"District Judge, 129th Judicial District",0030,1285,546,1831,2818,64.98%,516,1188,1704
"District Judge, 129th Judicial District",0031,784,453,1237,2656,46.57%,40,1148,1188
"District Judge, 129th Judicial District",0032,1245,504,1749,2728,64.11%,715,899,1614
"District Judge, 129th Judicial District",0033,2072,554,2525,3907,67.21%,924,1496,2420
"District Judge, 129th Judicial District",0034,1511,517,2128,3044,69.91%,460,1561,2021
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0035,5,0,5,14,35.71%,3,2,5
"District Judge, 129th Judicial District",0036,1032,516,1548,3100,49.94%,318,1152,1470
"District Judge, 129th Judicial District",0037,1521,409,1930,2467,78.23%,630,1158,1788
"District Judge, 129th Judicial District",0038,1876,436,2312,3081,75.04%,740,1426,2166
"District Judge, 129th Judicial District",0039,1703,492,2195,3070,71.50%,546,1495,2041
"District Judge, 129th Judicial District",0040,275,107,382,527,72.49%,160,194,354
"District Judge, 129th Judicial District",0041,712,264,976,1518,64.30%,392,544,936
"District Judge, 129th Judicial District",0042,438,109,547,1062,51.51%,14,520,534
"District Judge, 129th Judicial District",0043,815,300,1115,1972,56.54%,442,606,1048
"District Judge, 129th Judicial District",0044,726,310,1036,2126,48.73%,182,768,950
"District Judge, 129th Judicial District",0045,2263,1021,3284,5740,57.21%,583,2537,3120
"District Judge, 129th Judicial District",0046,875,341,1216,2568,47.35%,155,991,1146
"District Judge, 129th Judicial District",0047,505,268,773,1618,47.78%,39,711,750
"District Judge, 129th Judicial District",0048,348,168,516,967,53.36%,50,439,489
"District Judge, 129th Judicial District",0049,1545,731,2277,3709,61.39%,1462,717,2179
"District Judge, 129th Judicial District",0050,1836,680,2516,4314,58.32%,1174,1248,2422
"District Judge, 129th Judicial District",0051,828,271,1099,1734,63.38%,773,282,1055
"District Judge, 129th Judicial District",0052,1400,456,1856,2581,71.91%,820,909,1729
"District Judge, 129th Judicial District",0053,1675,613,2288,3083,74.21%,891,1212,2103
"District Judge, 129th Judicial District",0054,1052,211,1263,1619,78.01%,573,586,1159
"District Judge, 129th Judicial District",0055,1252,410,1672,2094,79.85%,663,879,1542
"District Judge, 129th Judicial District",0056,698,283,981,1393,70.42%,546,379,925
"District Judge, 129th Judicial District",0057,2043,567,2610,3325,78.50%,980,1436,2416
"District Judge, 129th Judicial District",0058,1716,484,2200,3031,72.58%,934,1119,2053
"District Judge, 129th Judicial District",0059,1589,439,2028,2671,75.93%,784,1115,1899
"District Judge, 129th Judicial District",0060,1473,537,2010,2766,72.67%,506,1366,1872
"District Judge, 129th Judicial District",0061,519,423,942,1847,51.00%,223,653,876
"District Judge, 129th Judicial District",0062,689,452,1141,2195,51.98%,180,885,1065
"District Judge, 129th Judicial District",0063,767,391,1158,1903,60.85%,889,216,1105
"District Judge, 129th Judicial District",0064,678,368,1046,2220,47.12%,172,808,980
"District Judge, 129th Judicial District",0065,638,435,1073,2178,49.27%,149,872,1021
"District Judge, 129th Judicial District",0066,247,255,502,1135,44.23%,79,392,471
"District Judge, 129th Judicial District",0067,942,521,1463,3019,48.46%,239,1119,1358
"District Judge, 129th Judicial District",0068,1171,430,1601,3096,51.71%,45,1500,1545
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0069,375,222,597,1309,45.61%,82,470,552
"District Judge, 129th Judicial District",0070,2288,670,2958,3815,77.54%,1580,1203,2783
"District Judge, 129th Judicial District",0071,2703,947,3650,5016,72.77%,1718,1706,3424
"District Judge, 129th Judicial District",0072,736,418,1154,2029,56.88%,240,848,1088
"District Judge, 129th Judicial District",0073,813,282,1095,1621,67.55%,525,491,1016
"District Judge, 129th Judicial District",0074,2503,268,2771,3578,77.45%,2006,633,2639
"District Judge, 129th Judicial District",0075,1000,286,1286,1684,76.37%,530,666,1196
"District Judge, 129th Judicial District",0076,1015,427,1442,2441,59.07%,660,709,1369
"District Judge, 129th Judicial District",0077,2,5,7,17,41.18%,2,5,7
"District Judge, 129th Judicial District",0078,618,254,872,1608,54.23%,181,621,802
"District Judge, 129th Judicial District",0079,831,602,1433,2963,48.36%,208,1121,1329
"District Judge, 129th Judicial District",0080,1174,466,1640,2840,57.75%,323,1220,1543
"District Judge, 129th Judicial District",0081,776,273,1049,1964,53.41%,272,713,985
"District Judge, 129th Judicial District",0082,1585,756,2341,3539,66.15%,1619,625,2244
"District Judge, 129th Judicial District",0083,1829,540,2369,4174,56.76%,847,1430,2277
"District Judge, 129th Judicial District",0084,573,257,830,1421,58.41%,564,237,801
"District Judge, 129th Judicial District",0085,587,329,916,2169,42.23%,45,831,876
"District Judge, 129th Judicial District",0086,2032,493,2525,3449,73.21%,1128,1238,2366
"District Judge, 129th Judicial District",0087,1451,719,2170,2839,76.44%,1250,791,2041
"District Judge, 129th Judicial District",0088,338,141,479,784,61.10%,300,153,453
"District Judge, 129th Judicial District",0089,398,424,822,1094,75.14%,416,347,763
"District Judge, 129th Judicial District",0090,1856,890,2746,3883,70.72%,1965,659,2624
"District Judge, 129th Judicial District",0091,673,339,1012,1724,58.70%,553,394,947
"District Judge, 129th Judicial District",0092,1263,474,1737,2260,76.86%,1066,575,1641
"District Judge, 129th Judicial District",0093,1048,619,1667,3536,47.14%,440,1145,1585
"District Judge, 129th Judicial District",0094,202,53,255,580,45.69%,42,211,253
"District Judge, 129th Judicial District",0095,2022,534,2556,3394,75.31%,1569,861,2430
"District Judge, 129th Judicial District",0096,828,306,1134,2060,55.05%,148,934,1082
"District Judge, 129th Judicial District",0097,2511,467,2978,4414,67.47%,2156,681,2837
"District Judge, 129th Judicial District",0098,1385,594,1979,3161,62.61%,1583,318,1901
"District Judge, 129th Judicial District",0099,681,295,976,2192,44.53%,385,549,934
"District Judge, 129th Judicial District",0100,529,276,805,1825,44.11%,312,460,772
"District Judge, 129th Judicial District",0101,221,129,350,988,35.43%,80,257,337
"District Judge, 129th Judicial District",0102,580,227,807,1907,42.32%,192,575,767
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0103,2140,985,3125,5097,61.31%,1431,1588,3019
"District Judge, 129th Judicial District",0104,913,211,1124,1920,58.54%,27,1068,1095
"District Judge, 129th Judicial District",0105,709,433,1142,2304,49.57%,254,813,1067
"District Judge, 129th Judicial District",0106,73,59,132,299,44.15%,40,89,129
"District Judge, 129th Judicial District",0107,592,403,995,2230,44.62%,140,814,954
"District Judge, 129th Judicial District",0108,1461,448,1909,3674,51.96%,878,908,1786
"District Judge, 129th Judicial District",0109,1098,278,1376,2909,47.30%,35,1291,1326
"District Judge, 129th Judicial District",0110,1661,481,2142,3222,66.48%,1181,870,2051
"District Judge, 129th Judicial District",0111,2699,866,3565,4792,74.39%,2405,1000,3405
"District Judge, 129th Judicial District",0112,1507,598,2105,3188,66.03%,1349,659,2008
"District Judge, 129th Judicial District",0113,1307,418,1725,2718,63.47%,846,810,1656
"District Judge, 129th Judicial District",0114,2290,506,2796,3885,71.97%,1985,693,2678
"District Judge, 129th Judicial District",0115,609,272,881,1843,47.80%,79,765,844
"District Judge, 129th Judicial District",0116,1898,599,2497,3194,78.18%,1792,594,2386
"District Judge, 129th Judicial District",0117,573,379,952,1900,50.11%,306,584,890
"District Judge, 129th Judicial District",0118,1823,530,2353,3181,73.97%,1173,1064,2237
"District Judge, 129th Judicial District",0119,2755,409,3164,4682,67.58%,2394,625,3019
"District Judge, 129th Judicial District",0120,1804,588,2392,3732,64.09%,1345,923,2268
"District Judge, 129th Judicial District",0121,354,221,575,966,59.52%,346,211,557
"District Judge, 129th Judicial District",0122,732,284,1016,1904,53.36%,54,920,974
"District Judge, 129th Judicial District",0123,749,287,1036,1585,65.36%,256,727,983
"District Judge, 129th Judicial District",0124,3136,888,4024,5393,74.62%,3074,817,3891
"District Judge, 129th Judicial District",0125,1207,400,1607,2593,61.97%,812,727,1539
"District Judge, 129th Judicial District",0126,2017,427,2444,3380,72.31%,2020,320,2340
"District Judge, 129th Judicial District",0127,978,214,1192,2091,57.01%,801,325,1126
"District Judge, 129th Judicial District",0128,1107,612,1719,2322,74.03%,976,616,1592
"District Judge, 129th Judicial District",0129,2540,1052,3592,5172,69.45%,2003,1399,3402
"District Judge, 129th Judicial District",0130,1310,433,1743,2289,76.15%,1174,487,1661
"District Judge, 129th Judicial District",0131,798,371,1169,2147,54.45%,229,907,1136
"District Judge, 129th Judicial District",0132,1028,322,1350,2378,56.77%,47,1274,1321
"District Judge, 129th Judicial District",0133,1411,746,2157,2690,80.19%,1098,906,2004
"District Judge, 129th Judicial District",0134,593,345,938,1513,62.00%,347,547,894
"District Judge, 129th Judicial District",0135,1614,551,2165,2777,77.96%,1273,770,2043
"District Judge, 129th Judicial District",0136,982,352,1334,2116,63.04%,71,1207,1278
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0137,993,259,1252,1986,63.04%,819,381,1200
"District Judge, 129th Judicial District",0138,600,228,828,1723,48.06%,33,770,803
"District Judge, 129th Judicial District",0139,1939,601,2540,3435,73.94%,1071,1278,2349
"District Judge, 129th Judicial District",0140,1513,510,2023,3270,61.87%,321,1594,1915
"District Judge, 129th Judicial District",0141,217,153,370,904,40.93%,185,156,341
"District Judge, 129th Judicial District",0142,293,140,433,933,46.41%,72,331,403
"District Judge, 129th Judicial District",0143,1868,267,2135,2582,82.69%,1356,708,2064
"District Judge, 129th Judicial District",0144,442,125,567,1086,52.21%,19,527,546
"District Judge, 129th Judicial District",0145,560,256,816,1564,52.17%,18,773,791
"District Judge, 129th Judicial District",0146,1000,494,1494,2073,72.07%,588,812,1400
"District Judge, 129th Judicial District",0147,1411,354,1765,3211,54.97%,214,1493,1707
"District Judge, 129th Judicial District",0148,1265,652,1917,2571,74.56%,684,1101,1785
"District Judge, 129th Judicial District",0149,2938,573,3511,4756,73.82%,1880,1507,3387
"District Judge, 129th Judicial District",0150,582,223,805,1574,51.14%,31,741,772
"District Judge, 129th Judicial District",0151,282,107,389,826,47.09%,14,357,371
"District Judge, 129th Judicial District",0152,838,524,1362,3059,44.52%,243,1051,1294
"District Judge, 129th Judicial District",0153,544,399,943,1873,50.35%,188,709,897
"District Judge, 129th Judicial District",0154,913,289,1202,2293,52.42%,202,920,1122
"District Judge, 129th Judicial District",0155,2275,576,2851,4065,70.14%,1707,1006,2713
"District Judge, 129th Judicial District",0156,1413,403,1815,3223,56.35%,90,1647,1737
"District Judge, 129th Judicial District",0157,880,278,1158,2265,51.13%,61,1060,1121
"District Judge, 129th Judicial District",0158,1143,365,1508,3049,49.46%,45,1422,1467
"District Judge, 129th Judicial District",0159,348,147,495,997,49.65%,71,406,477
"District Judge, 129th Judicial District",0160,286,67,353,717,49.23%,12,327,339
"District Judge, 129th Judicial District",0161,378,173,551,992,55.54%,17,512,529
"District Judge, 129th Judicial District",0162,364,267,631,1312,48.09%,141,447,588
"District Judge, 129th Judicial District",0163,1080,524,1604,3075,52.16%,401,1050,1451
"District Judge, 129th Judicial District",0164,441,258,699,1407,49.68%,22,648,670
"District Judge, 129th Judicial District",0165,1169,469,1638,2460,66.59%,889,651,1540
"District Judge, 129th Judicial District",0166,562,261,823,1171,70.28%,252,518,770
"District Judge, 129th Judicial District",0167,5,2,7,24,29.17%,0,6,6
"District Judge, 129th Judicial District",0168,196,59,255,512,49.80%,5,245,250
"District Judge, 129th Judicial District",0169,985,247,1232,2548,48.35%,45,1144,1189
"District Judge, 129th Judicial District",0170,553,262,925,1958,47.24%,392,471,863
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0171,482,283,765,1648,46.42%,36,694,730
"District Judge, 129th Judicial District",0172,245,103,348,661,52.65%,70,261,331
"District Judge, 129th Judicial District",0173,2259,683,2942,3966,74.18%,2118,686,2804
"District Judge, 129th Judicial District",0174,1718,707,2423,3389,71.50%,1526,758,2284
"District Judge, 129th Judicial District",0175,1402,691,2093,2711,77.20%,977,957,1934
"District Judge, 129th Judicial District",0176,767,375,1142,1533,74.49%,516,541,1057
"District Judge, 129th Judicial District",0177,937,333,1270,1715,74.05%,631,551,1182
"District Judge, 129th Judicial District",0178,1116,273,1389,1795,77.38%,855,431,1286
"District Judge, 129th Judicial District",0179,771,244,1015,1673,60.67%,449,501,950
"District Judge, 129th Judicial District",0180,928,463,1391,2914,47.74%,49,1283,1332
"District Judge, 129th Judicial District",0181,697,439,1136,2195,51.75%,231,850,1081
"District Judge, 129th Judicial District",0182,1943,994,2937,4071,72.14%,1455,1262,2717
"District Judge, 129th Judicial District",0183,1286,715,2001,2535,78.93%,1170,691,1861
"District Judge, 129th Judicial District",0184,278,219,497,1048,47.42%,119,342,461
"District Judge, 129th Judicial District",0185,709,444,1153,2054,56.13%,276,809,1085
"District Judge, 129th Judicial District",0186,252,150,402,798,50.38%,30,362,392
"District Judge, 129th Judicial District",0187,98,51,147,309,47.57%,18,118,136
"District Judge, 129th Judicial District",0188,499,306,805,1711,47.05%,240,529,769
"District Judge, 129th Judicial District",0189,804,279,1083,1505,71.96%,570,448,1018
"District Judge, 129th Judicial District",0190,571,326,897,1849,48.51%,242,599,841
"District Judge, 129th Judicial District",0191,327,259,586,1408,41.62%,162,398,560
"District Judge, 129th Judicial District",0192,757,259,1016,1959,51.86%,61,912,973
"District Judge, 129th Judicial District",0193,375,211,586,1099,53.32%,26,535,561
"District Judge, 129th Judicial District",0194,1138,449,1587,2172,73.07%,421,1067,1488
"District Judge, 129th Judicial District",0195,606,344,950,1739,54.63%,46,853,899
"District Judge, 129th Judicial District",0196,132,37,169,313,53.99%,14,144,158
"District Judge, 129th Judicial District",0197,998,372,1368,2969,46.08%,47,1273,1320
"District Judge, 129th Judicial District",0198,161,82,243,619,39.26%,9,224,233
"District Judge, 129th Judicial District",0199,1929,815,2744,4063,67.54%,2002,622,2624
"District Judge, 129th Judicial District",0200,2307,377,2684,3692,72.70%,1144,1379,2523
"District Judge, 129th Judicial District",0201,221,105,326,773,42.17%,11,308,319
"District Judge, 129th Judicial District",0202,421,233,654,1410,46.38%,24,602,626
"District Judge, 129th Judicial District",0203,298,111,409,988,41.40%,54,329,383
"District Judge, 129th Judicial District",0204,2099,577,2676,3568,75.00%,1330,1139,2469
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0205,771,171,942,1724,54.64%,26,889,915
"District Judge, 129th Judicial District",0206,1277,494,1771,2965,59.73%,462,1188,1650
"District Judge, 129th Judicial District",0207,605,212,817,1166,70.07%,215,549,764
"District Judge, 129th Judicial District",0208,909,338,1247,2256,55.27%,265,897,1162
"District Judge, 129th Judicial District",0209,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0210,1259,489,1748,2781,62.86%,270,1404,1674
