Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0001,1416,496,1912,2682,71.29%,658,1115,1773
"District Judge, 133rd Judicial District",0002,1000,370,1370,2099,65.27%,563,714,1277
"District Judge, 133rd Judicial District",0003,875,336,1211,1625,74.52%,430,682,1112
"District Judge, 133rd Judicial District",0004,954,369,1323,1709,77.41%,436,784,1220
"District Judge, 133rd Judicial District",0005,759,380,1139,1470,77.48%,389,667,1056
"District Judge, 133rd Judicial District",0006,1840,628,2468,4084,60.43%,1188,1157,2345
"District Judge, 133rd Judicial District",0007,430,125,555,1002,55.39%,21,517,538
"District Judge, 133rd Judicial District",0008,889,351,1240,1848,67.10%,573,603,1176
"District Judge, 133rd Judicial District",0009,658,312,970,1861,52.12%,236,658,894
"District Judge, 133rd Judicial District",0010,701,232,933,1830,50.98%,182,661,843
"District Judge, 133rd Judicial District",0011,617,258,875,1748,50.06%,180,626,806
"District Judge, 133rd Judicial District",0012,230,65,295,731,40.36%,148,130,278
"District Judge, 133rd Judicial District",0013,1230,382,1612,2751,58.60%,1031,482,1513
"District Judge, 133rd Judicial District",0014,989,429,1418,1924,73.70%,671,658,1329
"District Judge, 133rd Judicial District",0015,1489,849,2338,2852,81.98%,1237,922,2159
"District Judge, 133rd Judicial District",0016,676,189,865,1284,67.37%,397,421,818
"District Judge, 133rd Judicial District",0017,451,293,744,1198,62.10%,284,405,689
"District Judge, 133rd Judicial District",0018,743,367,1110,1456,76.24%,494,542,1036
"District Judge, 133rd Judicial District",0019,547,293,940,1288,72.98%,316,565,881
"District Judge, 133rd Judicial District",0020,1007,335,1342,2780,48.27%,426,824,1250
"District Judge, 133rd Judicial District",0021,539,207,746,1229,60.70%,162,547,709
"District Judge, 133rd Judicial District",0022,935,419,1354,2501,54.14%,216,1078,1294
"District Judge, 133rd Judicial District",0023,132,74,206,551,37.39%,35,161,196
"District Judge, 133rd Judicial District",0024,292,36,328,712,46.07%,63,251,314
"District Judge, 133rd Judicial District",0025,239,292,531,1105,48.05%,27,487,514
"District Judge, 133rd Judicial District",0026,834,313,1147,1969,58.25%,233,831,1064
"District Judge, 133rd Judicial District",0027,1391,508,1899,3271,58.06%,398,1363,1761
"District Judge, 133rd Judicial District",0028,1513,446,1959,3307,59.24%,1088,793,1881
"District Judge, 133rd Judicial District",0029,548,490,1138,2722,41.81%,346,723,1069
"District Judge, 133rd Judicial District",0030,1285,546,1831,2818,64.98%,526,1173,1699
"District Judge, 133rd Judicial District",0031,784,453,1237,2656,46.57%,44,1144,1188
"District Judge, 133rd Judicial District",0032,1245,504,1749,2728,64.11%,731,883,1614
"District Judge, 133rd Judicial District",0033,2072,554,2525,3907,67.21%,947,1470,2417
"District Judge, 133rd Judicial District",0034,1511,517,2128,3044,69.91%,471,1541,2012
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0035,5,0,5,14,35.71%,3,2,5
"District Judge, 133rd Judicial District",0036,1032,516,1548,3100,49.94%,341,1122,1463
"District Judge, 133rd Judicial District",0037,1521,409,1930,2467,78.23%,642,1143,1785
"District Judge, 133rd Judicial District",0038,1876,436,2312,3081,75.04%,748,1408,2156
"District Judge, 133rd Judicial District",0039,1703,492,2195,3070,71.50%,567,1469,2036
"District Judge, 133rd Judicial District",0040,275,107,382,527,72.49%,177,177,354
"District Judge, 133rd Judicial District",0041,712,264,976,1518,64.30%,408,526,934
"District Judge, 133rd Judicial District",0042,438,109,547,1062,51.51%,16,520,536
"District Judge, 133rd Judicial District",0043,815,300,1115,1972,56.54%,467,581,1048
"District Judge, 133rd Judicial District",0044,726,310,1036,2126,48.73%,215,726,941
"District Judge, 133rd Judicial District",0045,2263,1021,3284,5740,57.21%,633,2493,3126
