Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0001,1416,496,1912,2682,71.29%,734,1034,1768
"District Judge, 176th Judicial District",0002,1000,370,1370,2099,65.27%,579,694,1273
"District Judge, 176th Judicial District",0003,875,336,1211,1625,74.52%,490,615,1105
"District Judge, 176th Judicial District",0004,954,369,1323,1709,77.41%,536,676,1212
"District Judge, 176th Judicial District",0005,759,380,1139,1470,77.48%,472,584,1056
"District Judge, 176th Judicial District",0006,1840,628,2468,4084,60.43%,1174,1175,2349
"District Judge, 176th Judicial District",0007,430,125,555,1002,55.39%,18,520,538
"District Judge, 176th Judicial District",0008,889,351,1240,1848,67.10%,605,569,1174
"District Judge, 176th Judicial District",0009,658,312,970,1861,52.12%,237,657,894
"District Judge, 176th Judicial District",0010,701,232,933,1830,50.98%,179,653,832
"District Judge, 176th Judicial District",0011,617,258,875,1748,50.06%,168,635,803
"District Judge, 176th Judicial District",0012,230,65,295,731,40.36%,148,132,280
"District Judge, 176th Judicial District",0013,1230,382,1612,2751,58.60%,1032,482,1514
"District Judge, 176th Judicial District",0014,989,429,1418,1924,73.70%,743,579,1322
"District Judge, 176th Judicial District",0015,1489,849,2338,2852,81.98%,1419,732,2151
"District Judge, 176th Judicial District",0016,676,189,865,1284,67.37%,419,395,814
"District Judge, 176th Judicial District",0017,451,293,744,1198,62.10%,304,388,692
"District Judge, 176th Judicial District",0018,743,367,1110,1456,76.24%,566,473,1039
"District Judge, 176th Judicial District",0019,647,293,940,1288,72.98%,321,558,879
"District Judge, 176th Judicial District",0020,1007,335,1342,2780,48.27%,445,797,1242
"District Judge, 176th Judicial District",0021,539,207,746,1229,60.70%,181,527,708
"District Judge, 176th Judicial District",0022,935,419,1354,2501,54.14%,215,1084,1299
"District Judge, 176th Judicial District",0023,132,74,206,551,37.39%,34,161,195
"District Judge, 176th Judicial District",0024,292,36,328,712,46.07%,68,246,314
"District Judge, 176th Judicial District",0025,239,292,531,1105,48.05%,23,491,514
"District Judge, 176th Judicial District",0026,834,313,1147,1969,58.25%,242,811,1053
"District Judge, 176th Judicial District",0027,1391,508,1899,3271,58.06%,412,1337,1749
"District Judge, 176th Judicial District",0028,1513,446,1959,3307,59.24%,1101,777,1878
"District Judge, 176th Judicial District",0029,548,490,1138,2722,41.81%,335,728,1063
"District Judge, 176th Judicial District",0030,1285,546,1831,2818,64.98%,562,1131,1693
"District Judge, 176th Judicial District",0031,784,453,1237,2656,46.57%,41,1147,1188
"District Judge, 176th Judicial District",0032,1245,504,1749,2728,64.11%,768,841,1609
"District Judge, 176th Judicial District",0033,2072,554,2525,3907,67.21%,1015,1378,2393
"District Judge, 176th Judicial District",0034,1511,517,2128,3044,69.91%,559,1444,2003
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0035,5,0,5,14,35.71%,3,2,5
"District Judge, 176th Judicial District",0036,1032,516,1548,3100,49.94%,348,1115,1463
"District Judge, 176th Judicial District",0037,1521,409,1930,2467,78.23%,696,1077,1773
"District Judge, 176th Judicial District",0038,1876,436,2312,3081,75.04%,825,1323,2148
"District Judge, 176th Judicial District",0039,1703,492,2195,3070,71.50%,666,1354,2020
"District Judge, 176th Judicial District",0040,275,107,382,527,72.49%,216,138,354
"District Judge, 176th Judicial District",0041,712,264,976,1518,64.30%,404,528,932
"District Judge, 176th Judicial District",0042,438,109,547,1062,51.51%,15,521,536
"District Judge, 176th Judicial District",0043,815,300,1115,1972,56.54%,462,577,1039
"District Judge, 176th Judicial District",0044,726,310,1036,2126,48.73%,235,707,942
"District Judge, 176th Judicial District",0045,2263,1021,3284,5740,57.21%,630,2491,3121
"District Judge, 176th Judicial District",0046,875,341,1216,2568,47.35%,199,937,1136
"District Judge, 176th Judicial District",0047,505,268,773,1618,47.78%,45,707,752
"District Judge, 176th Judicial District",0048,348,168,516,967,53.36%,57,428,485
"District Judge, 176th Judicial District",0049,1546,731,2277,3709,61.39%,1482,696,2178
"District Judge, 176th Judicial District",0050,1836,680,2516,4314,58.32%,1203,1220,2423
"District Judge, 176th Judicial District",0051,828,271,1099,1734,63.38%,796,260,1056
"District Judge, 176th Judicial District",0052,1400,456,1856,2581,71.91%,911,807,1718
"District Judge, 176th Judicial District",0053,1675,613,2288,3083,74.21%,1015,1081,2096
"District Judge, 176th Judicial District",0054,1052,211,1263,1619,78.01%,625,536,1161
"District Judge, 176th Judicial District",0055,1262,410,1672,2094,79.85%,704,829,1533
"District Judge, 176th Judicial District",0056,698,283,981,1393,70.42%,570,347,917
"District Judge, 176th Judicial District",0057,2043,567,2610,3325,78.50%,1142,1256,2398
"District Judge, 176th Judicial District",0058,1716,484,2200,3031,72.58%,1034,1004,2038
"District Judge, 176th Judicial District",0059,1589,439,2028,2671,75.93%,898,988,1886
