Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0001,1416,496,1912,2682,71.29%,605,1165,1770
"District Judge, 178th Judicial District",0002,1000,370,1370,2099,65.27%,530,746,1276
"District Judge, 178th Judicial District",0003,875,336,1211,1625,74.52%,391,714,1105
"District Judge, 178th Judicial District",0004,954,369,1323,1709,77.41%,411,810,1221
"District Judge, 178th Judicial District",0005,759,380,1139,1470,77.48%,374,688,1062
"District Judge, 178th Judicial District",0006,1840,628,2468,4084,60.43%,1141,1202,2343
"District Judge, 178th Judicial District",0007,430,125,555,1002,55.39%,21,517,538
"District Judge, 178th Judicial District",0008,889,351,1240,1848,67.10%,540,634,1174
"District Judge, 178th Judicial District",0009,658,312,970,1861,52.12%,219,679,898
"District Judge, 178th Judicial District",0010,701,232,933,1830,50.98%,158,680,838
"District Judge, 178th Judicial District",0011,617,258,875,1748,50.06%,161,641,802
"District Judge, 178th Judicial District",0012,230,65,295,731,40.36%,140,139,279
"District Judge, 178th Judicial District",0013,1230,382,1612,2751,58.60%,986,523,1509
"District Judge, 178th Judicial District",0014,989,429,1418,1924,73.70%,645,680,1325
"District Judge, 178th Judicial District",0015,1489,849,2338,2852,81.98%,1152,1002,2154
"District Judge, 178th Judicial District",0016,676,189,865,1284,67.37%,379,434,813
"District Judge, 178th Judicial District",0017,451,293,744,1198,62.10%,275,414,689
"District Judge, 178th Judicial District",0018,743,367,1110,1456,76.24%,455,582,1037
"District Judge, 178th Judicial District",0019,647,293,940,1288,72.98%,289,593,882
"District Judge, 178th Judicial District",0020,1007,335,1342,2780,48.27%,396,852,1248
"District Judge, 178th Judicial District",0021,539,207,746,1229,60.70%,153,555,708
"District Judge, 178th Judicial District",0022,935,419,1354,2501,54.14%,209,1087,1296
"District Judge, 178th Judicial District",0023,132,74,206,551,37.39%,32,164,196
"District Judge, 178th Judicial District",0024,292,36,328,712,46.07%,57,258,315
"District Judge, 178th Judicial District",0025,239,292,531,1105,48.05%,19,495,514
