Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0001,1416,496,1912,2682,71.29%,692,1070,1762
"District Judge, 215th Judicial District",0002,1000,370,1370,2099,65.27%,566,702,1268
"District Judge, 215th Judicial District",0003,875,336,1211,1625,74.52%,460,636,1096
"District Judge, 215th Judicial District",0004,954,369,1323,1709,77.41%,504,702,1206
"District Judge, 215th Judicial District",0005,759,380,1139,1470,77.48%,447,602,1049
"District Judge, 215th Judicial District",0006,1840,628,2468,4084,60.43%,1167,1178,2345
"District Judge, 215th Judicial District",0007,430,125,555,1002,55.39%,16,522,538
"District Judge, 215th Judicial District",0008,889,351,1240,1848,67.10%,585,586,1171
"District Judge, 215th Judicial District",0009,658,312,970,1861,52.12%,217,673,890
"District Judge, 215th Judicial District",0010,701,232,933,1830,50.98%,161,676,837
"District Judge, 215th Judicial District",0011,617,258,875,1748,50.06%,157,646,803
"District Judge, 215th Judicial District",0012,230,65,295,731,40.36%,141,137,278
"District Judge, 215th Judicial District",0013,1230,382,1612,2751,58.60%,1004,505,1509
"District Judge, 215th Judicial District",0014,989,429,1418,1924,73.70%,721,603,1324
"District Judge, 215th Judicial District",0015,1489,849,2338,2852,81.98%,1389,764,2153
"District Judge, 215th Judicial District",0016,676,189,865,1284,67.37%,408,402,810
"District Judge, 215th Judicial District",0017,451,293,744,1198,62.10%,297,392,689
"District Judge, 215th Judicial District",0018,743,367,1110,1456,76.24%,543,492,1035
"District Judge, 215th Judicial District",0019,547,293,940,1288,72.98%,301,579,880
"District Judge, 215th Judicial District",0020,1007,335,1342,2780,48.27%,427,812,1239
"District Judge, 215th Judicial District",0021,539,207,746,1229,60.70%,168,538,706
"District Judge, 215th Judicial District",0022,935,419,1354,2501,54.14%,212,1087,1299
"District Judge, 215th Judicial District",0023,132,74,206,551,37.39%,33,163,196
"District Judge, 215th Judicial District",0024,292,36,328,712,46.07%,57,260,317
"District Judge, 215th Judicial District",0025,239,292,531,1105,48.05%,22,493,515
"District Judge, 215th Judicial District",0026,834,313,1147,1969,58.25%,234,821,1055
"District Judge, 215th Judicial District",0027,1391,508,1899,3271,58.06%,374,1378,1752
"District Judge, 215th Judicial District",0028,1513,446,1959,3307,59.24%,1071,808,1879
"District Judge, 215th Judicial District",0029,548,490,1138,2722,41.81%,315,751,1066
"District Judge, 215th Judicial District",0030,1285,546,1831,2818,64.98%,523,1170,1693
"District Judge, 215th Judicial District",0031,784,453,1237,2656,46.57%,33,1156,1189
"District Judge, 215th Judicial District",0032,1245,504,1749,2728,64.11%,741,867,1608
"District Judge, 215th Judicial District",0033,2072,554,2525,3907,67.21%,965,1424,2389
"District Judge, 215th Judicial District",0034,1511,517,2128,3044,69.91%,521,1480,2001
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0035,5,0,5,14,35.71%,3,2,5
"District Judge, 215th Judicial District",0036,1032,516,1548,3100,49.94%,321,1141,1462
"District Judge, 215th Judicial District",0037,1521,409,1930,2467,78.23%,681,1089,1770
"District Judge, 215th Judicial District",0038,1876,436,2312,3081,75.04%,818,1324,2142
"District Judge, 215th Judicial District",0039,1703,492,2195,3070,71.50%,619,1397,2016
"District Judge, 215th Judicial District",0040,275,107,382,527,72.49%,212,142,354
"District Judge, 215th Judicial District",0041,712,264,976,1518,64.30%,389,543,932
"District Judge, 215th Judicial District",0042,438,109,547,1062,51.51%,13,521,534
"District Judge, 215th Judicial District",0043,815,300,1115,1972,56.54%,445,596,1041
"District Judge, 215th Judicial District",0044,726,310,1036,2126,48.73%,204,731,935
"District Judge, 215th Judicial District",0045,2263,1021,3284,5740,57.21%,577,2534,3111
"District Judge, 215th Judicial District",0046,875,341,1216,2568,47.35%,179,955,1134
"District Judge, 215th Judicial District",0047,505,268,773,1618,47.78%,38,714,752
"District Judge, 215th Judicial District",0048,348,168,516,967,53.36%,48,438,486
"District Judge, 215th Judicial District",0049,1546,731,2277,3709,61.39%,1461,718,2179
"District Judge, 215th Judicial District",0050,1836,680,2516,4314,58.32%,1184,1235,2419
"District Judge, 215th Judicial District",0051,828,271,1099,1734,63.38%,788,266,1054
"District Judge, 215th Judicial District",0052,1400,456,1856,2581,71.91%,863,849,1712
"District Judge, 215th Judicial District",0053,1675,613,2288,3083,74.21%,971,1116,2087
"District Judge, 215th Judicial District",0054,1052,211,1263,1619,78.01%,603,549,1152
