Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0001,1416,496,1912,2682,71.29%,670,1095,1765
"District Judge, 339th Judicial District",0002,1000,370,1370,2099,65.27%,551,722,1273
"District Judge, 339th Judicial District",0003,875,336,1211,1625,74.52%,447,658,1105
"District Judge, 339th Judicial District",0004,954,369,1323,1709,77.41%,465,749,1214
"District Judge, 339th Judicial District",0005,759,380,1139,1470,77.48%,411,642,1053
"District Judge, 339th Judicial District",0006,1840,628,2468,4084,60.43%,1176,1166,2342
"District Judge, 339th Judicial District",0007,430,125,555,1002,55.39%,15,524,539
"District Judge, 339th Judicial District",0008,889,351,1240,1848,67.10%,575,599,1174
"District Judge, 339th Judicial District",0009,658,312,970,1861,52.12%,217,677,894
"District Judge, 339th Judicial District",0010,701,232,933,1830,50.98%,163,679,842
"District Judge, 339th Judicial District",0011,617,258,875,1748,50.06%,164,640,804
"District Judge, 339th Judicial District",0012,230,65,295,731,40.36%,144,133,277
"District Judge, 339th Judicial District",0013,1230,382,1612,2751,58.60%,1031,482,1513
"District Judge, 339th Judicial District",0014,989,429,1418,1924,73.70%,686,633,1319
"District Judge, 339th Judicial District",0015,1489,849,2338,2852,81.98%,1292,873,2165
"District Judge, 339th Judicial District",0016,676,189,865,1284,67.37%,385,429,814
"District Judge, 339th Judicial District",0017,451,293,744,1198,62.10%,285,402,687
"District Judge, 339th Judicial District",0018,743,367,1110,1456,76.24%,493,546,1039
"District Judge, 339th Judicial District",0019,647,293,940,1288,72.98%,310,568,878
"District Judge, 339th Judicial District",0020,1007,335,1342,2780,48.27%,418,828,1246
"District Judge, 339th Judicial District",0021,539,207,746,1229,60.70%,161,544,705
"District Judge, 339th Judicial District",0022,935,419,1354,2501,54.14%,219,1076,1295
"District Judge, 339th Judicial District",0023,132,74,206,551,37.39%,32,164,196
"District Judge, 339th Judicial District",0024,292,36,328,712,46.07%,60,254,314
"District Judge, 339th Judicial District",0025,239,292,531,1105,48.05%,24,490,514
"District Judge, 339th Judicial District",0026,834,313,1147,1969,58.25%,222,836,1058
"District Judge, 339th Judicial District",0027,1391,508,1899,3271,58.06%,379,1378,1757
"District Judge, 339th Judicial District",0028,1513,446,1959,3307,59.24%,1084,794,1878
"District Judge, 339th Judicial District",0029,648,490,1138,2722,41.81%,326,740,1066
"District Judge, 339th Judicial District",0030,1285,546,1831,2818,64.98%,520,1177,1697
"District Judge, 339th Judicial District",0031,784,453,1237,2656,46.57%,41,1145,1186
"District Judge, 339th Judicial District",0032,1245,504,1749,2728,64.11%,720,888,1608
"District Judge, 339th Judicial District",0033,2072,554,2626,3907,67.21%,920,1475,2395
"District Judge, 339th Judicial District",0034,1511,517,2128,3044,69.91%,469,1545,2014
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0035,5,0,5,14,35.71%,3,2,5
"District Judge, 339th Judicial District",0036,1032,516,1548,3100,49.94%,324,1141,1465
"District Judge, 339th Judicial District",0037,1521,409,1930,2467,78.23%,656,1121,1777
"District Judge, 339th Judicial District",0038,1876,436,2312,3081,75.04%,753,1399,2152
"District Judge, 339th Judicial District",0039,1703,492,2195,3070,71.50%,567,1459,2026
"District Judge, 339th Judicial District",0040,275,107,382,527,72.49%,172,182,354
"District Judge, 339th Judicial District",0041,712,264,976,1518,64.30%,393,536,929
"District Judge, 339th Judicial District",0042,438,109,547,1062,51.51%,14,522,536
"District Judge, 339th Judicial District",0043,815,300,1115,1972,56.54%,447,602,1049
"District Judge, 339th Judicial District",0044,726,310,1036,2126,48.73%,203,730,933
"District Judge, 339th Judicial District",0045,2263,1021,3284,5740,57.21%,603,2516,3119
"District Judge, 339th Judicial District",0046,875,341,1216,2568,47.35%,184,957,1141
"District Judge, 339th Judicial District",0047,505,268,773,1618,47.78%,40,710,750
"District Judge, 339th Judicial District",0048,348,168,516,967,53.36%,49,439,488
"District Judge, 339th Judicial District",0049,1545,731,2277,3709,61.39%,1472,706,2178
"District Judge, 339th Judicial District",0050,1836,680,2516,4314,58.32%,1184,1235,2419
"District Judge, 339th Judicial District",0051,828,271,1099,1734,63.38%,801,256,1057
"District Judge, 339th Judicial District",0052,1400,456,1856,2581,71.91%,837,883,1720
"District Judge, 339th Judicial District",0053,1675,613,2288,3083,74.21%,914,1175,2089
"District Judge, 339th Judicial District",0054,1052,211,1263,1619,78.01%,593,562,1155
"District Judge, 339th Judicial District",0055,1252,410,1672,2094,79.85%,681,851,1532
"District Judge, 339th Judicial District",0056,698,283,981,1393,70.42%,546,373,919
"District Judge, 339th Judicial District",0057,2043,567,2610,3325,78.50%,1024,1377,2401
"District Judge, 339th Judicial District",0058,1716,484,2200,3031,72.58%,961,1079,2040
"District Judge, 339th Judicial District",0059,1589,439,2028,2671,75.93%,819,1075,1894
"District Judge, 339th Judicial District",0060,1473,537,2010,2766,72.67%,522,1347,1869
"District Judge, 339th Judicial District",0061,519,423,942,1847,51.00%,241,634,875
"District Judge, 339th Judicial District",0062,689,452,1141,2195,51.98%,200,852,1052
"District Judge, 339th Judicial District",0063,767,391,1158,1903,60.85%,905,200,1105
"District Judge, 339th Judicial District",0064,678,368,1046,2220,47.12%,177,794,971
"District Judge, 339th Judicial District",0065,638,435,1073,2178,49.27%,171,843,1014
"District Judge, 339th Judicial District",0066,247,255,502,1135,44.23%,85,382,467
"District Judge, 339th Judicial District",0067,942,521,1463,3019,48.46%,265,1085,1350
"District Judge, 339th Judicial District",0068,1171,430,1601,3096,51.71%,39,1501,1540
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0069,375,222,597,1309,45.61%,90,450,540
"District Judge, 339th Judicial District",0070,2288,670,2958,3815,77.54%,1606,1157,2763
"District Judge, 339th Judicial District",0071,2703,947,3650,5016,72.77%,1751,1653,3404
"District Judge, 339th Judicial District",0072,736,418,1154,2029,56.88%,270,801,1071
"District Judge, 339th Judicial District",0073,813,282,1095,1621,67.55%,542,476,1018
"District Judge, 339th Judicial District",0074,2503,268,2771,3578,77.45%,2032,608,2640
"District Judge, 339th Judicial District",0075,1000,286,1286,1684,76.37%,563,621,1184
"District Judge, 339th Judicial District",0076,1015,427,1442,2441,59.07%,680,680,1360
"District Judge, 339th Judicial District",0077,2,5,7,17,41.18%,1,6,7
"District Judge, 339th Judicial District",0078,618,254,872,1608,54.23%,204,593,797
"District Judge, 339th Judicial District",0079,831,602,1433,2963,48.36%,233,1084,1317
"District Judge, 339th Judicial District",0080,1174,466,1640,2840,57.75%,347,1199,1546
"District Judge, 339th Judicial District",0081,776,273,1049,1964,53.41%,293,695,988
"District Judge, 339th Judicial District",0082,1585,756,2341,3539,66.15%,1650,590,2240
"District Judge, 339th Judicial District",0083,1829,540,2369,4174,56.76%,866,1404,2270
"District Judge, 339th Judicial District",0084,573,257,830,1421,58.41%,569,230,799
"District Judge, 339th Judicial District",0085,587,329,916,2169,42.23%,42,840,882
"District Judge, 339th Judicial District",0086,2032,493,2525,3449,73.21%,1143,1212,2355
"District Judge, 339th Judicial District",0087,1451,719,2170,2839,76.44%,1295,736,2031
"District Judge, 339th Judicial District",0088,338,141,479,784,61.10%,307,144,451
