Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0001,1416,496,1912,2682,71.29%,715,1046,1761
"District Judge, 351 st Judicial District",0002,1000,370,1370,2099,65.27%,572,698,1270
"District Judge, 351 st Judicial District",0003,875,336,1211,1625,74.52%,482,615,1097
"District Judge, 351 st Judicial District",0004,954,369,1323,1709,77.41%,531,682,1213
"District Judge, 351 st Judicial District",0005,759,380,1139,1470,77.48%,458,590,1048
"District Judge, 351 st Judicial District",0006,1840,628,2468,4084,60.43%,1171,1173,2344
"District Judge, 351 st Judicial District",0007,430,125,555,1002,55.39%,16,523,539
"District Judge, 351 st Judicial District",0008,889,351,1240,1848,67.10%,606,567,1173
"District Judge, 351 st Judicial District",0009,658,312,970,1861,52.12%,241,654,895
"District Judge, 351 st Judicial District",0010,701,232,933,1830,50.98%,173,666,839
"District Judge, 351 st Judicial District",0011,617,258,875,1748,50.06%,161,640,801
"District Judge, 351 st Judicial District",0012,230,65,295,731,40.36%,145,133,278
"District Judge, 351 st Judicial District",0013,1230,382,1612,2751,58.60%,1031,484,1515
"District Judge, 351 st Judicial District",0014,989,429,1418,1924,73.70%,733,587,1320
"District Judge, 351 st Judicial District",0015,1489,849,2338,2852,81.98%,1423,733,2156
"District Judge, 351 st Judicial District",0016,676,189,865,1284,67.37%,413,398,811
"District Judge, 351 st Judicial District",0017,451,293,744,1198,62.10%,306,382,688
"District Judge, 351 st Judicial District",0018,743,367,1110,1456,76.24%,555,484,1039
"District Judge, 351 st Judicial District",0019,647,293,940,1288,72.98%,320,557,877
"District Judge, 351 st Judicial District",0020,1007,335,1342,2780,48.27%,447,791,1238
"District Judge, 351 st Judicial District",0021,539,207,746,1229,60.70%,181,525,706
"District Judge, 351 st Judicial District",0022,935,419,1354,2501,54.14%,219,1074,1293
"District Judge, 351 st Judicial District",0023,132,74,206,551,37.39%,34,162,196
"District Judge, 351 st Judicial District",0024,292,36,328,712,46.07%,62,249,311
"District Judge, 351 st Judicial District",0025,239,292,531,1105,48.05%,24,490,514
"District Judge, 351 st Judicial District",0026,834,313,1147,1969,58.25%,231,820,1051
"District Judge, 351 st Judicial District",0027,1391,508,1899,3271,58.06%,403,1350,1753
"District Judge, 351 st Judicial District",0028,1513,446,1959,3307,59.24%,1093,786,1879
"District Judge, 351 st Judicial District",0029,648,490,1138,2722,41.81%,327,740,1067
