Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0001,1416,496,1912,2682,71.29%,643,1142,1785
"District Judge, 80th Judicial District",0002,1000,370,1370,2099,65.27%,553,725,1278
"District Judge, 80th Judicial District",0003,875,336,1211,1625,74.52%,431,687,1118
"District Judge, 80th Judicial District",0004,954,369,1323,1709,77.41%,430,804,1234
"District Judge, 80th Judicial District",0005,759,380,1139,1470,77.48%,389,670,1059
"District Judge, 80th Judicial District",0006,1840,628,2468,4084,60.43%,1185,1176,2361
"District Judge, 80th Judicial District",0007,430,125,555,1002,55.39%,20,518,538
"District Judge, 80th Judicial District",0008,889,351,1240,1848,67.10%,573,608,1181
"District Judge, 80th Judicial District",0009,658,312,970,1861,52.12%,216,679,895
"District Judge, 80th Judicial District",0010,701,232,933,1830,50.98%,171,672,843
"District Judge, 80th Judicial District",0011,617,258,875,1748,50.06%,170,639,809
"District Judge, 80th Judicial District",0012,230,65,295,731,40.36%,144,134,278
"District Judge, 80th Judicial District",0013,1230,382,1612,2751,58.60%,1020,498,1518
"District Judge, 80th Judicial District",0014,989,429,1418,1924,73.70%,653,684,1337
"District Judge, 80th Judicial District",0015,1489,849,2338,2852,81.98%,1187,983,2170
"District Judge, 80th Judicial District",0016,676,189,865,1284,67.37%,382,437,819
"District Judge, 80th Judicial District",0017,451,293,744,1198,62.10%,283,409,692
"District Judge, 80th Judicial District",0018,743,367,1110,1456,76.24%,485,557,1042
"District Judge, 80th Judicial District",0019,647,293,940,1288,72.98%,294,593,887
"District Judge, 80th Judicial District",0020,1007,335,1342,2780,48.27%,412,843,1255
"District Judge, 80th Judicial District",0021,539,207,746,1229,60.70%,161,549,710
"District Judge, 80th Judicial District",0022,935,419,1354,2501,54.14%,215,1083,1298
"District Judge, 80th Judicial District",0023,132,74,206,551,37.39%,33,164,197
"District Judge, 80th Judicial District",0024,292,36,328,712,46.07%,57,258,315
"District Judge, 80th Judicial District",0025,239,292,531,1105,48.05%,23,492,515
"District Judge, 80th Judicial District",0026,834,313,1147,1969,58.25%,237,831,1068
"District Judge, 80th Judicial District",0027,1391,508,1899,3271,58.06%,375,1381,1756
"District Judge, 80th Judicial District",0028,1513,446,1959,3307,59.24%,1078,803,1881
"District Judge, 80th Judicial District",0029,648,490,1138,2722,41.81%,341,731,1072
"District Judge, 80th Judicial District",0030,1285,546,1831,2818,64.98%,518,1191,1709
"District Judge, 80th Judicial District",0031,784,453,1237,2656,46.57%,42,1150,1192
"District Judge, 80th Judicial District",0032,1245,504,1749,2728,64.11%,703,916,1619
