Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., Proposition 1",0001,1416,496,1912,2682,71.29%,569,949,1518
"Houston |.S.D., Proposition 1",0002,1000,370,1370,2099,65.27%,400,678,1078
"Houston |.S.D., Proposition 1",0003,875,335,1211,1625,74.52%,371,599,970
"Houston |.S.D., Proposition 1",0004,954,369,1323,1709,77.41%,445,679,1124
"Houston |.S.D., Proposition 1",0005,759,380,1139,1470,77.48%,321,607,928
"Houston |.S.D., Proposition 1",0007,430,125,555,1002,55.39%,139,214,353
"Houston |.S.D., Proposition 1",0008,889,351,1240,1848,67.10%,329,642,971
"Houston |.S.D., Proposition 1",0009,658,312,970,1861,52.12%,285,439,724
"Houston |.S.D., Proposition 1",0010,701,232,933,1830,50.98%,319,372,691
"Houston |.S.D., Proposition 1",0011,517,258,875,1748,50.06%,241,381,622
"Houston |.S.D., Proposition 1",0014,989,429,1418,1924,73.70%,372,849,1221
"Houston |.S.D., Proposition 1",0015,1489,849,2338,2852,81.98%,635,1285,1920
"Houston |.S.D., Proposition 1",0016,676,189,865,1284,67.37%,251,395,646
"Houston |.S.D., Proposition 1",0017,451,293,744,1198,62.10%,229,352,581
"Houston |.S.D., Proposition 1",0018,743,357,1110,1456,76.24%,314,617,931
"Houston |.S.D., Proposition 1",0019,547,293,940,1288,72.98%,251,481,732
"Houston |.S.D., Proposition 1",0020,1007,335,1342,2780,48.27%,398,647,1045
"Houston |.S.D., Proposition 1",0021,539,207,746,1229,60.70%,184,402,586
"Houston |.S.D., Proposition 1",0022,935,419,1354,2501,54.14%,372,652,1024
"Houston |.S.D., Proposition 1",0023,132,74,206,551,37.39%,69,79,148
"Houston |.S.D., Proposition 1",0024,292,36,328,712,46.07%,91,157,248
"Houston |.S.D., Proposition 1",0025,239,292,531,1105,48.05%,161,175,336
"Houston |.S.D., Proposition 1",0026,834,313,1147,1969,58.25%,330,565,895
"Houston |.S.D., Proposition 1",0027,1391,508,1899,3271,58.06%,563,873,1436
"Houston |.S.D., Proposition 1",0030,1285,546,1831,2818,64.98%,494,900,1394
