Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Clyde Raymond Leuchtag,DEM George Barnstone,Totals
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0001,1416,496,1912,2682,71.29%,692,1068,1760
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0002,1000,370,1370,2099,65.27%,569,708,1277
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0003,875,336,1211,1625,74.52%,467,644,1111
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0004,954,369,1323,1709,77.41%,501,709,1210
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0005,759,380,1139,1470,77.48%,444,609,1053
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0006,1840,628,2468,4084,60.43%,1165,1179,2344
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0007,430,125,555,1002,55.39%,22,514,536
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0008,889,351,1240,1848,67.10%,591,585,1176
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0009,658,312,970,1861,52.12%,232,660,892
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0010,701,232,933,1830,50.98%,175,665,840
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0011,617,258,875,1748,50.06%,159,643,802
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0012,230,65,295,731,40.36%,144,134,278
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0013,1230,382,1612,2751,58.60%,1014,500,1514
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0014,989,429,1418,1924,73.70%,727,599,1326
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0015,1489,849,2338,2852,81.98%,1381,769,2150
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0016,676,189,865,1284,67.37%,415,397,812
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0017,451,293,744,1198,62.10%,302,389,691
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0018,743,367,1110,1456,76.24%,545,494,1039
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0019,547,293,940,1288,72.98%,312,565,877
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0020,1007,335,1342,2780,48.27%,444,806,1250
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0021,539,207,746,1229,60.70%,174,529,703
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0022,935,419,1354,2501,54.14%,227,1067,1294
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0023,132,74,206,551,37.39%,30,166,196
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0024,292,36,328,712,46.07%,63,250,313
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0025,239,292,531,1105,48.05%,26,489,515
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0026,834,313,1147,1969,58.25%,241,815,1056
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0027,1391,508,1899,3271,58.06%,392,1361,1753
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0028,1513,446,1959,3307,59.24%,1083,798,1881
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0029,548,490,1138,2722,41.81%,319,746,1065
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0030,1285,546,1831,2818,64.98%,526,1176,1702
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0031,784,453,1237,2656,46.57%,42,1145,1187
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0032,1245,504,1749,2728,64.11%,745,866,1611
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0033,2072,554,2525,3907,67.21%,980,1420,2400
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0034,1511,517,2128,3044,69.91%,524,1494,2018
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Clyde Raymond Leuchtag,DEM George Barnstone,Totals
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0035,5,0,5,14,35.71%,3,2,5
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0036,1032,516,1548,3100,49.94%,326,1138,1464
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0037,1521,409,1930,2467,78.23%,672,1109,1781
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0038,1876,436,2312,3081,75.04%,796,1361,2157
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0039,1703,492,2195,3070,71.50%,615,1414,2029
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0040,275,107,382,527,72.49%,203,148,351
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0041,712,264,976,1518,64.30%,399,533,932
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0042,438,109,547,1062,51.51%,14,522,536
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0043,815,300,1115,1972,56.54%,452,593,1045
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0044,726,310,1036,2126,48.73%,214,718,932
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0045,2263,1021,3284,5740,57.21%,605,2509,3114
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0046,875,341,1216,2568,47.35%,178,959,1137
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0047,505,268,773,1618,47.78%,43,707,750
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0048,348,168,516,967,53.36%,54,433,487
