Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0001,141,6,496,1912,2682,71.29%,735,1039,1774
"Judge, County Criminal Court No. 16",0002,1000,370,1370,2099,65.27%,580,697,1277
"Judge, County Criminal Court No. 16",0003,875,336,1211,1625,74.52%,462,646,1108
"Judge, County Criminal Court No. 16",0004,954,369,1323,1709,77.41%,490,725,1215
"Judge, County Criminal Court No. 16",0005,759,380,1139,1470,77.48%,430,626,1056
"Judge, County Criminal Court No. 16",0006,1840,628,2468,4084,60.43%,1198,1158,2356
"Judge, County Criminal Court No. 16",0007,430,125,555,1002,55.39%,24,516,540
"Judge, County Criminal Court No. 16",0008,889,351,1240,1848,67.10%,601,574,1175
"Judge, County Criminal Court No. 16",0009,658,312,970,1861,52.12%,275,631,906
"Judge, County Criminal Court No. 16",0010,701,232,933,1830,50.98%,229,624,853
"Judge, County Criminal Court No. 16",0011,617,258,875,1748,50.06%,218,598,816
"Judge, County Criminal Court No. 16",0012,230,65,295,731,40.36%,152,125,277
"Judge, County Criminal Court No. 16",0013,1230,382,1612,2751,58.60%,1049,467,1516
"Judge, County Criminal Court No. 16",0014,989,429,1418,1924,73.70%,698,624,1322
"Judge, County Criminal Court No. 16",0015,1489,849,2338,2852,81.98%,1293,856,2149
"Judge, County Criminal Court No. 16",0016,676,189,865,1284,67.37%,396,420,816
"Judge, County Criminal Court No. 16",0017,451,293,744,1198,62.10%,297,395,692
"Judge, County Criminal Court No. 16",0018,743,367,1110,1456,76.24%,514,527,1041
"Judge, County Criminal Court No. 16",0019,647,293,940,1288,72.98%,326,551,877
"Judge, County Criminal Court No. 16",0020,1007,335,1342,2780,48.27%,446,796,1242
"Judge, County Criminal Court No. 16",0021,539,207,746,1229,60.70%,180,524,704
"Judge, County Criminal Court No. 16",0022,935,419,1354,2501,54.14%,228,1071,1299
