Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0001,1426,496,1922,2682,71.66%,663,1022,98,51,1834
"Judge, Court of Criminal Appeals, Place 2",0002,1007,370,1377,2099,65.60%,536,676,73,29,1314
"Judge, Court of Criminal Appeals, Place 2",0003,875,336,1211,1625,74.52%,427,615,65,33,1140
"Judge, Court of Criminal Appeals, Place 2",0004,955,369,1324,1709,77.47%,447,716,64,23,1250
"Judge, Court of Criminal Appeals, Place 2",0005,760,380,1140,1470,77.55%,405,604,51,24,1084
"Judge, Court of Criminal Appeals, Place 2",0006,1841,628,2469,4084,60.46%,1117,1125,94,44,2380
"Judge, Court of Criminal Appeals, Place 2",0007,430,125,555,1002,55.39%,20,511,4,5,540
"Judge, Court of Criminal Appeals, Place 2",0008,891,351,1242,1848,67.21%,554,551,60,27,1192
"Judge, Court of Criminal Appeals, Place 2",0009,552,312,974,1861,52.34%,209,643,32,34,918
"Judge, Court of Criminal Appeals, Place 2",0010,703,232,935,1830,51.09%,167,640,26,30,863
"Judge, Court of Criminal Appeals, Place 2",0011,619,258,877,1748,50.17%,165,611,22,28,826
"Judge, Court of Criminal Appeals, Place 2",0012,230,65,295,731,40.36%,143,128,8,2,281
"Judge, Court of Criminal Appeals, Place 2",0013,1232,382,1614,2751,58.67%,1013,468,38,20,1539
"Judge, Court of Criminal Appeals, Place 2",0014,992,429,1421,1924,73.86%,672,616,43,22,1353
"Judge, Court of Criminal Appeals, Place 2",0015,1490,849,2339,2852,82.01%,1287,862,49,9,2207
"Judge, Court of Criminal Appeals, Place 2",0016,683,189,872,1284,67.91%,375,398,51,18,842
"Judge, Court of Criminal Appeals, Place 2",0017,452,293,745,1198,62.19%,283,383,28,8,702
"Judge, Court of Criminal Appeals, Place 2",0018,744,367,1111,1456,76.30%,501,510,34,12,1057
"Judge, Court of Criminal Appeals, Place 2",0019,652,293,945,1288,73.37%,289,527,72,17,905
"Judge, Court of Criminal Appeals, Place 2",0020,1013,335,1348,2780,48.49%,384,777,80,36,1277
"Judge, Court of Criminal Appeals, Place 2",0021,541,207,748,1229,60.86%,138,504,61,24,727
"Judge, Court of Criminal Appeals, Place 2",0022,936,419,1355,2501,54.18%,198,1058,29,27,1312
"Judge, Court of Criminal Appeals, Place 2",0023,132,74,206,551,37.39%,32,150,10,8,200
