Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0001,1426,496,1922,2682,71.66%,663,1017,84,62,1826
"Judge, Court of Criminal Appeals, Place 5",0002,1007,370,1377,2099,65.60%,551,666,62,39,1318
"Judge, Court of Criminal Appeals, Place 5",0003,875,336,1211,1625,74.52%,434,620,47,34,1135
"Judge, Court of Criminal Appeals, Place 5",0004,955,369,1324,1709,77.47%,444,704,57,36,1241
"Judge, Court of Criminal Appeals, Place 5",0005,760,380,1140,1470,77.55%,423,577,49,29,1078
"Judge, Court of Criminal Appeals, Place 5",0006,1841,628,2469,4084,60.46%,1127,1116,70,68,2381
"Judge, Court of Criminal Appeals, Place 5",0007,430,125,555,1002,55.39%,19,514,1,6,540
"Judge, Court of Criminal Appeals, Place 5",0008,891,351,1242,1848,67.21%,583,542,40,29,1194
"Judge, Court of Criminal Appeals, Place 5",0009,552,312,974,1861,52.34%,210,613,28,60,911
"Judge, Court of Criminal Appeals, Place 5",0010,703,232,935,1830,51.09%,164,626,11,63,864
"Judge, Court of Criminal Appeals, Place 5",0011,619,258,877,1748,50.17%,162,600,10,55,827
"Judge, Court of Criminal Appeals, Place 5",0012,230,65,295,731,40.36%,141,132,4,4,281
"Judge, Court of Criminal Appeals, Place 5",0013,1232,382,1614,2751,58.67%,992,477,42,32,1543
"Judge, Court of Criminal Appeals, Place 5",0014,992,429,1421,1924,73.86%,693,587,37,30,1347
"Judge, Court of Criminal Appeals, Place 5",0015,1490,849,2339,2852,82.01%,1330,801,43,21,2195
"Judge, Court of Criminal Appeals, Place 5",0016,683,189,872,1284,67.91%,390,387,43,17,837
"Judge, Court of Criminal Appeals, Place 5",0017,452,293,745,1198,62.19%,304,371,15,12,702
"Judge, Court of Criminal Appeals, Place 5",0018,744,367,1111,1456,76.30%,528,475,27,25,1055
"Judge, Court of Criminal Appeals, Place 5",0019,652,293,945,1288,73.37%,300,520,45,33,898
"Judge, Court of Criminal Appeals, Place 5",0020,1013,335,1348,2780,48.49%,400,757,68,52,1277
"Judge, Court of Criminal Appeals, Place 5",0021,541,207,748,1229,60.86%,150,496,43,33,722
"Judge, Court of Criminal Appeals, Place 5",0022,936,419,1355,2501,54.18%,207,1048,25,29,1309
"Judge, Court of Criminal Appeals, Place 5",0023,132,74,206,551,37.39%,28,147,11,15,201
"Judge, Court of Criminal Appeals, Place 5",0024,294,36,330,712,46.35%,57,245,3,14,319
"Judge, Court of Criminal Appeals, Place 5",0025,241,292,533,1105,48.24%,24,480,4,7,515
"Judge, Court of Criminal Appeals, Place 5",0026,836,313,1149,1969,58.35%,224,761,17,83,1085
"Judge, Court of Criminal Appeals, Place 5",0027,1394,508,1902,3271,58.15%,373,1261,33,126,1793
"Judge, Court of Criminal Appeals, Place 5",0028,1517,446,1963,3307,59.36%,1082,774,25,28,1909
"Judge, Court of Criminal Appeals, Place 5",0029,648,490,1138,2722,41.81%,312,703,15,53,1083
"Judge, Court of Criminal Appeals, Place 5",0030,1292,546,1838,2818,65.22%,508,1115,77,33,1733
"Judge, Court of Criminal Appeals, Place 5",0031,786,453,1239,2656,46.65%,39,1137,10,10,1196
"Judge, Court of Criminal Appeals, Place 5",0032,1269,504,1773,2728,64.99%,705,845,95,29,1674
"Judge, Court of Criminal Appeals, Place 5",0033,2086,554,2640,3907,67.57%,909,1377,130,69,2485
"Judge, Court of Criminal Appeals, Place 5",0034,1613,517,2130,3044,69.97%,463,1395,85,91,2034
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0035,5,0,5,14,35.71%,2,2,1,0,5
"Judge, Court of Criminal Appeals, Place 5",0036,1032,516,1548,3100,49.94%,306,1098,23,55,1482
"Judge, Court of Criminal Appeals, Place 5",0037,1537,409,1946,2467,78.88%,643,1073,66,53,1835
"Judge, Court of Criminal Appeals, Place 5",0038,1879,436,2315,3081,75.14%,757,1290,79,58,2184
"Judge, Court of Criminal Appeals, Place 5",0039,1711,492,2203,3070,71.76%,592,1364,71,51,2078
"Judge, Court of Criminal Appeals, Place 5",0040,275,107,382,527,72.49%,192,156,7,6,361
"Judge, Court of Criminal Appeals, Place 5",0041,712,264,976,1518,64.30%,391,517,23,18,949
"Judge, Court of Criminal Appeals, Place 5",0042,438,109,547,1062,51.51%,13,519,1,5,538
"Judge, Court of Criminal Appeals, Place 5",0043,817,300,1117,1972,56.64%,449,550,26,37,1062
"Judge, Court of Criminal Appeals, Place 5",0044,729,310,1039,2126,48.87%,190,682,18,74,964
"Judge, Court of Criminal Appeals, Place 5",0045,2263,1021,3284,5740,57.21%,574,2432,60,89,3155
"Judge, Court of Criminal Appeals, Place 5",0046,876,341,1217,2568,47.39%,173,888,19,71,1151
"Judge, Court of Criminal Appeals, Place 5",0047,507,268,775,1618,47.90%,36,702,3,12,753
"Judge, Court of Criminal Appeals, Place 5",0048,348,168,516,967,53.36%,47,428,6,13,494
"Judge, Court of Criminal Appeals, Place 5",0049,1548,731,2279,3709,61.45%,1461,663,51,31,2206
"Judge, Court of Criminal Appeals, Place 5",0050,1838,680,2518,4314,58.37%,1156,1198,56,35,2445
"Judge, Court of Criminal Appeals, Place 5",0051,829,271,1100,1734,63.44%,768,251,32,16,1067
"Judge, Court of Criminal Appeals, Place 5",0052,1408,456,1864,2581,72.22%,834,820,69,40,1763
"Judge, Court of Criminal Appeals, Place 5",0053,1680,613,2293,3083,74.38%,927,1068,91,55,2141
"Judge, Court of Criminal Appeals, Place 5",0054,1056,211,1267,1619,78.26%,578,554,34,25,1191
"Judge, Court of Criminal Appeals, Place 5",0055,1272,410,1682,2094,80.32%,652,806,84,38,1580
"Judge, Court of Criminal Appeals, Place 5",0056,698,283,981,1393,70.42%,544,342,34,21,941
"Judge, Court of Criminal Appeals, Place 5",0057,2045,567,2612,3325,78.56%,1047,1250,98,58,2453
"Judge, Court of Criminal Appeals, Place 5",0058,1717,484,2201,3031,72.62%,947,996,84,49,2076
"Judge, Court of Criminal Appeals, Place 5",0059,1594,439,2033,2671,76.11%,818,986,71,53,1928
"Judge, Court of Criminal Appeals, Place 5",0060,1477,537,2014,2766,72.81%,521,1238,72,91,1922
"Judge, Court of Criminal Appeals, Place 5",0061,519,423,942,1847,51.00%,231,612,17,35,895
"Judge, Court of Criminal Appeals, Place 5",0062,689,452,1141,2195,51.98%,183,799,12,72,1066
"Judge, Court of Criminal Appeals, Place 5",0063,767,391,1158,1903,60.85%,894,189,23,9,1115
"Judge, Court of Criminal Appeals, Place 5",0064,678,368,1046,2220,47.12%,174,734,11,59,978
"Judge, Court of Criminal Appeals, Place 5",0065,639,435,1074,2178,49.31%,153,792,18,63,1026
"Judge, Court of Criminal Appeals, Place 5",0066,247,255,502,1135,44.23%,77,370,11,20,478
"Judge, Court of Criminal Appeals, Place 5",0067,944,521,1465,3019,48.53%,244,1029,25,75,1373
"Judge, Court of Criminal Appeals, Place 5",0068,1172,430,1602,3096,51.74%,42,1490,8,13,1553
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0069,375,222,597,1309,45.61%,85,430,7,32,554
"Judge, Court of Criminal Appeals, Place 5",0070,2297,670,2967,3815,77.77%,1661,1061,76,32,2830
"Judge, Court of Criminal Appeals, Place 5",0071,2719,947,3666,5016,73.09%,1688,1574,191,49,3502
"Judge, Court of Criminal Appeals, Place 5",0072,737,418,1155,2029,56.92%,247,761,17,76,1101
"Judge, Court of Criminal Appeals, Place 5",0073,813,282,1095,1621,67.55%,534,450,22,30,1036
"Judge, Court of Criminal Appeals, Place 5",0074,2503,268,2771,3578,77.45%,2016,578,49,19,2662
"Judge, Court of Criminal Appeals, Place 5",0075,1002,286,1288,1684,76.48%,521,604,64,34,1223
"Judge, Court of Criminal Appeals, Place 5",0076,1015,427,1442,2441,59.07%,652,655,30,44,1381
"Judge, Court of Criminal Appeals, Place 5",0077,2,5,7,1,7,41.18%,1,5,0,1,7
"Judge, Court of Criminal Appeals, Place 5",0078,619,254,873,1608,54.29%,196,543,25,46,810
"Judge, Court of Criminal Appeals, Place 5",0079,831,602,1433,2963,48.36%,221,1014,18,89,1342
"Judge, Court of Criminal Appeals, Place 5",0080,1175,466,1641,2840,57.78%,344,1152,13,56,1565
"Judge, Court of Criminal Appeals, Place 5",0081,776,273,1049,1964,53.41%,269,673,10,43,995
"Judge, Court of Criminal Appeals, Place 5",0082,1588,756,2344,3539,66.23%,1609,567,75,25,2276
"Judge, Court of Criminal Appeals, Place 5",0083,1834,540,2374,4174,56.88%,847,1367,43,47,2304
