Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0001,1426,496,1922,2682,71.66%,640,1061,119,1820
"Judge, Court of Criminal Appeals, Place 6",0002,1007,370,1377,2099,65.60%,529,700,78,1307
"Judge, Court of Criminal Appeals, Place 6",0003,875,336,1211,1625,74.52%,419,642,67,1128
"Judge, Court of Criminal Appeals, Place 6",0004,955,369,1324,1709,77.47%,426,754,69,1249
"Judge, Court of Criminal Appeals, Place 6",0005,760,380,1140,1470,77.55%,398,616,66,1080
"Judge, Court of Criminal Appeals, Place 6",0006,1841,628,2469,4084,60.46%,1133,1136,107,2376
"Judge, Court of Criminal Appeals, Place 6",0007,430,125,555,1002,55.39%,17,516,9,542
"Judge, Court of Criminal Appeals, Place 6",0008,891,351,1242,1848,67.21%,559,569,61,1189
"Judge, Court of Criminal Appeals, Place 6",0009,662,312,974,1861,52.34%,206,648,52,906
"Judge, Court of Criminal Appeals, Place 6",0010,703,232,935,1830,51.09%,174,654,30,858
"Judge, Court of Criminal Appeals, Place 6",0011,619,258,877,1748,50.17%,163,618,39,820
"Judge, Court of Criminal Appeals, Place 6",0012,230,65,295,731,40.36%,139,135,7,281
"Judge, Court of Criminal Appeals, Place 6",0013,1232,382,1614,2751,58.67%,985,485,67,1537
"Judge, Court of Criminal Appeals, Place 6",0014,992,429,1421,1924,73.86%,669,635,48,1352
"Judge, Court of Criminal Appeals, Place 6",0015,1490,849,2339,2852,82.01%,1266,866,55,2187
"Judge, Court of Criminal Appeals, Place 6",0016,683,189,872,1284,67.91%,376,405,56,837
"Judge, Court of Criminal Appeals, Place 6",0017,452,293,745,1198,62.19%,292,385,22,699
"Judge, Court of Criminal Appeals, Place 6",0018,744,367,1111,1456,76.30%,482,521,47,1050
"Judge, Court of Criminal Appeals, Place 6",0019,652,293,945,1288,73.37%,292,537,70,899
"Judge, Court of Criminal Appeals, Place 6",0020,1013,335,1348,2780,48.49%,386,786,96,1268
"Judge, Court of Criminal Appeals, Place 6",0021,541,207,748,1229,60.86%,145,529,53,727
"Judge, Court of Criminal Appeals, Place 6",0022,936,419,1355,2501,54.18%,200,1069,39,1308
"Judge, Court of Criminal Appeals, Place 6",0023,132,74,206,551,37.39%,31,150,20,201
"Judge, Court of Criminal Appeals, Place 6",0024,294,36,330,712,46.35%,60,245,13,318
"Judge, Court of Criminal Appeals, Place 6",0025,241,292,533,1105,48.24%,21,489,7,517
"Judge, Court of Criminal Appeals, Place 6",0026,836,313,1149,1969,58.35%,214,799,65,1078
"Judge, Court of Criminal Appeals, Place 6",0027,1394,508,1902,3271,58.15%,371,1334,69,1774
"Judge, Court of Criminal Appeals, Place 6",0028,1517,446,1963,3307,59.36%,1073,782,50,1905
"Judge, Court of Criminal Appeals, Place 6",0029,648,490,1138,2722,41.81%,326,712,37,1075
"Judge, Court of Criminal Appeals, Place 6",0030,1292,546,1838,2818,65.22%,488,1142,105,1735
"Judge, Court of Criminal Appeals, Place 6",0031,786,453,1239,2656,46.65%,34,1141,21,1196
"Judge, Court of Criminal Appeals, Place 6",0032,1269,504,1773,2728,64.99%,686,866,116,1668
"Judge, Court of Criminal Appeals, Place 6",0033,2086,554,2640,3907,67.57%,895,1430,157,2482
"Judge, Court of Criminal Appeals, Place 6",0034,1613,517,2130,3044,69.97%,437,1479,118,2034
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0035,5,0,5,14,35.71%,2,3,0,5
"Judge, Court of Criminal Appeals, Place 6",0036,1032,516,1548,3100,49.94%,311,1117,46,1474
"Judge, Court of Criminal Appeals, Place 6",0037,1537,409,1946,2467,78.88%,630,1107,91,1828
"Judge, Court of Criminal Appeals, Place 6",0038,1879,436,2315,3081,75.14%,710,1373,106,2189
"Judge, Court of Criminal Appeals, Place 6",0039,1711,492,2203,3070,71.76%,530,1440,102,2072
"Judge, Court of Criminal Appeals, Place 6",0040,275,107,382,527,72.49%,167,185,9,361
