Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP SaraJane Milligan,DEM Eric William Carter,Totals
"Justice of the Peace, Precinct 1, Place 1",0001,1416,496,1912,2682,71.29%,663,1108,1771
"Justice of the Peace, Precinct 1, Place 1",0002,1000,370,1370,2099,65.27%,546,729,1275
"Justice of the Peace, Precinct 1, Place 1",0003,875,336,1211,1625,74.52%,441,679,1120
"Justice of the Peace, Precinct 1, Place 1",0004,954,369,1323,1709,77.41%,442,784,1226
"Justice of the Peace, Precinct 1, Place 1",0005,759,380,1139,1470,77.48%,387,672,1059
"Justice of the Peace, Precinct 1, Place 1",0015,1489,849,2338,2852,81.98%,1231,922,2153
"Justice of the Peace, Precinct 1, Place 1",0016,676,189,865,1284,67.37%,384,426,810
"Justice of the Peace, Precinct 1, Place 1",0030,1285,546,1831,2818,64.98%,512,1190,1702
"Justice of the Peace, Precinct 1, Place 1",0032,1245,504,1749,2728,64.11%,707,904,1611
"Justice of the Peace, Precinct 1, Place 1",0033,2072,554,2626,3907,67.21%,921,1482,2403
"Justice of the Peace, Precinct 1, Place 1",0034,1611,517,2128,3044,69.91%,458,1550,2008
"Justice of the Peace, Precinct 1, Place 1",0037,1521,409,1930,2467,78.23%,621,1161,1782
"Justice of the Peace, Precinct 1, Place 1",0038,1876,436,2312,3081,75.04%,730,1422,2152
"Justice of the Peace, Precinct 1, Place 1",0039,1703,492,2195,3070,71.50%,532,1508,2040
"Justice of the Peace, Precinct 1, Place 1",0040,275,107,382,527,72.49%,165,186,351
"Justice of the Peace, Precinct 1, Place 1",0042,438,109,547,1062,51.51%,15,520,535
"Justice of the Peace, Precinct 1, Place 1",0043,815,300,1115,1972,56.54%,453,593,1046
"Justice of the Peace, Precinct 1, Place 1",0052,1400,456,1856,2581,71.91%,828,892,1720
"Justice of the Peace, Precinct 1, Place 1",0053,1675,613,2288,3083,74.21%,893,1207,2100
"Justice of the Peace, Precinct 1, Place 1",0054,1052,211,1263,1619,78.01%,577,585,1162
"Justice of the Peace, Precinct 1, Place 1",0055,1252,410,1672,2094,79.85%,675,860,1535
"Justice of the Peace, Precinct 1, Place 1",0057,2043,567,2610,3325,78.50%,971,1441,2412
"Justice of the Peace, Precinct 1, Place 1",0058,1716,484,2200,3031,72.58%,931,1114,2045
"Justice of the Peace, Precinct 1, Place 1",0059,1589,439,2028,2671,75.93%,802,1103,1905
"Justice of the Peace, Precinct 1, Place 1",0060,1473,537,2010,2766,72.67%,497,1371,1868
"Justice of the Peace, Precinct 1, Place 1",0061,519,423,942,1847,51.00%,239,640,879
"Justice of the Peace, Precinct 1, Place 1",0070,2288,670,2958,3815,77.54%,1578,1189,2767
"Justice of the Peace, Precinct 1, Place 1",0071,2703,947,3650,5016,72.77%,1732,1686,3418
"Justice of the Peace, Precinct 1, Place 1",0073,813,282,1095,1621,67.55%,525,498,1023
"Justice of the Peace, Precinct 1, Place 1",0075,1000,286,1286,1684,76.37%,542,648,1190
"Justice of the Peace, Precinct 1, Place 1",0077,2,5,7,17,41.18%,1,6,7
"Justice of the Peace, Precinct 1, Place 1",0078,618,254,872,1608,54.23%,215,591,806
