Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Jo Ann Delgado,Totals
"Justice of the Peace, Precinct 2, Place 1",0023,132,74,206,551,37.39%,170,170
"Justice of the Peace, Precinct 2, Place 1",0029,848,490,1138,2722,41.81%,831,831
"Justice of the Peace, Precinct 2, Place 1",0036,1032,518,1548,3100,49.94%,1227,1227
"Justice of the Peace, Precinct 2, Place 1",0076,1015,427,1442,2441,59.07%,852,852
"Justice of the Peace, Precinct 2, Place 1",0080,1174,466,1640,2840,57.75%,1303,1303
"Justice of the Peace, Precinct 2, Place 1",0081,776,273,1049,1964,53.41%,809,809
"Justice of the Peace, Precinct 2, Place 1",0093,1048,619,1667,3536,47.14%,1249,1249
"Justice of the Peace, Precinct 2, Place 1",0094,202,63,265,580,45.69%,226,226
"Justice of the Peace, Precinct 2, Place 1",0134,593,345,938,1513,62.00%,615,615
"Justice of the Peace, Precinct 2, Place 1",0142,293,140,433,933,46.41%,342,342
"Justice of the Peace, Precinct 2, Place 1",0162,364,267,631,1312,48.09%,479,479
"Justice of the Peace, Precinct 2, Place 1",0163,1080,524,1604,3075,52.16%,1159,1159
"Justice of the Peace, Precinct 2, Place 1",0164,441,258,699,1407,49.68%,661,661
"Justice of the Peace, Precinct 2, Place 1",0172,245,103,348,661,52.65%,278,278
"Justice of the Peace, Precinct 2, Place 1",0181,697,439,1136,2195,51.75%,918,918
"Justice of the Peace, Precinct 2, Place 1",0188,499,306,805,1711,47.05%,596,596
"Justice of the Peace, Precinct 2, Place 1",0190,571,326,897,1849,48.51%,650,650
"Justice of the Peace, Precinct 2, Place 1",0191,327,259,586,1408,41.62%,439,439
"Justice of the Peace, Precinct 2, Place 1",0208,909,338,1247,2256,55.27%,988,988
"Justice of the Peace, Precinct 2, Place 1",0211,964,595,1559,3130,49.81%,1158,1158
"Justice of the Peace, Precinct 2, Place 1",0221,1032,473,1505,2598,57.93%,1096,1096
"Justice of the Peace, Precinct 2, Place 1",0229,227,168,395,828,47.71%,307,307
"Justice of the Peace, Precinct 2, Place 1",0231,801,445,1246,2376,52.44%,1025,1025
"Justice of the Peace, Precinct 2, Place 1",0257,997,622,1619,3497,46.30%,1281,1281
"Justice of the Peace, Precinct 2, Place 1",0259,1030,414,1444,2312,62.46%,1390,1390
"Justice of the Peace, Precinct 2, Place 1",0275,585,334,919,2059,44.63%,781,781
"Justice of the Peace, Precinct 2, Place 1",0278,1059,469,1528,2602,58.72%,986,986
"Justice of the Peace, Precinct 2, Place 1",0280,444,362,806,1656,48.67%,604,604
"Justice of the Peace, Precinct 2, Place 1",0289,481,352,833,1584,52.59%,563,563
"Justice of the Peace, Precinct 2, Place 1",0301,737,392,1129,2337,48.31%,801,801
"Justice of the Peace, Precinct 2, Place 1",0308,526,225,751,1457,51.54%,573,573
"Justice of the Peace, Precinct 2, Place 1",0328,425,286,711,1631,43.59%,527,527
"Justice of the Peace, Precinct 2, Place 1",0329,589,260,849,1621,52.38%,642,642
"Justice of the Peace, Precinct 2, Place 1",0349,458,369,827,1372,60.28%,432,432
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Jo Ann Delgado,Totals
