Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Tom Zakes,DEM Joe Stephens,Totals
"Justice of the Peace, Precinct 3, Place 1",0007,430,125,555,1002,55.39%,15,523,538
"Justice of the Peace, Precinct 3, Place 1",0012,230,65,295,731,40.38%,148,132,280
"Justice of the Peace, Precinct 3, Place 1",0013,1230,382,1812,2751,58.80%,995,533,1528
"Justice of the Peace, Precinct 3, Place 1",0028,1513,448,1959,3307,59.24%,1058,834,1890
"Justice of the Peace, Precinct 3, Place 1",0045,2283,1021,3284,5740,57.21%,581,2575,3138
"Justice of the Peace, Precinct 3, Place 1",0083,787,391,1158,1903,80.85%,885,248,1111
"Justice of the Peace, Precinct 3, Place 1",0083,1829,540,2389,4174,58.78%,851,1430,2281
"Justice of the Peace, Precinct 3, Place 1",0098,828,308,1134,2080,55.05%,140,951,1091
"Justice of the Peace, Precinct 3, Place 1",0097,2511,487,2978,4414,87.47%,2122,734,2858
"Justice of the Peace, Precinct 3, Place 1",0098,1385,594,1979,3161,82.81%,1578,325,1901
"Justice of the Peace, Precinct 3, Place 1",0099,881,295,978,2192,44.53%,383,552,935
"Justice of the Peace, Precinct 3, Place 1",0100,529,278,805,1825,44.11%,308,487,775
"Justice of the Peace, Precinct 3, Place 1",0102,580,227,807,1907,42.32%,193,571,784
"Justice of the Peace, Precinct 3, Place 1",0103,2140,985,3125,5097,81.31%,1438,1800,3038
"Justice of the Peace, Precinct 3, Place 1",0104,913,211,1124,1920,58.54%,22,1070,1092
"Justice of the Peace, Precinct 3, Place 1",0115,809,272,881,1843,47.80%,78,789,845
"Justice of the Peace, Precinct 3, Place 1",0118,1823,530,2353,3181,73.97%,1183,1085,2248
"Justice of the Peace, Precinct 3, Place 1",0141,217,153,370,904,40.93%,179,184,343
"Justice of the Peace, Precinct 3, Place 1",0150,582,223,805,1574,51.14%,31,748,779
"Justice of the Peace, Precinct 3, Place 1",0151,282,107,389,828,47.09%,14,357,371
"Justice of the Peace, Precinct 3, Place 1",0205,771,171,942,1724,54.84%,20,901,921
"Justice of the Peace, Precinct 3, Place 1",0220,832,308,1138,2382,48.18%,853,432,1085
