Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lincoln Goodwin,DEM Vicky Printers Reynolds,Totals
"Justice of the Peace, Precinct 4, Place 1",0006,1840,628,2468,4084,60.43%,1165,1193,2358
"Justice of the Peace, Precinct 4, Place 1",0035,5,0,5,14,35.71%,3,2,5
"Justice of the Peace, Precinct 4, Place 1",0041,712,264,976,1518,64.30%,405,528,933
"Justice of the Peace, Precinct 4, Place 1",0049,1548,731,2277,3709,61.39%,1488,701,2189
"Justice of the Peace, Precinct 4, Place 1",0074,2503,268,2771,3578,77.45%,2036,608,2644
"Justice of the Peace, Precinct 4, Place 1",0082,1585,756,2341,3539,66.15%,1653,596,2249
"Justice of the Peace, Precinct 4, Place 1",0108,1461,448,1909,3674,51.96%,891,903,1794
"Justice of the Peace, Precinct 4, Place 1",0110,1661,481,2142,3222,66.48%,1215,842,2057
"Justice of the Peace, Precinct 4, Place 1",0111,2599,888,3585,4792,74.39%,2447,959,3406
"Justice of the Peace, Precinct 4, Place 1",0112,1507,598,2105,3188,66.03%,1371,640,2011
"Justice of the Peace, Precinct 4, Place 1",0113,1307,418,1725,2718,63.47%,879,778,1657
"Justice of the Peace, Precinct 4, Place 1",0114,2290,506,2796,3885,71.97%,1992,691,2683
"Justice of the Peace, Precinct 4, Place 1",0124,3136,888,4024,5393,74.62%,3123,791,3914
"Justice of the Peace, Precinct 4, Place 1",0125,1207,400,1607,2593,61.97%,831,711,1542
"Justice of the Peace, Precinct 4, Place 1",0126,2017,427,2444,3380,72.31%,2034,312,2346
"Justice of the Peace, Precinct 4, Place 1",0127,978,214,1192,2091,57.01%,818,312,1130
"Justice of the Peace, Precinct 4, Place 1",0137,993,259,1252,1986,63.04%,819,381,1200
"Justice of the Peace, Precinct 4, Place 1",0173,2259,683,2942,3966,74.18%,2173,637,2810
"Justice of the Peace, Precinct 4, Place 1",0199,1929,815,2744,4063,67.54%,2031,594,2625
"Justice of the Peace, Precinct 4, Place 1",0225,1353,596,1949,3689,52.83%,798,1066,1864
"Justice of the Peace, Precinct 4, Place 1",0244,1409,538,1947,3296,59.07%,908,953,1861
"Justice of the Peace, Precinct 4, Place 1",0245,2100,811,2911,4679,62.21%,1774,994,2768
"Justice of the Peace, Precinct 4, Place 1",0246,2209,482,2691,3971,67.77%,1669,929,2598
"Justice of the Peace, Precinct 4, Place 1",0263,2208,665,2873,4016,71.54%,2018,728,2746
"Justice of the Peace, Precinct 4, Place 1",0283,2351,1143,3494,6365,54.89%,484,2884,3368
"Justice of the Peace, Precinct 4, Place 1",0300,3385,728,4113,5480,75.05%,3054,886,3940
"Justice of the Peace, Precinct 4, Place 1",0334,248,104,350,786,44.53%,55,280,335
"Justice of the Peace, Precinct 4, Place 1",0340,2040,654,2694,4012,67.15%,1877,685,2562
"Justice of the Peace, Precinct 4, Place 1",0342,311,225,536,1092,49.08%,112,395,507
"Justice of the Peace, Precinct 4, Place 1",0351,2855,570,3425,4799,71.37%,2541,742,3283
"Justice of the Peace, Precinct 4, Place 1",0357,1882,557,2439,3685,66.19%,1712,617,2329
"Justice of the Peace, Precinct 4, Place 1",0358,775,376,1151,2634,43.70%,128,976,1104
"Justice of the Peace, Precinct 4, Place 1",0363,1826,635,2461,4160,59.16%,972,1414,2386
"Justice of the Peace, Precinct 4, Place 1",0370,2525,627,3152,4531,69.57%,2233,802,3035
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lincoln Goodwin,DEM Vicky Printers Reynolds,Totals
"Justice of the Peace, Precinct 4, Place 1",0388,2899,711,3610,5413,66.69%,1669,1805,3474
"Justice of the Peace, Precinct 4, Place 1",0399,1291,546,1837,3340,55.00%,674,1094,1768
"Justice of the Peace, Precinct 4, Place 1",0405,1910,457,2367,3067,77.18%,1752,547,2299
"Justice of the Peace, Precinct 4, Place 1",0410,381,96,477,934,51.07%,89,368,457
"Justice of the Peace, Precinct 4, Place 1",0442,2441,685,3126,4315,72.44%,2510,488,2998
"Justice of the Peace, Precinct 4, Place 1",0447,2411,464,2875,3727,77.14%,1849,892,2741
"Justice of the Peace, Precinct 4, Place 1",0449,73,26,99,225,44.00%,11,86,97
"Justice of the Peace, Precinct 4, Place 1",0451,1719,367,2086,2771,75.28%,1650,363,2013
"Justice of the Peace, Precinct 4, Place 1",0452,1871,662,2533,3789,66.85%,1690,753,2443
"Justice of the Peace, Precinct 4, Place 1",0457,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 4, Place 1",0459,2362,432,2794,3942,70.88%,2084,589,2673
"Justice of the Peace, Precinct 4, Place 1",0464,967,582,1549,2343,66.11%,960,502,1462
"Justice of the Peace, Precinct 4, Place 1",0465,1628,594,2222,3778,58.81%,991,1134,2125
"Justice of the Peace, Precinct 4, Place 1",0466,2274,509,2783,4327,64.32%,1407,1281,2688
"Justice of the Peace, Precinct 4, Place 1",0468,1379,747,2126,4040,52.62%,511,1510,2021
"Justice of the Peace, Precinct 4, Place 1",0469,1867,462,2329,3257,71.51%,1757,467,2224
"Justice of the Peace, Precinct 4, Place 1",0477,2027,640,2667,4010,66.51%,1799,745,2544
"Justice of the Peace, Precinct 4, Place 1",0478,2271,683,2954,4696,62.90%,1815,1012,2827
"Justice of the Peace, Precinct 4, Place 1",0479,1978,755,2733,3851,70.97%,1968,673,2641
"Justice of the Peace, Precinct 4, Place 1",0480,1445,538,1983,2978,66.59%,1312,604,1916
"Justice of the Peace, Precinct 4, Place 1",0481,1755,667,2423,3609,67.14%,1704,604,2308
"Justice of the Peace, Precinct 4, Place 1",0482,2259,618,2877,4405,65.31%,1914,842,2756
"Justice of the Peace, Precinct 4, Place 1",0484,2020,700,2720,3981,68.32%,1677,932,2609
"Justice of the Peace, Precinct 4, Place 1",0485,2118,567,2685,4051,66.28%,1867,713,2580
"Justice of the Peace, Precinct 4, Place 1",0486,2310,721,3031,4195,72.25%,2281,631,2912
"Justice of the Peace, Precinct 4, Place 1",0493,1404,555,1959,3338,58.69%,726,1130,1856
"Justice of the Peace, Precinct 4, Place 1",0495,1414,376,1790,2488,71.95%,1172,524,1696
"Justice of the Peace, Precinct 4, Place 1",0500,1869,651,2520,3698,68.14%,1559,854,2413
"Justice of the Peace, Precinct 4, Place 1",0503,1397,306,1703,2236,76.16%,1244,386,1630
"Justice of the Peace, Precinct 4, Place 1",0513,1754,413,2167,3003,72.16%,1540,532,2072
