Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russ Ridgway,"DEM William ""Bill"" McLeod",Totals
"Justice of the Peace, Precinct 5, Place 1",0008,889,351,1240,1848,67.10%,560,623,1183
"Justice of the Peace, Precinct 5, Place 1",0014,989,429,1418,1924,73.70%,668,662,1330
"Justice of the Peace, Precinct 5, Place 1",0050,1835,680,2515,4314,58.32%,1165,1259,2424
"Justice of the Peace, Precinct 5, Place 1",0056,598,283,981,1393,70.42%,536,393,929
"Justice of the Peace, Precinct 5, Place 1",0095,2022,534,2556,3394,75.31%,1528,925,2453
"Justice of the Peace, Precinct 5, Place 1",0116,1898,599,2497,3194,78.18%,1807,588,2395
"Justice of the Peace, Precinct 5, Place 1",0119,2755,409,3164,4682,67.58%,2414,622,3036
"Justice of the Peace, Precinct 5, Place 1",0120,1804,588,2392,3732,64.09%,1322,959,2281
"Justice of the Peace, Precinct 5, Place 1",0121,354,221,575,966,59.52%,348,210,558
"Justice of the Peace, Precinct 5, Place 1",0129,2540,1052,3592,5172,69.45%,1950,1455,3405
"Justice of the Peace, Precinct 5, Place 1",0130,1310,433,1743,2289,76.15%,1174,484,1658
"Justice of the Peace, Precinct 5, Place 1",0143,1868,267,2135,2582,82.69%,1352,717,2069
"Justice of the Peace, Precinct 5, Place 1",0146,1000,494,1494,2073,72.07%,594,818,1412
"Justice of the Peace, Precinct 5, Place 1",0149,2938,573,3511,4756,73.82%,1893,1496,3389
"Justice of the Peace, Precinct 5, Place 1",0155,2275,576,2851,4065,70.14%,1712,1003,2715
"Justice of the Peace, Precinct 5, Place 1",0165,1169,469,1638,2460,66.59%,883,658,1541
"Justice of the Peace, Precinct 5, Place 1",0176,767,375,1142,1533,74.49%,514,533,1047
"Justice of the Peace, Precinct 5, Place 1",0209,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 5, Place 1",0213,1782,795,2577,3406,75.66%,1906,552,2458
"Justice of the Peace, Precinct 5, Place 1",0234,2419,728,3147,4042,77.86%,2176,782,2958
"Justice of the Peace, Precinct 5, Place 1",0256,1398,583,1981,3321,59.65%,635,1226,1861
"Justice of the Peace, Precinct 5, Place 1",0258,1948,608,2556,3346,76.39%,1662,785,2447
"Justice of the Peace, Precinct 5, Place 1",0260,547,227,774,1300,59.54%,367,365,732
"Justice of the Peace, Precinct 5, Place 1",0262,1847,676,2523,4397,57.38%,1277,1107,2384
"Justice of the Peace, Precinct 5, Place 1",0264,1110,627,1737,3101,56.01%,840,799,1639
"Justice of the Peace, Precinct 5, Place 1",0265,1991,608,2599,3582,72.56%,1731,704,2435
"Justice of the Peace, Precinct 5, Place 1",0269,1305,365,1670,2114,79.00%,1176,391,1567
"Justice of the Peace, Precinct 5, Place 1",0272,870,415,1285,2334,55.06%,428,788,1216
"Justice of the Peace, Precinct 5, Place 1",0273,1175,647,1822,2485,73.32%,1351,380,1731
"Justice of the Peace, Precinct 5, Place 1",0274,1261,311,1572,2223,70.72%,928,536,1464
"Justice of the Peace, Precinct 5, Place 1",0281,1287,590,1877,2507,74.87%,777,946,1723
"Justice of the Peace, Precinct 5, Place 1",0282,773,604,1377,2144,64.23%,733,575,1308
"Justice of the Peace, Precinct 5, Place 1",0284,1585,574,2159,4079,52.93%,684,1360,2044
"Justice of the Peace, Precinct 5, Place 1",0293,778,475,1253,1811,69.19%,492,673,1165
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russ Ridgway,"DEM William ""Bill"" McLeod",Totals
"Justice of the Peace, Precinct 5, Place 1",0296,701,385,1086,1705,63.70%,527,482,1009
"Justice of the Peace, Precinct 5, Place 1",0297,729,341,1070,2055,52.07%,352,663,1015
"Justice of the Peace, Precinct 5, Place 1",0298,1095,387,1482,2236,66.28%,713,701,1414
"Justice of the Peace, Precinct 5, Place 1",0303,1896,692,2588,3375,76.68%,1885,586,2471
"Justice of the Peace, Precinct 5, Place 1",0304,1190,474,1664,2326,71.54%,847,697,1544
"Justice of the Peace, Precinct 5, Place 1",0305,2154,645,2799,4838,57.85%,877,1808,2685
"Justice of the Peace, Precinct 5, Place 1",0309,2150,591,2751,3495,78.71%,1915,727,2642
"Justice of the Peace, Precinct 5, Place 1",0310,709,326,1035,1464,70.70%,597,371,968
"Justice of the Peace, Precinct 5, Place 1",0311,930,643,1573,3222,48.82%,696,772,1468
"Justice of the Peace, Precinct 5, Place 1",0312,1705,552,2257,3724,60.61%,1113,1025,2138
"Justice of the Peace, Precinct 5, Place 1",0314,2997,817,3814,5606,68.03%,2093,1595,3688
"Justice of the Peace, Precinct 5, Place 1",0315,801,353,1154,1636,70.54%,613,469,1082
"Justice of the Peace, Precinct 5, Place 1",0316,739,340,1079,1513,71.32%,525,475,1000
"Justice of the Peace, Precinct 5, Place 1",0317,593,252,845,1661,50.87%,206,592,798
"Justice of the Peace, Precinct 5, Place 1",0330,853,326,1189,2146,55.41%,507,619,1126
"Justice of the Peace, Precinct 5, Place 1",0331,884,234,1118,1612,69.35%,678,382,1060
"Justice of the Peace, Precinct 5, Place 1",0335,489,293,782,1679,46.58%,187,543,730
"Justice of the Peace, Precinct 5, Place 1",0338,1626,632,2258,5001,45.15%,575,1574,2149
"Justice of the Peace, Precinct 5, Place 1",0356,1542,582,2124,3126,67.95%,1089,938,2027
"Justice of the Peace, Precinct 5, Place 1",0362,2865,553,3418,5161,66.23%,2309,980,3289
"Justice of the Peace, Precinct 5, Place 1",0385,1141,561,1702,2207,77.12%,1230,385,1615
"Justice of the Peace, Precinct 5, Place 1",0395,1007,371,1378,1875,73.49%,849,468,1317
"Justice of the Peace, Precinct 5, Place 1",0398,1761,654,2415,4200,57.50%,1047,1260,2307
"Justice of the Peace, Precinct 5, Place 1",0400,1467,372,1839,2661,69.11%,1143,634,1777
"Justice of the Peace, Precinct 5, Place 1",0403,959,387,1346,1719,78.30%,645,606,1251
"Justice of the Peace, Precinct 5, Place 1",0407,1703,860,2553,3969,64.58%,1455,974,2429
"Justice of the Peace, Precinct 5, Place 1",0424,548,158,706,1079,65.43%,347,327,674
"Justice of the Peace, Precinct 5, Place 1",0425,257,139,396,878,45.10%,110,265,375
"Justice of the Peace, Precinct 5, Place 1",0426,485,228,713,1266,56.32%,349,322,671
"Justice of the Peace, Precinct 5, Place 1",0427,437,155,592,1120,52.86%,186,368,554
"Justice of the Peace, Precinct 5, Place 1",0428,1688,865,2553,5151,49.56%,628,1788,2416
