Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Hilary H. Green,Totals
"Justice of the Peace, Precinct 7, Place 1",0017,451,293,744,1198,62.10%,474,474
"Justice of the Peace, Precinct 7, Place 1",0018,743,367,1110,1456,76.24%,673,673
"Justice of the Peace, Precinct 7, Place 1",0020,1007,335,1342,2780,48.27%,978,978
"Justice of the Peace, Precinct 7, Place 1",0021,539,207,746,1229,60.70%,588,588
"Justice of the Peace, Precinct 7, Place 1",0022,935,419,1354,2501,54.14%,1135,1135
"Justice of the Peace, Precinct 7, Place 1",0024,292,36,328,712,46.07%,277,277
"Justice of the Peace, Precinct 7, Place 1",0025,239,292,531,1105,48.05%,495,495
"Justice of the Peace, Precinct 7, Place 1",0031,784,453,1237,2656,46.57%,1165,1165
"Justice of the Peace, Precinct 7, Place 1",0068,1171,430,1601,3096,51.71%,1514,1514
"Justice of the Peace, Precinct 7, Place 1",0085,587,329,916,2169,42.23%,846,846
"Justice of the Peace, Precinct 7, Place 1",0131,798,371,1169,2147,54.45%,956,956
"Justice of the Peace, Precinct 7, Place 1",0132,1028,322,1350,2378,56.77%,1303,1303
"Justice of the Peace, Precinct 7, Place 1",0136,982,352,1334,2116,63.04%,1232,1232
"Justice of the Peace, Precinct 7, Place 1",0140,1513,510,2023,3270,61.87%,1702,1702
"Justice of the Peace, Precinct 7, Place 1",0156,1413,403,1816,3223,56.35%,1688,1688
"Justice of the Peace, Precinct 7, Place 1",0158,1143,365,1508,3049,49.46%,1442,1442
"Justice of the Peace, Precinct 7, Place 1",0180,928,463,1391,2914,47.74%,1297,1297
"Justice of the Peace, Precinct 7, Place 1",0193,375,211,586,1099,53.32%,548,548
"Justice of the Peace, Precinct 7, Place 1",0194,1138,449,1587,2172,73.07%,1191,1191
"Justice of the Peace, Precinct 7, Place 1",0198,161,82,243,619,39.26%,226,226
"Justice of the Peace, Precinct 7, Place 1",0210,1259,489,1748,2781,62.86%,1483,1483
"Justice of the Peace, Precinct 7, Place 1",0216,778,244,1022,1966,51.98%,932,932
"Justice of the Peace, Precinct 7, Place 1",0219,1117,515,1632,2868,56.90%,1484,1484
"Justice of the Peace, Precinct 7, Place 1",0223,1750,517,2267,3664,61.87%,1771,1771
"Justice of the Peace, Precinct 7, Place 1",0224,1166,495,1661,2313,71.81%,1026,1026
"Justice of the Peace, Precinct 7, Place 1",0228,625,159,784,1175,66.72%,732,732
"Justice of the Peace, Precinct 7, Place 1",0235,461,203,664,1421,46.73%,622,622
"Justice of the Peace, Precinct 7, Place 1",0236,656,308,964,2104,45.82%,911,911
"Justice of the Peace, Precinct 7, Place 1",0237,739,312,1051,2146,48.97%,1006,1006
"Justice of the Peace, Precinct 7, Place 1",0238,606,317,923,1948,47.38%,867,867
"Justice of the Peace, Precinct 7, Place 1",0239,694,334,1028,1984,51.81,%,982,982
"Justice of the Peace, Precinct 7, Place 1",0240,1007,292,1299,2601,49.94%,1244,1244
"Justice of the Peace, Precinct 7, Place 1",0243,244,42,286,475,60.21%,279,279
"Justice of the Peace, Precinct 7, Place 1",0247,440,376,816,1595,51.16%,781,781
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Hilary H. Green,Totals
"Justice of the Peace, Precinct 7, Place 1",0255,1253,586,1839,2489,73.89%,1134,1134
"Justice of the Peace, Precinct 7, Place 1",0271,1150,346,1498,2558,58.48%,1434,1434
"Justice of the Peace, Precinct 7, Place 1",0276,1027,255,1282,2458,52.16%,1232,1232
"Justice of the Peace, Precinct 7, Place 1",0286,1708,545,2253,3757,59.97%,2057,2057
"Justice of the Peace, Precinct 7, Place 1",0287,851,408,1259,1658,75.93%,743,743
"Justice of the Peace, Precinct 7, Place 1",0288,881,314,1195,2208,54.12%,1147,1147
"Justice of the Peace, Precinct 7, Place 1",0291,803,233,836,1218,68.64%,525,525
"Justice of the Peace, Precinct 7, Place 1",0292,549,178,727,1379,52.72%,640,840
"Justice of the Peace, Precinct 7, Place 1",0294,852,198,1050,2054,51.12%,1019,1019
"Justice of the Peace, Precinct 7, Place 1",0295,270,111,381,894,42.62%,366,366
"Justice of the Peace, Precinct 7, Place 1",0318,1728,529,2255,3776,59.72%,2109,2109
"Justice of the Peace, Precinct 7, Place 1",0319,994,271,1265,2199,57.53%,1179,1179
"Justice of the Peace, Precinct 7, Place 1",0332,1355,503,1858,2926,63.50%,1670,1670
"Justice of the Peace, Precinct 7, Place 1",0336,2489,889,3178,4771,66.61%,2879,2879
"Justice of the Peace, Precinct 7, Place 1",0337,387,155,522,1108,47.11%,437,437
"Justice of the Peace, Precinct 7, Place 1",0355,821,239,1060,1714,61.84%,954,954
"Justice of the Peace, Precinct 7, Place 1",0359,803,496,1299,3320,39.13%,1172,1172
"Justice of the Peace, Precinct 7, Place 1",0372,509,180,689,1274,54.08%,612,612
