Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Holly Williamson,Totals
"Justice of the Peace, Precinct 8, Place 1",0051,828,271,1099,1734,63.38%,866,866
"Justice of the Peace, Precinct 8, Place 1",0084,573,257,830,1421,58.41%,622,622
"Justice of the Peace, Precinct 8, Place 1",0088,338,141,479,784,61.10%,340,340
"Justice of the Peace, Precinct 8, Place 1",0090,1858,890,2746,3883,70.72%,2145,2145
"Justice of the Peace, Precinct 8, Place 1",0091,873,339,1012,1724,58.70%,648,648
"Justice of the Peace, Precinct 8, Place 1",0092,1283,474,1737,2260,78.88%,1216,1216
"Justice of the Peace, Precinct 8, Place 1",0170,883,262,925,1958,47.24%,503,503
"Justice of the Peace, Precinct 8, Place 1",0174,1718,707,2423,3389,71.50%,1764,1764
"Justice of the Peace, Precinct 8, Place 1",0242,508,314,820,1744,47.02%,448,446
"Justice of the Peace, Precinct 8, Place 1",0287,421,293,714,1433,49.83%,338,338
"Justice of the Peace, Precinct 8, Place 1",0277,573,338,911,1898,48.00%,410,410
"Justice of the Peace, Precinct 8, Place 1",0279,789,314,1103,2073,53.21%,722,722
"Justice of the Peace, Precinct 8, Place 1",0290,705,332,1037,1623,83.89%,809,809
"Justice of the Peace, Precinct 8, Place 1",0302,1197,591,1788,3277,54.58%,1039,1039
"Justice of the Peace, Precinct 8, Place 1",0308,1098,299,1395,1896,73.58%,1032,1032
"Justice of the Peace, Precinct 8, Place 1",0307,1458,801,2257,3270,69.02%,1651,1651
"Justice of the Peace, Precinct 8, Place 1",0333,1385,942,2327,3296,70.60%,1745,1745
"Justice of the Peace, Precinct 8, Place 1",0346,1,0,1,1,100.00%,0,0
"Justice of the Peace, Precinct 8, Place 1",0347,1481,618,2079,3614,57.53%,1356,1356
"Justice of the Peace, Precinct 8, Place 1",0348,830,242,1072,1796,59.69%,784,784
"Justice of the Peace, Precinct 8, Place 1",0352,2023,538,2561,4278,59.86%,1937,1937
"Justice of the Peace, Precinct 8, Place 1",0377,1381,643,2024,3137,64.52%,1603,1603
"Justice of the Peace, Precinct 8, Place 1",0391,988,336,1322,1978,66.84%,864,864
"Justice of the Peace, Precinct 8, Place 1",0393,427,257,684,1274,53.69%,369,369
"Justice of the Peace, Precinct 8, Place 1",0404,1033,445,1478,2717,54.40%,815,815
"Justice of the Peace, Precinct 8, Place 1",0415,1078,573,1649,2284,72.20%,1194,1194
"Justice of the Peace, Precinct 8, Place 1",0416,1443,845,2288,4009,57.07%,1285,1285
"Justice of the Peace, Precinct 8, Place 1",0419,1188,477,1643,2702,60.81%,1069,1069
"Justice of the Peace, Precinct 8, Place 1",0420,2887,731,3418,4946,69.11%,2898,2898
"Justice of the Peace, Precinct 8, Place 1",0470,555,232,787,1358,57.95%,630,630
"Justice of the Peace, Precinct 8, Place 1",0471,1057,458,1515,2473,61.26%,1223,1223
"Justice of the Peace, Precinct 8, Place 1",0473,944,390,1334,1787,74.65%,962,962
"Justice of the Peace, Precinct 8, Place 1",0534,1895,577,2472,3918,63.09%,1854,1854
"Justice of the Peace, Precinct 8, Place 1",0535,132,62,194,413,46.97%,78,78
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Holly Williamson,Totals
"Justice of the Peace, Precinct 8, Place 1",0561,1023,624,1647,3138,52.49%,1066,1066
"Justice of the Peace, Precinct 8, Place 1",0568,1833,697,2530,3638,69.54%,1750,1750
"Justice of the Peace, Precinct 8, Place 1",0662,2267,571,2838,4002,70.91%,2393,2393
"Justice of the Peace, Precinct 8, Place 1",0665,1327,360,1687,2354,71.67%,1420,1420
"Justice of the Peace, Precinct 8, Place 1",0673,1625,467,2092,3051,68.57%,1732,1732
"Justice of the Peace, Precinct 8, Place 1",0679,1718,529,2247,3542,63.44%,1686,1686
"Justice of the Peace, Precinct 8, Place 1",0682,2112,690,2802,4313,64.97%,2161,2161
"Justice of the Peace, Precinct 8, Place 1",0692,1278,678,1956,3118,62.73%,1472,1472
"Justice of the Peace, Precinct 8, Place 1",0695,628,315,943,1842,51.19%,630,630
"Justice of the Peace, Precinct 8, Place 1",0696,723,312,1035,2027,51.06%,691,691
"Justice of the Peace, Precinct 8, Place 1",0699,1276,398,1674,2387,70.13%,1159,1159
"Justice of the Peace, Precinct 8, Place 1",0703,899,528,1427,1943,73.44%,1084,1084
"Justice of the Peace, Precinct 8, Place 1",0704,1698,512,2210,3121,70.81%,1858,1858
"Justice of the Peace, Precinct 8, Place 1",0715,553,239,792,1549,51.13%,427,427
"Justice of the Peace, Precinct 8, Place 1",0716,1215,419,1635,2720,60.11%,1233,1233
"Justice of the Peace, Precinct 8, Place 1",0718,2243,872,3115,4412,70.60%,2191,2191
"Justice of the Peace, Precinct 8, Place 1",0721,1466,603,2069,2926,70.71%,1451,1451
"Justice of the Peace, Precinct 8, Place 1",0724,395,146,541,800,67.63%,387,387
"Justice of the Peace, Precinct 8, Place 1",0728,399,198,597,942,63.38%,386,386
"Justice of the Peace, Precinct 8, Place 1",0732,791,449,1240,1943,63.82%,791,791
"Justice of the Peace, Precinct 8, Place 1",0744,1009,444,1453,2103,69.09%,936,936
"Justice of the Peace, Precinct 8, Place 1",0745,1213,446,1659,2543,65.24%,1123,1123
"Justice of the Peace, Precinct 8, Place 1",0746,244,121,365,732,49.86%,197,197
"Justice of the Peace, Precinct 8, Place 1",0748,563,245,808,1556,51.93%,471,471
