Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0001,1419,496,1915,2682,71.40%,677,1113,1790
"Justice, 1st Court of Appeals District, Place 4",0002,1002,370,1372,2099,65.36%,556,723,1279
"Justice, 1st Court of Appeals District, Place 4",0003,875,336,1211,1625,74.52%,442,682,1124
"Justice, 1st Court of Appeals District, Place 4",0004,955,369,1324,1709,77.47%,455,780,1235
"Justice, 1st Court of Appeals District, Place 4",0005,759,380,1139,1470,77.48%,404,665,1069
"Justice, 1st Court of Appeals District, Place 4",0006,1841,628,2469,4084,60.46%,1182,1183,2365
"Justice, 1st Court of Appeals District, Place 4",0007,430,125,555,1002,55.39%,20,520,540
"Justice, 1st Court of Appeals District, Place 4",0008,889,351,1240,1848,67.10%,565,616,1181
"Justice, 1st Court of Appeals District, Place 4",0009,660,312,972,1861,52.23%,218,679,897
"Justice, 1st Court of Appeals District, Place 4",0010,701,232,933,1830,50.98%,170,676,846
"Justice, 1st Court of Appeals District, Place 4",0011,618,258,876,1748,50.11%,168,647,815
"Justice, 1st Court of Appeals District, Place 4",0012,230,65,295,731,40.36%,144,135,279
"Justice, 1st Court of Appeals District, Place 4",0013,1231,382,1613,2751,58.63%,1025,499,1524
"Justice, 1st Court of Appeals District, Place 4",0014,989,429,1418,1924,73.70%,671,674,1345
"Justice, 1st Court of Appeals District, Place 4",0015,1489,849,2338,2852,81.98%,1305,878,2183
"Justice, 1st Court of Appeals District, Place 4",0016,681,189,870,1284,67.76%,399,432,831
"Justice, 1st Court of Appeals District, Place 4",0017,451,293,744,1198,62.10%,290,405,695
"Justice, 1st Court of Appeals District, Place 4",0018,744,367,1111,1456,76.30%,496,548,1044
"Justice, 1st Court of Appeals District, Place 4",0019,549,293,942,1288,73.14%,300,590,890
"Justice, 1st Court of Appeals District, Place 4",0020,1007,335,1342,2780,48.27%,420,833,1253
"Justice, 1st Court of Appeals District, Place 4",0021,540,207,747,1229,60.78%,163,552,715
