Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0001,1426,496,1922,2682,71.66%,667,983,105,83,1838
"Justice, Supreme Court, Place 3",0002,1007,370,1377,2099,65.60%,560,653,76,36,1325
"Justice, Supreme Court, Place 3",0003,875,336,1211,1625,74.52%,462,597,56,39,1154
"Justice, Supreme Court, Place 3",0004,955,369,1324,1709,77.47%,497,685,64,29,1275
"Justice, Supreme Court, Place 3",0005,760,380,1140,1470,77.55%,446,563,62,29,1100
"Justice, Supreme Court, Place 3",0006,1841,628,2469,4084,60.46%,1125,1088,90,89,2392
"Justice, Supreme Court, Place 3",0007,430,125,555,1002,55.39%,17,510,5,8,540
"Justice, Supreme Court, Place 3",0008,891,351,1242,1848,67.21%,579,539,49,31,1198
"Justice, Supreme Court, Place 3",0009,552,312,974,1861,52.34%,214,598,40,73,925
"Justice, Supreme Court, Place 3",0010,703,232,935,1830,51.09%,157,602,22,90,871
"Justice, Supreme Court, Place 3",0011,619,258,877,1748,50.17%,160,561,26,81,828
"Justice, Supreme Court, Place 3",0012,230,65,295,731,40.36%,142,121,7,14,284
"Justice, Supreme Court, Place 3",0013,1232,382,1614,2751,58.67%,1012,446,58,41,1557
"Justice, Supreme Court, Place 3",0014,992,429,1421,1924,73.86%,724,569,55,24,1372
"Justice, Supreme Court, Place 3",0015,1490,849,2339,2852,82.01%,1427,749,50,10,2236
"Justice, Supreme Court, Place 3",0016,683,189,872,1284,67.91%,397,374,47,23,841
"Justice, Supreme Court, Place 3",0017,452,293,745,1198,62.19%,299,370,23,17,709
"Justice, Supreme Court, Place 3",0018,744,367,1111,1456,76.30%,536,477,40,14,1067
"Justice, Supreme Court, Place 3",0019,652,293,945,1288,73.37%,302,516,66,25,909
"Justice, Supreme Court, Place 3",0020,1013,335,1348,2780,48.49%,408,765,83,41,1297
"Justice, Supreme Court, Place 3",0021,541,207,748,1229,60.86%,161,482,50,31,724
"Justice, Supreme Court, Place 3",0022,936,419,1355,2501,54.18%,205,1027,44,32,1308
"Justice, Supreme Court, Place 3",0023,132,74,206,551,37.39%,34,133,15,20,202
"Justice, Supreme Court, Place 3",0024,294,36,330,712,46.35%,63,233,11,15,322
"Justice, Supreme Court, Place 3",0025,241,292,533,1105,48.24%,24,479,3,14,520
"Justice, Supreme Court, Place 3",0026,835,313,1149,1969,58.35%,227,737,41,87,1092
"Justice, Supreme Court, Place 3",0027,1394,508,1902,3271,58.15%,372,1225,59,153,1809
"Justice, Supreme Court, Place 3",0028,1517,446,1963,3307,59.36%,1075,755,45,32,1907
"Justice, Supreme Court, Place 3",0029,648,490,1138,2722,41.81%,304,666,22,88,1080
"Justice, Supreme Court, Place 3",0030,1292,546,1838,2818,65.22%,523,1079,111,39,1752
"Justice, Supreme Court, Place 3",0031,786,453,1239,2656,46.65%,42,1117,24,12,1195
"Justice, Supreme Court, Place 3",0032,1269,504,1773,2728,64.99%,725,816,118,45,1704
"Justice, Supreme Court, Place 3",0033,2085,554,2640,3907,67.57%,953,1361,144,53,2511
"Justice, Supreme Court, Place 3",0034,1613,517,2130,3044,69.97%,480,1401,98,81,2060
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0035,5,0,5,14,35.71%,2,2,0,1,5
"Justice, Supreme Court, Place 3",0036,1032,516,1548,3100,49.94%,312,1056,37,73,1478
"Justice, Supreme Court, Place 3",0037,1537,409,1946,2467,78.88%,676,1059,83,38,1856
"Justice, Supreme Court, Place 3",0038,1879,436,2315,3081,75.14%,794,1273,103,43,2213
"Justice, Supreme Court, Place 3",0039,1711,492,2203,3070,71.76%,618,1355,92,46,2111
"Justice, Supreme Court, Place 3",0040,275,107,382,527,72.49%,215,143,8,3,369
"Justice, Supreme Court, Place 3",0041,712,264,976,1518,64.30%,391,483,47,26,947
"Justice, Supreme Court, Place 3",0042,438,109,547,1062,51.51,%,15,509,2,8,534
