Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0001,1426,496,1922,2682,71.66%,613,1092,96,40,1841
"Justice, Supreme Court, Place 5",0002,1007,370,1377,2099,65.60%,523,696,71,28,1318
"Justice, Supreme Court, Place 5",0003,875,336,1211,1625,74.52%,414,658,56,26,1154
"Justice, Supreme Court, Place 5",0004,955,369,1324,1709,77.47%,420,781,59,15,1275
"Justice, Supreme Court, Place 5",0005,760,380,1140,1470,77.55%,380,651,48,21,1100
"Justice, Supreme Court, Place 5",0006,1841,628,2469,4084,60.46%,1123,1140,84,48,2395
"Justice, Supreme Court, Place 5",0007,430,125,555,1002,55.39%,19,514,6,5,544
"Justice, Supreme Court, Place 5",0008,891,351,1242,1848,67.21%,546,572,48,30,1196
"Justice, Supreme Court, Place 5",0009,662,312,974,1861,52.34%,204,660,31,30,925
"Justice, Supreme Court, Place 5",0010,703,232,935,1830,51.09%,156,679,19,20,874
"Justice, Supreme Court, Place 5",0011,619,258,877,1748,50.17%,163,637,21,11,832
"Justice, Supreme Court, Place 5",0012,230,65,295,731,40.36%,138,133,6,3,280
"Justice, Supreme Court, Place 5",0013,1232,382,1614,2751,58.67%,991,486,51,22,1550
"Justice, Supreme Court, Place 5",0014,992,429,1421,1924,73.86%,653,647,45,23,1368
"Justice, Supreme Court, Place 5",0015,1490,849,2339,2852,82.01%,1267,901,43,13,2224
"Justice, Supreme Court, Place 5",0016,683,189,872,1284,67.91%,377,409,46,12,844
"Justice, Supreme Court, Place 5",0017,452,293,745,1198,62.19%,281,406,16,5,708
"Justice, Supreme Court, Place 5",0018,744,367,1111,1456,76.30%,478,543,28,14,1063
"Justice, Supreme Court, Place 5",0019,652,293,945,1288,73.37%,265,567,62,15,909
"Justice, Supreme Court, Place 5",0020,1013,335,1348,2780,48.49%,374,811,79,31,1295
"Justice, Supreme Court, Place 5",0021,541,207,748,1229,60.86%,135,519,54,23,731
"Justice, Supreme Court, Place 5",0022,936,419,1355,2501,54.18%,199,1062,25,28,1314
"Justice, Supreme Court, Place 5",0023,132,74,206,551,37.39%,32,154,11,6,203
"Justice, Supreme Court, Place 5",0024,294,36,330,712,46.35%,63,240,9,11,323
"Justice, Supreme Court, Place 5",0025,241,292,533,1105,48.24%,20,487,2,9,518
"Justice, Supreme Court, Place 5",0026,836,313,1149,1969,58.35%,222,817,28,29,1096
"Justice, Supreme Court, Place 5",0027,1394,508,1902,3271,58.15%,346,1374,37,51,1808
"Justice, Supreme Court, Place 5",0028,1517,446,1963,3307,59.36%,1066,793,33,16,1908
"Justice, Supreme Court, Place 5",0029,648,490,1138,2722,41.81%,308,735,15,27,1085
"Justice, Supreme Court, Place 5",0030,1292,546,1838,2818,65.22%,494,1144,89,25,1752
"Justice, Supreme Court, Place 5",0031,786,453,1239,2656,46.65%,43,1128,15,10,1196
"Justice, Supreme Court, Place 5",0032,1269,504,1773,2728,64.99%,680,878,120,22,1700
"Justice, Supreme Court, Place 5",0033,2086,554,2640,3907,67.57%,856,1472,143,36,2507
"Justice, Supreme Court, Place 5",0034,1613,517,2130,3044,69.97%,416,1487,94,60,2057
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0035,5,0,5,14,35.71%,3,2,0,0,5
"Justice, Supreme Court, Place 5",0036,1032,516,1548,3100,49.94%,307,1121,30,25,1483
"Justice, Supreme Court, Place 5",0037,1537,409,1946,2467,78.88%,624,1127,79,29,1859
"Justice, Supreme Court, Place 5",0038,1879,436,2315,3081,75.14%,682,1401,93,39,2215
"Justice, Supreme Court, Place 5",0039,1711,492,2203,3070,71.76%,513,1450,88,48,2099
"Justice, Supreme Court, Place 5",0040,275,107,382,527,72.49%,175,178,12,2,367
"Justice, Supreme Court, Place 5",0041,712,264,976,1518,64.30%,392,519,33,8,952
"Justice, Supreme Court, Place 5",0042,438,109,547,1062,51.51%,17,512,2,6,537
"Justice, Supreme Court, Place 5",0043,817,300,1117,1972,56.64%,431,588,37,22,1078
"Justice, Supreme Court, Place 5",0044,729,310,1039,2126,48.87%,178,740,20,34,972
"Justice, Supreme Court, Place 5",0045,2263,1021,3284,5740,57.21%,588,2480,63,46,3177
"Justice, Supreme Court, Place 5",0046,876,341,1217,2568,47.39%,152,953,27,22,1154
"Justice, Supreme Court, Place 5",0047,507,268,775,1618,47.90%,40,704,7,8,759
"Justice, Supreme Court, Place 5",0048,348,168,516,967,53.36%,50,428,8,11,497
"Justice, Supreme Court, Place 5",0049,1548,731,2279,3709,61.45%,1458,675,51,29,2213
"Justice, Supreme Court, Place 5",0050,1838,680,2518,4314,58.37%,1151,1208,61,29,2449
"Justice, Supreme Court, Place 5",0051,829,271,1100,1734,63.44%,772,249,38,11,1070
"Justice, Supreme Court, Place 5",0052,1408,456,1864,2581,72.22%,799,881,82,29,1791
"Justice, Supreme Court, Place 5",0053,1680,613,2293,3083,74.38%,858,1178,115,46,2197
"Justice, Supreme Court, Place 5",0054,1056,211,1267,1619,78.26%,561,598,42,15,1216
"Justice, Supreme Court, Place 5",0055,1272,410,1682,2094,80.32%,635,845,95,28,1603
"Justice, Supreme Court, Place 5",0056,698,283,981,1393,70.42%,531,361,41,19,952
"Justice, Supreme Court, Place 5",0057,2045,567,2612,3325,78.56%,974,1370,110,53,2507
"Justice, Supreme Court, Place 5",0058,1717,484,2201,3031,72.62%,896,1079,115,29,2119
"Justice, Supreme Court, Place 5",0059,1594,439,2033,2671,76.11%,766,1063,93,35,1957
"Justice, Supreme Court, Place 5",0060,1477,537,2014,2766,72.81%,476,1309,79,66,1930
"Justice, Supreme Court, Place 5",0061,519,423,942,1847,51.00%,250,612,14,16,892
"Justice, Supreme Court, Place 5",0062,689,452,1141,2195,51.98%,177,866,10,30,1083
"Justice, Supreme Court, Place 5",0063,767,391,1158,1903,60.85%,901,192,21,7,1121
"Justice, Supreme Court, Place 5",0064,678,368,1046,2220,47.12%,175,790,12,14,991
"Justice, Supreme Court, Place 5",0065,639,435,1074,2178,49.31%,157,838,21,20,1036
"Justice, Supreme Court, Place 5",0066,247,255,502,1135,44.23%,80,374,8,10,472
