Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0001,1426,496,1922,2682,71.66%,736,979,94,34,1843
"Justice, Supreme Court, Place 9",0002,1007,370,1377,2099,65.60%,578,645,74,26,1323
"Justice, Supreme Court, Place 9",0003,875,336,1211,1625,74.52%,515,559,48,23,1145
"Justice, Supreme Court, Place 9",0004,955,369,1324,1709,77.47%,515,674,59,22,1270
"Justice, Supreme Court, Place 9",0005,760,380,1140,1470,77.55%,466,549,65,20,1100
"Justice, Supreme Court, Place 9",0006,1841,628,2469,4084,60.46%,1157,1104,86,40,2387
"Justice, Supreme Court, Place 9",0007,430,125,555,1002,55.39%,22,511,4,2,539
"Justice, Supreme Court, Place 9",0008,891,351,1242,1848,67.21%,586,539,50,26,1201
"Justice, Supreme Court, Place 9",0009,662,312,974,1861,52.34%,260,604,30,28,922
"Justice, Supreme Court, Place 9",0010,703,232,935,1830,51.09%,223,611,18,15,867
"Justice, Supreme Court, Place 9",0011,619,258,877,1748,50.17%,216,588,12,15,831
"Justice, Supreme Court, Place 9",0012,230,65,295,731,40.36%,151,120,11,2,284
"Justice, Supreme Court, Place 9",0013,1232,382,1614,2751,58.67%,1024,456,49,21,1550
"Justice, Supreme Court, Place 9",0014,992,429,1421,1924,73.86%,744,559,49,24,1376
"Justice, Supreme Court, Place 9",0015,1490,849,2339,2852,82.01%,1446,734,46,9,2235
"Justice, Supreme Court, Place 9",0016,683,189,872,1284,67.91%,420,365,48,11,844
"Justice, Supreme Court, Place 9",0017,452,293,745,1198,62.19%,320,369,15,4,708
"Justice, Supreme Court, Place 9",0018,744,367,1111,1456,76.30%,556,465,34,12,1067
"Justice, Supreme Court, Place 9",0019,652,293,945,1288,73.37%,317,517,56,15,905
"Justice, Supreme Court, Place 9",0020,1013,335,1348,2780,48.49%,442,745,74,28,1289
"Justice, Supreme Court, Place 9",0021,541,207,748,1229,60.86%,166,485,56,20,727
"Justice, Supreme Court, Place 9",0022,936,419,1355,2501,54.18%,214,1045,27,28,1314
"Justice, Supreme Court, Place 9",0023,132,74,206,551,37.39%,47,139,10,5,201
"Justice, Supreme Court, Place 9",0024,294,36,330,712,46.35%,64,243,5,10,322
"Justice, Supreme Court, Place 9",0025,241,292,533,1105,48.24%,24,483,2,7,516
"Justice, Supreme Court, Place 9",0026,836,313,1149,1969,58.35%,293,731,27,35,1086
"Justice, Supreme Court, Place 9",0027,1394,508,1902,3271,58.15%,483,1231,37,48,1799
"Justice, Supreme Court, Place 9",0028,1517,446,1963,3307,59.36%,1089,755,47,22,1913
"Justice, Supreme Court, Place 9",0029,648,490,1138,2722,41.81%,368,676,15,25,1084
"Justice, Supreme Court, Place 9",0030,1292,546,1838,2818,65.22%,551,1097,77,27,1752
"Justice, Supreme Court, Place 9",0031,786,453,1239,2656,46.65%,36,1137,12,10,1195
"Justice, Supreme Court, Place 9",0032,1269,504,1773,2728,64.99%,748,816,108,22,1694
"Justice, Supreme Court, Place 9",0033,2086,554,2640,3907,67.57%,998,1337,136,39,2510
"Justice, Supreme Court, Place 9",0034,1613,517,2130,3044,69.97%,532,1373,97,51,2053
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0035,5,0,5,14,35.71%,2,2,0,1,5
"Justice, Supreme Court, Place 9",0036,1032,516,1548,3100,49.94%,362,1069,30,24,1485
"Justice, Supreme Court, Place 9",0037,1537,409,1946,2467,78.88%,716,1041,73,26,1856
"Justice, Supreme Court, Place 9",0038,1879,436,2315,3081,75.14%,827,1244,96,42,2209
"Justice, Supreme Court, Place 9",0039,1711,492,2203,3070,71.76%,663,1314,76,39,2092
"Justice, Supreme Court, Place 9",0040,275,107,382,527,72.49%,225,132,8,1,366
"Justice, Supreme Court, Place 9",0041,712,264,976,1518,64.30%,403,504,36,7,950
"Justice, Supreme Court, Place 9",0042,438,109,547,1062,51.51%,16,515,2,3,536
"Justice, Supreme Court, Place 9",0043,817,300,1117,1972,56.64%,463,537,36,25,1061
"Justice, Supreme Court, Place 9",0044,729,310,1039,2126,48.87%,262,647,29,27,965
"Justice, Supreme Court, Place 9",0045,2263,1021,3284,5740,57.21%,649,2411,64,35,3159
