Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Robert Dembo |||,Cathy M. Arellano,Doug James,Cissy Saccomanno,Totals
"Klein |.S.D., Trustee, Position 6",0082,1585,756,2341,3539,66.15%,254,433,316,370,1373
"Klein |.S.D., Trustee, Position 6",0109,374,70,444,935,47.49%,1,7,79,70,28,194
"Klein |.S.D., Trustee, Position 6",0112,1507,598,2105,3188,66.03%,214,495,355,211,1275
"Klein |.S.D., Trustee, Position 6",0113,1307,418,1725,2718,63.47%,122,362,323,184,991
"Klein |.S.D., Trustee, Position 6",0114,1484,329,1813,2545,71.24%,162,512,208,94,976
"Klein |.S.D., Trustee, Position 6",0137,993,258,1251,1986,62.99%,110,301,164,103,678
"Klein |.S.D., Trustee, Position 6",0245,2090,805,2895,4656,62.18%,263,679,382,191,1515
"Klein |.S.D., Trustee, Position 6",0246,2209,482,2691,3971,67.77%,229,682,328,217,1456
"Klein |.S.D., Trustee, Position 6",0263,2208,665,2873,4016,71.54%,238,810,330,237,1615
"Klein |.S.D., Trustee, Position 6",0452,1639,599,2238,3407,65.69%,195,662,252,136,1245
"Klein |.S.D., Trustee, Position 6",0464,967,582,1549,2343,66.11%,133,359,169,181,842
"Klein |.S.D., Trustee, Position 6",0467,501,225,726,1320,55.00%,35,168,195,25,423
"Klein |.S.D., Trustee, Position 6",0468,1316,737,2053,3733,55.00%,137,572,219,105,1033
"Klein |.S.D., Trustee, Position 6",0477,2027,640,2667,4010,66.51%,224,544,353,418,1539
"Klein |.S.D., Trustee, Position 6",0482,2259,617,2876,4405,65.29%,251,714,370,223,1558
"Klein |.S.D., Trustee, Position 6",0484,0,0,0,0,0.00%,0,0,0,0,0
"Klein |.S.D., Trustee, Position 6",0493,1401,550,1951,3336,58.48%,157,503,334,185,1179
"Klein |.S.D., Trustee, Position 6",0496,1,91,92,1,9200.00%,8,28,5,4,45
"Klein |.S.D., Trustee, Position 6",0500,1556,574,2130,3015,70.65%,161,538,251,194,1144
"Klein |.S.D., Trustee, Position 6",0503,1397,306,1703,2236,76.16%,103,458,176,149,886
"Klein |.S.D., Trustee, Position 6",0513,754,124,878,1291,68.01%,79,177,128,105,489
"Klein |.S.D., Trustee, Position 6",0514,2286,613,2899,4378,66.22%,236,597,413,291,1537
"Klein |.S.D., Trustee, Position 6",0515,1836,468,2304,3182,72.41%,150,332,297,554,1333
"Klein |.S.D., Trustee, Position 6",0516,1120,285,1405,2245,62.58%,113,296,239,133,781
"Klein |.S.D., Trustee, Position 6",0539,811,234,1045,1535,68.08%,83,284,126,73,566
"Klein |.S.D., Trustee, Position 6",0551,2586,793,3379,4428,76.31%,217,702,383,862,2164
"Klein |.S.D., Trustee, Position 6",0552,2090,784,2874,3762,76.40%,145,1247,231,154,1777
"Klein |.S.D., Trustee, Position 6",0575,1905,535,2440,3557,68.60%,181,737,276,170,1364
"Klein |.S.D., Trustee, Position 6",0592,449,272,721,1446,49.86%,54,193,99,53,399
"Klein |.S.D., Trustee, Position 6",0597,0,0,0,0,0.00%,0,0,0,0,0
"Klein |.S.D., Trustee, Position 6",0601,2220,670,2890,4151,69.62%,243,472,386,724,1825
"Klein |.S.D., Trustee, Position 6",0614,454,118,572,944,60.59%,48,142,84,63,337
"Klein |.S.D., Trustee, Position 6",0623,1960,461,2421,3919,61.78%,222,481,359,231,1293
"Klein |.S.D., Trustee, Position 6",0628,0,0,0,2,0.00%,0,0,0,0,0
