Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,W.R. (Rick) Mann,Totals
"Klein |.S.D., Trustee, Position 7",0082,1585,756,2341,3539,66.15%,1281,1281
"Klein |.S.D., Trustee, Position 7",0109,374,70,444,935,47.49%,180,180
"Klein |.S.D., Trustee, Position 7",0112,1507,598,2105,3188,66.03%,1200,1200
"Klein |.S.D., Trustee, Position 7",0113,1307,418,1725,2718,63.47%,926,926
"Klein |.S.D., Trustee, Position 7",0114,1484,329,1813,2545,71.24%,858,858
"Klein |.S.D., Trustee, Position 7",0137,993,258,1251,1986,62.99%,605,605
"Klein |.S.D., Trustee, Position 7",0245,2090,805,2895,4656,62.18%,1360,1360
"Klein |.S.D., Trustee, Position 7",0246,2209,482,2691,3971,67.77%,1311,1311
"Klein |.S.D., Trustee, Position 7",0263,2208,665,2873,4016,71.54%,1468,1468
"Klein |.S.D., Trustee, Position 7",0452,1639,599,2238,3407,65.69%,1069,1069
"Klein |.S.D., Trustee, Position 7",0464,967,582,1549,2343,66.11%,745,745
"Klein |.S.D., Trustee, Position 7",0467,501,225,726,1320,55.00%,364,364
"Klein |.S.D., Trustee, Position 7",0468,1316,737,2053,3733,55.00%,917,917
"Klein |.S.D., Trustee, Position 7",0477,2027,640,2667,4010,66.51%,1370,1370
"Klein |.S.D., Trustee, Position 7",0482,2259,617,2876,4405,65.29%,1385,1385
"Klein |.S.D., Trustee, Position 7",0484,0,0,0,0,0.00%,0,0
"Klein |.S.D., Trustee, Position 7",0493,1401,550,1951,3336,58.48%,1058,1058
"Klein |.S.D., Trustee, Position 7",0496,1,91,92,1,9200.00%,36,36
"Klein |.S.D., Trustee, Position 7",0500,1556,574,2130,3015,70.65%,1026,1026
"Klein |.S.D., Trustee, Position 7",0503,1397,306,1703,2236,76.16%,786,786
"Klein |.S.D., Trustee, Position 7",0513,754,124,878,1291,68.01%,472,472
"Klein |.S.D., Trustee, Position 7",0514,2286,613,2899,4378,66.22%,1366,1366
"Klein |.S.D., Trustee, Position 7",0515,1836,468,2304,3182,72.41%,1267,1267
"Klein |.S.D., Trustee, Position 7",0516,1120,285,1405,2245,62.58%,698,698
"Klein |.S.D., Trustee, Position 7",0539,811,234,1045,1535,68.08%,501,501
"Klein |.S.D., Trustee, Position 7",0551,2586,793,3379,4428,76.31%,2032,2032
"Klein |.S.D., Trustee, Position 7",0552,2090,784,2874,3762,76.40%,1481,1481
