Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM R. Dakota Carter,LIB Whitney Bilyeu,Totals
"Member, State Board of Education, District 6",0001,1416,496,1912,2682,71.29%,620,1104,94,1818
"Member, State Board of Education, District 6",0002,1000,370,1370,2099,65.27%,526,702,74,1302
"Member, State Board of Education, District 6",0003,875,336,1211,1625,74.52%,395,689,58,1142
"Member, State Board of Education, District 6",0004,954,369,1323,1709,77.41%,402,785,70,1257
"Member, State Board of Education, District 6",0005,759,380,1139,1470,77.48%,366,655,59,1080
"Member, State Board of Education, District 6",0008,889,351,1240,1848,67.10%,548,587,54,1189
"Member, State Board of Education, District 6",0014,989,429,1418,1924,73.70%,637,669,50,1356
"Member, State Board of Education, District 6",0015,1489,849,2338,2852,81.98%,1197,945,50,2192
"Member, State Board of Education, District 6",0018,743,367,1110,1456,76.24%,463,546,39,1048
"Member, State Board of Education, District 6",0032,1245,504,1749,2728,64.11%,649,891,120,1660
"Member, State Board of Education, District 6",0033,2072,554,2626,3907,67.21%,852,1490,138,2480
"Member, State Board of Education, District 6",0034,1611,517,2128,3044,69.91%,397,1535,117,2049
"Member, State Board of Education, District 6",0037,1521,409,1930,2467,78.23%,595,1147,81,1823
"Member, State Board of Education, District 6",0038,1876,436,2312,3081,75.04%,680,1414,98,2192
"Member, State Board of Education, District 6",0039,1703,492,2195,3070,71.50%,506,1491,85,2082
"Member, State Board of Education, District 6",0040,275,107,382,527,72.49%,151,196,11,358
"Member, State Board of Education, District 6",0043,815,300,1115,1972,56.54%,440,579,48,1067
"Member, State Board of Education, District 6",0044,726,310,1036,2126,48.73%,192,715,46,953
"Member, State Board of Education, District 6",0046,875,341,1216,2568,47.35%,162,942,50,1154
"Member, State Board of Education, District 6",0050,1836,680,2516,4314,58.32%,1142,1217,81,2440
"Member, State Board of Education, District 6",0052,1400,456,1856,2581,71.91%,774,899,84,1757
"Member, State Board of Education, District 6",0053,1675,613,2288,3083,74.21%,824,1194,125,2143
