Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barbara Cargill,Totals
"Member, State Board of Education, District 8",0006,1841,628,2469,4084,60.46%,1457,1457
"Member, State Board of Education, District 8",0012,230,65,295,731,40.36%,167,167
"Member, State Board of Education, District 8",0013,1230,382,1612,2751,58.60%,1127,1127
"Member, State Board of Education, District 8",0028,1514,446,1960,3307,59.27%,1274,1274
"Member, State Board of Education, District 8",0041,712,264,976,1518,64.30%,508,508
"Member, State Board of Education, District 8",0049,1547,731,2278,3709,61.42%,1645,1645
"Member, State Board of Education, District 8",0051,828,271,1099,1734,63.38%,862,862
"Member, State Board of Education, District 8",0063,787,391,1158,1903,60.85%,955,955
"Member, State Board of Education, District 8",0076,1015,427,1442,2441,59.07%,815,815
"Member, State Board of Education, District 8",0084,573,257,830,1421,58.41%,620,620
"Member, State Board of Education, District 8",0088,338,141,479,784,61.10%,335,335
"Member, State Board of Education, District 8",0090,1858,890,2746,3883,70.72%,2133,2133
"Member, State Board of Education, District 8",0091,873,339,1012,1724,58.70%,655,655
"Member, State Board of Education, District 8",0092,1283,474,1737,2260,76.86%,1209,1209
"Member, State Board of Education, District 8",0097,2513,467,2980,4414,67.51%,2338,2338
"Member, State Board of Education, District 8",0098,1385,594,1979,3161,62.61%,1660,1660
"Member, State Board of Education, District 8",0099,881,295,976,2192,44.53%,475,475
"Member, State Board of Education, District 8",0100,529,276,805,1825,44.11%,390,390
"Member, State Board of Education, District 8",0102,581,227,808,1907,42.37%,284,284
"Member, State Board of Education, District 8",0103,2140,985,3125,5097,61.31%,1829,1829
"Member, State Board of Education, District 8",0108,1482,448,1910,3674,51.99%,1067,1067
"Member, State Board of Education, District 8",0110,1882,481,2143,3222,66.51%,1384,1384
"Member, State Board of Education, District 8",0119,2757,409,3166,4682,67.62%,2572,2572
"Member, State Board of Education, District 8",0121,354,221,575,966,59.52%,396,396
"Member, State Board of Education, District 8",0141,217,153,370,904,40.93%,215,215
"Member, State Board of Education, District 8",0143,1888,267,2135,2582,82.69%,1523,1523
"Member, State Board of Education, District 8",0149,2938,573,3511,4756,73.82%,2230,2230
"Member, State Board of Education, District 8",0170,883,262,925,1958,47.24%,494,494
"Member, State Board of Education, District 8",0174,1718,707,2423,3389,71.50%,1750,1750
"Member, State Board of Education, District 8",0199,1929,815,2744,4063,67.54%,2168,2168
"Member, State Board of Education, District 8",0220,833,306,1139,2362,48.22%,798,798
"Member, State Board of Education, District 8",0242,508,314,820,1744,47.02%,460,460
"Member, State Board of Education, District 8",0248,453,347,800,2147,37.26%,259,259
"Member, State Board of Education, District 8",0249,1125,365,1490,2825,52.74%,1004,1004
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barbara Cargill,Totals
"Member, State Board of Education, District 8",0250,288,183,471,925,50.92%,58,58
"Member, State Board of Education, District 8",0251,805,378,1184,2132,55.53%,151,151
"Member, State Board of Education, District 8",0279,789,314,1103,2073,53.21%,713,713
"Member, State Board of Education, District 8",0290,705,332,1037,1623,63.89%,808,808
"Member, State Board of Education, District 8",0302,1198,591,1789,3277,54.59%,1031,1031
"Member, State Board of Education, District 8",0305,2154,645,2799,4838,57.85%,1225,1225
"Member, State Board of Education, District 8",0306,1096,299,1395,1896,73.58%,1027,1027
"Member, State Board of Education, District 8",0307,1455,801,2257,3270,69.02%,1612,1612
"Member, State Board of Education, District 8",0331,884,234,1118,1612,69.35%,774,774
"Member, State Board of Education, District 8",0333,1385,942,2327,3296,70.60%,1745,1745
"Member, State Board of Education, District 8",0340,2040,654,2694,4012,67.15%,2037,2037
"Member, State Board of Education, District 8",0346,1,0,1,1,100.00%,0,0
"Member, State Board of Education, District 8",0347,1461,618,2079,3614,57.53%,1353,1353
"Member, State Board of Education, District 8",0348,831,242,1073,1796,59.74%,773,773
"Member, State Board of Education, District 8",0349,458,369,827,1372,60.28%,549,549
"Member, State Board of Education, District 8",0351,2855,570,3425,4799,71.37%,2727,2727
"Member, State Board of Education, District 8",0352,2023,538,2561,4278,59.86%,1939,1939
"Member, State Board of Education, District 8",0357,1886,557,2443,3685,66.30%,1870,1870
"Member, State Board of Education, District 8",0377,1381,643,2024,3137,64.52%,1594,1594
"Member, State Board of Education, District 8",0378,621,447,1068,1856,57.54%,723,723
"Member, State Board of Education, District 8",0380,2733,551,3284,4380,74.98%,1980,1980
"Member, State Board of Education, District 8",0382,429,206,635,1035,61.35%,442,442
"Member, State Board of Education, District 8",0386,1658,419,2077,3105,66.89%,1552,1552
"Member, State Board of Education, District 8",0387,1703,780,2483,4340,57.21%,1794,1794
"Member, State Board of Education, District 8",0388,2899,711,3610,5413,66.69%,2057,2057
"Member, State Board of Education, District 8",0391,987,336,1323,1978,66.89%,880,880
"Member, State Board of Education, District 8",0393,427,257,684,1274,53.69%,374,374
"Member, State Board of Education, District 8",0399,1293,546,1839,3340,55.06%,875,875
"Member, State Board of Education, District 8",0404,1033,445,1478,2717,54.40%,789,789
"Member, State Board of Education, District 8",0414,1573,514,2087,3586,58.20%,1608,1608
"Member, State Board of Education, District 8",0415,1076,573,1649,2284,72.20%,1187,1187
"Member, State Board of Education, District 8",0416,1443,845,2288,4009,57.07%,1287,1287
"Member, State Board of Education, District 8",0419,1166,477,1643,2702,60.81%,1062,1062
"Member, State Board of Education, District 8",0420,2687,731,3418,4946,69.11%,2867,2867
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barbara Cargill,Totals
"Member, State Board of Education, District 8",0421,1241,273,1514,2023,74.84%,849,849
"Member, State Board of Education, District 8",0447,2413,464,2877,3727,77.19%,2067,2067
"Member, State Board of Education, District 8",0456,1404,553,1957,3793,51.60%,1182,1182
"Member, State Board of Education, District 8",0459,2362,432,2794,3942,70.88%,2234,2234
"Member, State Board of Education, District 8",0469,1868,462,2330,3257,71.54%,1860,1860
"Member, State Board of Education, District 8",0470,555,232,787,1358,57.95%,630,630
"Member, State Board of Education, District 8",0471,1057,458,1515,2473,61.26%,1215,1215
"Member, State Board of Education, District 8",0473,944,390,1334,1787,74.65%,956,956
"Member, State Board of Education, District 8",0474,1417,624,2041,3127,65.27%,1436,1436
"Member, State Board of Education, District 8",0476,1078,405,1483,2458,60.33%,872,872
"Member, State Board of Education, District 8",0502,1366,293,1659,2595,63.93%,1333,1333
"Member, State Board of Education, District 8",0511,2933,574,3507,4620,75.91%,2344,2344
"Member, State Board of Education, District 8",0521,1350,578,1928,3070,62.80%,1069,1069
"Member, State Board of Education, District 8",0531,1234,166,1400,2250,62.22%,1068,1068
"Member, State Board of Education, District 8",0532,478,140,618,1058,58.41%,449,449
"Member, State Board of Education, District 8",0533,352,169,521,1164,44.76%,295,295
"Member, State Board of Education, District 8",0534,1895,577,2472,3918,63.09%,1848,1848
"Member, State Board of Education, District 8",0537,1958,464,2422,3174,76.31%,1767,1767
"Member, State Board of Education, District 8",0545,2016,468,2484,3949,62.90%,1293,1293
"Member, State Board of Education, District 8",0546,1524,278,1802,2471,72.93%,1561,1561
"Member, State Board of Education, District 8",0561,1024,624,1648,3138,52.52%,1060,1060
"Member, State Board of Education, District 8",0563,2071,337,2408,3468,69.43%,1936,1936
"Member, State Board of Education, District 8",0568,1834,697,2531,3638,69.57%,1736,1736
"Member, State Board of Education, District 8",0586,1792,790,2582,4521,57.11%,1688,1688
"Member, State Board of Education, District 8",0588,1940,606,2546,3780,67.35%,1807,1807
"Member, State Board of Education, District 8",0589,1540,545,2085,3780,55.16%,1152,1152
"Member, State Board of Education, District 8",0590,1230,400,1630,2176,74.91%,1283,1283
"Member, State Board of Education, District 8",0596,1378,501,1879,3574,52.57%,1043,1043
"Member, State Board of Education, District 8",0598,2389,731,3120,5253,59.39%,1415,1415
"Member, State Board of Education, District 8",0603,2337,725,3062,4666,65.62%,1942,1942
"Member, State Board of Education, District 8",0604,1816,375,2191,3189,68.70%,1857,1857
"Member, State Board of Education, District 8",0612,1929,431,2360,3388,69.66%,1861,1861
"Member, State Board of Education, District 8",0617,1704,650,2354,4179,56.33%,1049,1049
"Member, State Board of Education, District 8",0618,1698,545,2243,3801,59.01%,1154,1154
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barbara Cargill,Totals
"Member, State Board of Education, District 8",0624,297,59,356,456,78.07%,286,286
"Member, State Board of Education, District 8",0634,1436,499,1935,3259,59.37%,1266,1266
"Member, State Board of Education, District 8",0635,1545,520,2155,3512,61.67%,1686,1686
"Member, State Board of Education, District 8",0636,2303,922,3225,4569,70.58%,2835,2835
"Member, State Board of Education, District 8",0639,1386,284,1670,2560,65.23%,1310,1310
"Member, State Board of Education, District 8",0654,2383,698,3081,5063,60.85%,1782,1782
"Member, State Board of Education, District 8",0655,1959,761,2720,4495,60.51%,1651,1651
"Member, State Board of Education, District 8",0658,1299,494,1793,2901,61.81%,1241,1241
"Member, State Board of Education, District 8",0659,2807,733,3540,5161,68.59%,2626,2626
"Member, State Board of Education, District 8",0662,2267,571,2838,4002,70.91%,2372,2372
"Member, State Board of Education, District 8",0665,1327,360,1687,2354,71.67%,1403,1403
"Member, State Board of Education, District 8",0666,0,0,0,0,0.00%,0,0
"Member, State Board of Education, District 8",0670,1996,416,2412,3335,72.32%,1987,1987
"Member, State Board of Education, District 8",0673,1625,467,2092,3051,68.57%,1725,1725
"Member, State Board of Education, District 8",0674,2355,610,2966,4228,70.15%,2280,2280
"Member, State Board of Education, District 8",0679,1718,529,2247,3542,63.44%,1688,1688
"Member, State Board of Education, District 8",0682,2112,690,2802,4313,64.97%,2153,2153
"Member, State Board of Education, District 8",0692,1278,678,1956,3118,62.73%,1468,1468
"Member, State Board of Education, District 8",0695,628,315,943,1842,51.19%,631,631
"Member, State Board of Education, District 8",0696,724,312,1036,2027,51.11%,676,676
"Member, State Board of Education, District 8",0699,1277,398,1675,2387,70.17%,1152,1152
