Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0001,1429,496,1925,2682,71.77%,495,1266,99,23,0,0,0,0
President and Vice President,0002,1011,370,1381,2099,65.79%,447,802,63,17,0,0,0,0
President and Vice President,0003,877,336,1213,1625,74.65%,333,770,67,15,0,0,0,0
President and Vice President,0004,950,369,1329,1709,77.76%,320,888,75,11,0,0,0,0
President and Vice President,0005,762,380,1142,1470,77.69%,310,727,68,15,0,0,0,0
President and Vice President,0006,1841,628,2469,4084,60.46%,1114,1203,84,20,3,0,0,0
President and Vice President,0007,430,125,555,1002,55.39%,22,522,3,1,0,0,0,0
President and Vice President,0008,893,351,1244,1848,67.32%,495,657,51,9,1,0,0,0
President and Vice President,0009,663,312,975,1861,52.39%,192,695,47,16,0,0,0,0
President and Vice President,0010,703,232,935,1830,51.09%,162,717,22,9,0,0,0,0
President and Vice President,0011,622,258,880,1748,50.34%,146,691,14,11,1,0,0,0
President and Vice President,0012,230,65,295,731,40.36%,144,139,5,4,0,0,0,0
President and Vice President,0013,1233,382,1615,2751,58.71%,1030,509,42,12,1,0,0,0
President and Vice President,0014,1006,429,1435,1924,74.58%,563,754,64,13,1,0,0,0
President and Vice President,0015,1509,849,2358,2852,82.68%,920,1244,87,15,0,0,0,0
President and Vice President,0016,695,189,884,1284,68.85%,320,483,45,7,0,0,0,0
President and Vice President,0017,454,293,747,1198,62.35%,265,433,25,9,0,0,0,0
President and Vice President,0018,745,367,1112,1456,76.37%,391,622,41,13,0,0,0,1
President and Vice President,0019,652,293,945,1288,73.37%,231,631,51,10,0,0,0,0
President and Vice President,0020,1019,335,1354,2780,48.71%,314,914,67,19,0,0,0,0
President and Vice President,0021,542,207,749,1229,60.94%,108,559,48,17,0,0,0,0
President and Vice President,0022,943,419,1362,2501,54.46%,192,1097,29,17,0,0,0,0
President and Vice President,0023,132,74,206,551,37.39%,28,161,6,8,0,0,0,0
President and Vice President,0024,294,36,330,712,46.35%,50,264,5,9,0,0,0,0
President and Vice President,0025,243,292,535,1105,48.42%,27,485,2,3,0,0,0,0
President and Vice President,0026,839,313,1152,1969,58.51%,189,877,34,18,0,0,0,0
President and Vice President,0027,1397,508,1905,3271,58.24%,332,1441,57,35,0,0,0,0
President and Vice President,0028,1519,446,1965,3307,59.42%,1054,805,48,14,2,0,0,0
President and Vice President,0029,648,490,1138,2722,41.81%,294,757,34,14,0,0,0,0
President and Vice President,0030,1295,546,1841,2818,65.33%,373,1296,106,12,0,0,0,0
President and Vice President,0031,786,453,1239,2656,46.65%,33,1167,9,11,0,0,0,0
President and Vice President,0032,1279,504,1783,2728,65.36%,553,1038,134,20,1,0,0,0
President and Vice President,0033,2099,554,2653,3907,67.90%,673,1705,171,26,0,0,0,0
President and Vice President,0034,1531,517,2148,3044,70.57%,347,1638,80,49,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0035,5,0,5,14,35.71%,3,2,0,0,0,0,0,0
President and Vice President,0036,1035,516,1552,3100,50.06%,288,1170,31,24,0,0,0,0
President and Vice President,0037,1553,409,1962,2467,79.53%,464,1333,100,24,0,0,0,0
President and Vice President,0038,1901,436,2337,3081,75.85%,554,1579,105,27,0,0,0,0
President and Vice President,0039,1726,492,2218,3070,72.25%,428,1642,88,16,0,0,0,0
President and Vice President,0040,281,107,388,527,73.62%,115,241,19,1,0,0,0,0
President and Vice President,0041,712,264,976,1518,64.30%,381,537,22,8,0,0,0,0
President and Vice President,0042,438,109,547,1062,51.51%,8,531,2,1,0,0,0,0
President and Vice President,0043,817,300,1117,1972,56.64%,405,637,24,15,0,0,0,0
President and Vice President,0044,731,310,1041,2126,48.97%,175,794,23,16,0,0,0,0
President and Vice President,0045,2263,1021,3284,5740,57.21%,595,2521,63,27,0,0,0,0
President and Vice President,0046,877,341,1218,2568,47.43%,157,985,25,24,0,0,0,0
President and Vice President,0047,507,268,775,1618,47.90%,40,707,4,4,0,0,0,0
President and Vice President,0048,348,168,516,967,53.36%,43,446,6,6,0,0,0,0
President and Vice President,0049,1548,731,2279,3709,61.45%,1429,718,57,22,4,0,0,1
President and Vice President,0050,1838,680,2518,4314,58.37%,1073,1295,77,22,1,0,0,0
President and Vice President,0051,830,271,1101,1734,63.49%,771,263,31,6,1,0,0,0
President and Vice President,0052,1421,456,1877,2581,72.72%,594,1073,130,17,1,0,0,0
President and Vice President,0053,1691,613,2304,3083,74.73%,683,1399,129,20,0,0,0,0
President and Vice President,0054,1060,211,1271,1619,78.51%,426,722,69,6,0,0,0,0
President and Vice President,0055,1274,410,1684,2094,80.42%,491,1014,125,14,0,1,0,0
President and Vice President,0056,708,283,991,1393,71.14%,494,410,44,12,1,0,0,0
President and Vice President,0057,2058,567,2625,3325,78.95%,716,1638,139,25,1,0,0,0
President and Vice President,0058,1726,484,2210,3031,72.91%,703,1261,157,23,2,0,0,0
President and Vice President,0059,1607,439,2046,2671,76.60%,611,1247,104,13,0,1,0,0
President and Vice President,0060,1491,537,2028,2766,73.32%,363,1518,79,38,0,0,0,0
President and Vice President,0061,519,423,942,1847,51.00%,230,646,31,10,0,0,0,0
President and Vice President,0062,691,452,1143,2195,52.07%,214,862,27,18,0,0,0,0
President and Vice President,0063,767,391,1158,1903,60.85%,909,205,20,4,1,0,0,0
President and Vice President,0064,678,368,1046,2220,47.12%,177,814,14,21,0,0,0,0
President and Vice President,0065,639,435,1074,2178,49.31%,148,870,20,14,0,0,0,0
President and Vice President,0066,247,255,502,1135,44.23%,89,383,10,2,0,0,0,0
President and Vice President,0067,944,521,1465,3019,48.53%,250,1136,30,20,0,0,0,0
President and Vice President,0068,1172,430,1602,3096,51.74%,41,1502,8,15,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0069,375,222,597,1309,45.61%,82,480,8,14,0,0,0,0
President and Vice President,0070,2307,670,2977,3815,78.03%,1309,1398,144,19,0,1,0,0
President and Vice President,0071,2728,947,3675,5016,73.27%,1297,1962,278,27,0,0,0,0
President and Vice President,0072,737,418,1155,2029,56.92%,260,827,24,14,0,0,0,0
President and Vice President,0073,813,282,1095,1621,67.55%,448,547,53,11,0,2,0,0
President and Vice President,0074,2508,268,2776,3578,77.59%,1890,699,91,20,1,2,0,0
President and Vice President,0075,1004,286,1290,1684,76.60%,396,746,87,15,0,0,0,0
President and Vice President,0076,1017,427,1444,2441,59.16%,650,723,34,11,0,0,0,0
President and Vice President,0077,2,5,7,1,7,41.18%,1,5,0,0,0,0,0,0
President and Vice President,0078,619,254,873,1608,54.29%,194,612,31,8,0,0,0,0
President and Vice President,0079,832,602,1434,2963,48.40%,227,1133,21,21,0,0,0,0
President and Vice President,0080,1176,466,1642,2840,57.82%,338,1224,22,14,0,0,0,0
President and Vice President,0081,776,273,1049,1964,53.41%,274,713,24,12,0,0,0,0
President and Vice President,0082,1593,756,2349,3539,66.37%,1529,635,107,14,2,0,0,0
President and Vice President,0083,1836,540,2376,4174,56.92%,758,1461,65,22,0,0,0,0
President and Vice President,0084,573,257,830,1421,58.41%,562,226,29,5,0,0,0,0
President and Vice President,0085,604,329,933,2169,43.02%,33,854,10,16,0,0,0,0
President and Vice President,0086,2046,493,2539,3449,73.62%,839,1407,189,35,2,0,0,0
President and Vice President,0087,1471,719,2190,2839,77.14%,972,1030,99,10,0,0,0,0
President and Vice President,0088,338,141,479,784,61.10%,307,144,16,3,0,0,0,0
President and Vice President,0089,402,424,826,1094,75.50%,327,442,33,4,0,0,0,0
President and Vice President,0090,1867,890,2757,3883,71.00%,1849,723,109,26,6,0,0,0
President and Vice President,0091,676,339,1015,1724,58.87%,512,407,54,22,0,0,0,0
President and Vice President,0092,1270,474,1744,2260,77.17%,953,645,68,22,5,0,0,1
President and Vice President,0093,1049,619,1668,3536,47.17%,440,1139,39,19,0,0,0,0
President and Vice President,0094,202,63,265,580,45.69%,41,208,3,4,0,0,0,0
President and Vice President,0095,2039,534,2573,3394,75.81%,1391,1002,102,20,1,0,0,0
President and Vice President,0096,828,306,1134,2060,55.05%,144,938,20,13,0,0,0,0
President and Vice President,0097,2517,467,2984,4414,67.60%,2148,674,94,24,3,0,0,0
President and Vice President,0098,1386,594,1980,3161,62.64%,1607,288,31,9,4,0,0,0
President and Vice President,0099,683,295,978,2192,44.62%,385,549,23,11,0,0,0,0
President and Vice President,0100,531,276,807,1825,44.22%,313,444,18,15,0,0,0,0
President and Vice President,0102,581,227,808,1907,42.37%,182,559,17,18,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0103,2152,985,3137,5097,61.55%,1450,1548,74,14,0,0,0,0
President and Vice President,0104,915,211,1126,1920,58.65%,31,1064,10,4,0,0,0,0
