Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0001,1425,496,1922,2682,71.66%,610,899,230,98,1837
Railroad Commissioner,0002,1007,370,1377,2099,65.60%,529,582,152,58,1321
Railroad Commissioner,0003,875,335,1211,1525,74.52%,397,535,175,47,1155
Railroad Commissioner,0004,955,359,1324,1709,77.47%,397,619,216,45,1277
Railroad Commissioner,0005,750,380,1140,1470,77.55%,374,505,176,44,1100
Railroad Commissioner,0006,1841,628,2469,4084,60.46%,1106,1105,108,67,2385
Railroad Commissioner,0007,430,125,555,1002,55.39%,13,516,4,7,540
Railroad Commissioner,0008,891,351,1242,1848,67.21%,523,511,112,49,1195
Railroad Commissioner,0009,662,312,974,1861,52.34%,200,580,67,79,926
Railroad Commissioner,0010,703,232,935,1830,51.09%,147,617,21,86,871
Railroad Commissioner,0011,519,258,877,1748,50.17%,155,555,33,83,825
Railroad Commissioner,0012,230,65,295,731,40.36%,135,122,12,13,282
Railroad Commissioner,0013,1232,382,1614,2751,58.67%,973,441,81,53,1548
Railroad Commissioner,0014,992,429,1421,1924,73.86%,624,519,169,54,1366
Railroad Commissioner,0015,1490,849,2339,2852,82.01%,1179,715,310,27,2231
Railroad Commissioner,0016,583,189,872,1284,67.91%,366,358,102,17,843
Railroad Commissioner,0017,452,293,745,1198,62.19%,266,363,56,18,703
Railroad Commissioner,0018,744,367,1111,1456,76.30%,453,435,131,39,1058
Railroad Commissioner,0019,552,293,945,1288,73.37%,278,471,124,36,909
Railroad Commissioner,0020,1013,335,1348,2780,48.49%,355,706,160,63,1284
Railroad Commissioner,0021,541,207,748,1229,60.86%,142,457,83,36,718
Railroad Commissioner,0022,935,419,1355,2501,54.18%,188,1019,59,49,1315
Railroad Commissioner,0023,132,74,206,551,37.39%,32,139,11,20,202
Railroad Commissioner,0024,294,36,330,712,46.35%,58,236,13,11,318
Railroad Commissioner,0025,241,292,533,1105,48.24%,21,476,13,13,523
Railroad Commissioner,0025,835,313,1149,1969,58.35%,206,710,69,102,1087
Railroad Commissioner,0027,1394,508,1902,3271,58.15%,339,1185,108,170,1802
Railroad Commissioner,0028,1517,446,1963,3307,59.36%,1043,757,69,35,1904
Railroad Commissioner,0029,548,490,1138,2722,41.81%,292,669,36,87,1084
Railroad Commissioner,0030,1292,546,1838,2818,65.22%,484,1024,167,63,1738
Railroad Commissioner,0031,785,453,1239,2656,46.65%,36,1119,23,16,1194
Railroad Commissioner,0032,1259,504,1773,2728,64.99%,676,772,211,43,1702
Railroad Commissioner,0033,2085,554,2640,3907,67.57%,856,1223,327,94,2500
Railroad Commissioner,0034,1513,517,2130,3044,69.97%,402,1271,244,136,2053
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0035,5,0,5,14,35.71%,2,2,1,0,5
Railroad Commissioner,0036,1032,516,1548,3100,49.94%,294,1058,50,76,1478
Railroad Commissioner,0037,1537,409,1946,2467,78.88%,624,953,211,69,1857
Railroad Commissioner,0038,1879,436,2315,3081,75.14%,666,1146,322,87,2221
Railroad Commissioner,0039,1711,492,2203,3070,71.76%,519,1231,264,87,2101
Railroad Commissioner,0040,275,107,382,527,72.49%,145,125,89,3,362
Railroad Commissioner,0041,712,264,976,1518,64.30%,380,500,47,24,951
Railroad Commissioner,0042,438,109,547,1062,51.51%,12,518,0,5,535
Railroad Commissioner,0043,817,300,1117,1972,56.64%,420,538,62,48,1068
Railroad Commissioner,0044,729,310,1039,2126,48.87%,181,634,59,95,969
Railroad Commissioner,0045,2263,1021,3284,5740,57.21%,563,2391,82,125,3161
Railroad Commissioner,0046,876,341,1217,2568,47.39%,147,862,47,96,1152
Railroad Commissioner,0047,507,268,775,1618,47.90%,35,693,9,19,756
Railroad Commissioner,0048,348,168,516,967,53.36%,50,413,11,18,492
Railroad Commissioner,0049,1548,731,2279,3709,61.45%,1430,645,76,54,2205
Railroad Commissioner,0050,1838,680,2518,4314,58.37%,1128,1131,122,59,2440
Railroad Commissioner,0051,829,271,1100,1734,63.44%,756,241,51,20,1068
Railroad Commissioner,0052,1408,456,1864,2581,72.22%,794,723,212,59,1788
Railroad Commissioner,0053,1680,613,2293,3083,74.38%,857,947,321,75,2200
Railroad Commissioner,0054,1055,211,1257,1619,78.26%,535,482,161,28,1206
Railroad Commissioner,0055,1272,410,1682,2094,80.32%,629,718,208,48,1603
Railroad Commissioner,0056,698,283,981,1393,70.42%,517,324,80,28,949
Railroad Commissioner,0057,2045,567,2612,3325,78.56%,904,1083,396,108,2491
Railroad Commissioner,0058,1717,484,2201,3031,72.62%,863,897,270,72,2102
Railroad Commissioner,0059,1594,439,2033,2671,76.11%,718,871,286,82,1957
