Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Latricia Archie,Totals
"Sheldon |.S.D., Trustee, Position 2",0045,2263,1019,3282,5740,57.18%,1744,1744
"Sheldon |.S.D., Trustee, Position 2",0096,828,306,1134,2060,55.05%,599,599
"Sheldon |.S.D., Trustee, Position 2",0118,0,0,0,0,0.00%,0,0
"Sheldon |.S.D., Trustee, Position 2",0220,106,10,116,213,54.46%,46,46
"Sheldon |.S.D., Trustee, Position 2",0353,0,1,1,0,0.00%,0,0
"Sheldon |.S.D., Trustee, Position 2",0376,413,209,622,1224,50.82%,313,313
"Sheldon |.S.D., Trustee, Position 2",0380,43,21,64,81,79.01%,26,26
"Sheldon |.S.D., Trustee, Position 2",0382,429,206,635,1035,61.35%,292,292
"Sheldon |.S.D., Trustee, Position 2",0460,490,185,675,1119,60.32%,366,366
"Sheldon |.S.D., Trustee, Position 2",0963,225,91,316,528,59.85%,149,149
"Sheldon |.S.D., Trustee, Position 2",0965,101,35,136,345,39.42%,69,69
"Sheldon |.S.D., Trustee, Position 2",0976,190,152,342,712,48.03%,154,154
"Sheldon |.S.D., Trustee, Position 2",Totals:,5088,2235,7323,13057,3758,3758
