Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0001,1416,496,1912,2682,71.29%,628,1183,1811
Sheriff,0002,1000,370,1370,2099,65.27%,542,760,1302
Sheriff,0003,875,336,1211,1625,74.52%,419,747,1166
Sheriff,0004,954,369,1323,1709,77.41%,423,843,1266
Sheriff,0005,759,380,1139,1470,77.48%,388,710,1098
Sheriff,0006,1840,628,2468,4084,60.43%,1204,1189,2393
Sheriff,0007,430,125,555,1002,55.39%,19,520,539
Sheriff,0008,889,351,1240,1848,67.10%,568,629,1197
Sheriff,0009,658,312,970,1861,52.12%,212,706,918
Sheriff,0010,701,232,933,1830,50.98%,155,718,873
Sheriff,0011,617,258,875,1748,50.06%,145,690,835
Sheriff,0012,230,65,295,731,40.36%,145,138,283
Sheriff,0013,1230,382,1612,2751,58.60%,1051,499,1550
Sheriff,0014,989,429,1418,1924,73.70%,675,683,1358
Sheriff,0015,1489,849,2338,2852,81.98%,1248,969,2217
Sheriff,0016,676,189,865,1284,67.37%,385,438,823
Sheriff,0017,451,293,744,1198,62.10%,289,415,704
Sheriff,0018,743,367,1110,1456,76.24%,493,574,1067
Sheriff,0019,547,293,940,1288,72.98%,300,594,894
Sheriff,0020,1007,335,1342,2780,48.27%,405,876,1281
Sheriff,0021,539,207,746,1229,60.70%,153,557,710
Sheriff,0022,935,419,1354,2501,54.14%,221,1086,1307
Sheriff,0023,132,74,206,551,37.39%,32,166,198
Sheriff,0024,292,36,328,712,46.07%,60,257,317
Sheriff,0025,239,292,531,1105,48.05%,30,487,517
Sheriff,0026,834,313,1147,1969,58.25%,222,877,1099
Sheriff,0027,1391,508,1899,3271,58.06%,352,1453,1805
Sheriff,0028,1513,446,1959,3307,59.24%,1081,819,1900
Sheriff,0029,548,490,1138,2722,41.81%,310,769,1079
Sheriff,0030,1285,546,1831,2818,64.98%,517,1213,1730
Sheriff,0031,784,453,1237,2656,46.57%,49,1142,1191
Sheriff,0032,1245,504,1749,2728,64.11%,722,923,1645
Sheriff,0033,2072,554,2525,3907,67.21%,909,1543,2452
Sheriff,0034,1511,517,2128,3044,69.91%,450,1596,2046
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0035,5,0,5,14,35.71%,3,2,5
Sheriff,0036,1032,516,1548,3100,49.94%,323,1159,1482
Sheriff,0037,1521,409,1930,2467,78.23%,621,1196,1817
Sheriff,0038,1876,436,2312,3081,75.04%,731,1476,2207
Sheriff,0039,1703,492,2195,3070,71.50%,544,1530,2074
Sheriff,0040,275,107,382,527,72.49%,153,207,360
Sheriff,0041,712,264,976,1518,64.30%,429,519,948
Sheriff,0042,438,109,547,1062,51.51%,19,519,538
Sheriff,0043,815,300,1115,1972,56.54%,450,607,1057
Sheriff,0044,726,310,1036,2126,48.73%,170,806,976
Sheriff,0045,2263,1021,3284,5740,57.21%,648,2494,3142
Sheriff,0046,875,341,1216,2568,47.35%,158,1014,1172
Sheriff,0047,505,268,773,1618,47.78%,44,709,753
Sheriff,0048,348,168,516,967,53.36%,60,433,493
Sheriff,0049,1546,731,2277,3709,61.39%,1496,712,2208
Sheriff,0050,1836,680,2516,4314,58.32%,1203,1240,2443
Sheriff,0051,828,271,1099,1734,63.38%,797,266,1063
Sheriff,0052,1400,456,1856,2581,71.91%,821,942,1763
Sheriff,0053,1675,613,2288,3083,74.21%,904,1257,2161
Sheriff,0054,1052,211,1263,1619,78.01%,583,608,1191
Sheriff,0055,1262,410,1672,2094,79.85%,671,901,1572
Sheriff,0056,698,283,981,1393,70.42%,559,384,943
Sheriff,0057,2043,567,2610,3325,78.50%,979,1492,2471
Sheriff,0058,1716,484,2200,3031,72.58%,938,1153,2091
Sheriff,0059,1589,439,2028,2671,75.93%,803,1145,1948
Sheriff,0060,1473,537,2010,2766,72.67%,515,1387,1902
Sheriff,0061,519,423,942,1847,51.00%,239,652,891
Sheriff,0062,689,452,1141,2195,51.98%,179,911,1090
Sheriff,0063,767,391,1158,1903,60.85%,919,209,1128
Sheriff,0064,678,368,1046,2220,47.12%,165,822,987
Sheriff,0065,638,435,1073,2178,49.27%,144,888,1032
Sheriff,0066,247,255,502,1135,44.23%,78,399,477
Sheriff,0067,942,521,1463,3019,48.46%,260,1114,1374
Sheriff,0068,1171,430,1601,3096,51.71%,58,1487,1545
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0069,375,222,597,1309,45.61%,78,485,563
Sheriff,0070,2288,670,2958,3815,77.54%,1566,1258,2824
Sheriff,0071,2703,947,3650,5016,72.77%,1730,1740,3470
Sheriff,0072,736,418,1154,2029,56.88%,243,868,1111
Sheriff,0073,813,282,1095,1621,67.55%,524,522,1046
Sheriff,0074,2503,268,2771,3578,77.45%,2056,635,2691
Sheriff,0075,1000,286,1286,1684,76.37%,538,687,1225
Sheriff,0076,1015,427,1442,2441,59.07%,670,717,1387
Sheriff,0077,2,5,7,17,41.18%,1,6,7
Sheriff,0078,618,254,872,1608,54.23%,177,647,824
Sheriff,0079,831,602,1433,2963,48.36%,209,1164,1373
Sheriff,0080,1174,466,1640,2840,57.75%,337,1235,1572
Sheriff,0081,776,273,1049,1964,53.41%,291,715,1006
Sheriff,0082,1585,756,2341,3539,66.15%,1691,585,2276
Sheriff,0083,1829,540,2369,4174,56.76%,884,1405,2289
Sheriff,0084,573,257,830,1421,58.41%,571,234,805
Sheriff,0085,587,329,916,2169,42.23%,42,834,876
Sheriff,0086,2032,493,2525,3449,73.21%,1129,1285,2414
Sheriff,0087,1451,719,2170,2839,76.44%,1234,835,2069
Sheriff,0088,338,141,479,784,61.10%,312,151,463
Sheriff,0089,398,424,822,1094,75.14%,421,350,771
Sheriff,0090,1856,890,2746,3883,70.72%,1964,690,2654
Sheriff,0091,673,339,1012,1724,58.70%,555,403,958
Sheriff,0092,1263,474,1737,2260,76.86%,1100,578,1678
Sheriff,0093,1048,619,1667,3536,47.14%,453,1146,1599
Sheriff,0094,202,53,255,580,45.69%,39,218,257
Sheriff,0095,2022,534,2556,3394,75.31%,1606,868,2474
Sheriff,0096,828,306,1134,2060,55.05%,171,932,1103
Sheriff,0097,2511,467,2978,4414,67.47%,2235,657,2892
Sheriff,0098,1385,594,1979,3161,62.61%,1621,312,1933
Sheriff,0099,681,295,976,2192,44.53%,395,546,941
Sheriff,0100,529,276,805,1825,44.11%,313,467,780
Sheriff,0101,221,129,350,988,35.43%,84,255,339
Sheriff,0102,580,227,807,1907,42.32%,187,582,769
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0103,2140,985,3125,5097,61.31%,1486,1574,3060
Sheriff,0104,913,211,1124,1920,58.54%,35,1062,1097
Sheriff,0105,709,433,1142,2304,49.57%,266,823,1089
Sheriff,0106,73,59,132,299,44.15%,43,87,130
Sheriff,0107,592,403,995,2230,44.62%,139,816,955
Sheriff,0108,1461,448,1909,3674,51.96%,927,894,1821
Sheriff,0109,1098,278,1376,2909,47.30%,52,1289,1341
Sheriff,0110,1661,481,2142,3222,66.48%,1241,849,2090
Sheriff,0111,2699,866,3565,4792,74.39%,2459,998,3457
Sheriff,0112,1507,598,2105,3188,66.03%,1387,659,2046
Sheriff,0113,1307,418,1725,2718,63.47%,904,780,1684
Sheriff,0114,2290,506,2796,3885,71.97%,2025,690,2715
Sheriff,0115,609,272,881,1843,47.80%,80,762,842
Sheriff,0116,1898,599,2497,3194,78.18%,1826,587,2413
Sheriff,0117,573,379,952,1900,50.11%,303,608,911
Sheriff,0118,1823,530,2353,3181,73.97%,1234,1055,2289
Sheriff,0119,2755,409,3164,4682,67.58%,2452,621,3073
Sheriff,0120,1804,588,2392,3732,64.09%,1368,931,2299
Sheriff,0121,354,221,575,966,59.52%,356,204,560
Sheriff,0122,732,284,1016,1904,53.36%,48,932,980
Sheriff,0123,749,287,1036,1585,65.36%,247,741,988
Sheriff,0124,3136,888,4024,5393,74.62%,3144,806,3950
Sheriff,0125,1207,400,1607,2593,61.97%,868,693,1561
Sheriff,0126,2017,427,2444,3380,72.31%,2058,317,2375
Sheriff,0127,978,214,1192,2091,57.01%,832,320,1152
Sheriff,0128,1107,612,1719,2322,74.03%,981,644,1625
Sheriff,0129,2540,1052,3592,5172,69.45%,2013,1444,3457
Sheriff,0130,1310,433,1743,2289,76.15%,1202,480,1682
Sheriff,0131,798,371,1169,2147,54.45%,230,911,1141
Sheriff,0132,1028,322,1350,2378,56.77%,46,1279,1325
Sheriff,0133,1411,746,2157,2690,80.19%,1118,923,2041
Sheriff,0134,593,345,938,1513,62.00%,347,554,901
Sheriff,0135,1614,551,2165,2777,77.96%,1292,761,2053
Sheriff,0136,982,352,1334,2116,63.04%,78,1212,1290
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0137,993,259,1252,1986,63.04%,821,389,1210
Sheriff,0138,600,228,828,1723,48.06%,44,766,810
Sheriff,0139,1939,601,2540,3435,73.94%,1105,1303,2408
Sheriff,0140,1513,510,2023,3270,61.87%,322,1613,1935
Sheriff,0141,217,153,370,904,40.93%,196,152,348
Sheriff,0142,293,140,433,933,46.41%,76,331,407
Sheriff,0143,1868,267,2135,2582,82.69%,1370,718,2088
Sheriff,0144,442,125,567,1086,52.21%,24,523,547
Sheriff,0145,560,256,816,1564,52.17%,16,773,789
Sheriff,0146,1000,494,1494,2073,72.07%,607,826,1433
Sheriff,0147,1411,354,1765,3211,54.97%,214,1505,1719
Sheriff,0148,1265,652,1917,2571,74.56%,685,1132,1817
Sheriff,0149,2938,573,3511,4756,73.82%,1936,1489,3425
Sheriff,0150,582,223,805,1574,51.14%,34,743,777
Sheriff,0151,282,107,389,826,47.09%,20,353,373
Sheriff,0152,838,524,1362,3059,44.52%,250,1045,1295
Sheriff,0153,544,399,943,1873,50.35%,191,722,913
Sheriff,0154,913,289,1202,2293,52.42%,206,929,1135
Sheriff,0155,2275,576,2851,4065,70.14%,1713,1032,2745
Sheriff,0156,1413,403,1816,3223,56.35%,107,1652,1759
Sheriff,0157,880,278,1158,2265,51.13%,74,1052,1126
Sheriff,0158,1143,365,1508,3049,49.46%,42,1431,1473
Sheriff,0159,348,147,495,997,49.65%,75,406,481
Sheriff,0160,286,67,353,717,49.23%,14,325,339
Sheriff,0161,378,173,551,992,55.54%,23,509,532
Sheriff,0162,364,267,631,1312,48.09%,151,441,592
Sheriff,0163,1080,524,1604,3075,52.16%,444,1044,1488
Sheriff,0164,441,258,699,1407,49.68%,32,647,679
Sheriff,0165,1169,469,1638,2460,66.59%,909,663,1572
Sheriff,0166,562,261,823,1171,70.28%,252,538,790
Sheriff,0167,5,2,7,24,29.17%,0,7,7
