Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Deborah Jensen,Totals
"Spring |.S.D., Trustee, Position 1",0006,1840,628,2468,4084,60.43%,1277,1277
"Spring |.S.D., Trustee, Position 1",0041,712,264,976,1518,64.30%,531,531
"Spring |.S.D., Trustee, Position 1",0110,1551,481,2142,3222,66.48%,1036,1036
"Spring |.S.D., Trustee, Position 1",0283,1240,604,1844,3129,58.93%,942,942
"Spring |.S.D., Trustee, Position 1",0342,0,0,0,0,0.00%,0,0
"Spring |.S.D., Trustee, Position 1",0358,9,2,11,36,30.56%,5,5
"Spring |.S.D., Trustee, Position 1",0399,191,109,300,782,38.36%,142,142
"Spring |.S.D., Trustee, Position 1",0452,232,63,295,382,77.23%,149,149
"Spring |.S.D., Trustee, Position 1",0465,1628,594,2222,3778,58.81%,1067,1067
"Spring |.S.D., Trustee, Position 1",0466,2274,509,2783,4327,64.32%,1333,1333
"Spring |.S.D., Trustee, Position 1",0468,63,10,73,307,23.78%,41,41
"Spring |.S.D., Trustee, Position 1",0482,0,1,1,0,0.00%,1,1
"Spring |.S.D., Trustee, Position 1",0500,313,77,390,683,57.10%,174,174
"Spring |.S.D., Trustee, Position 1",0520,1786,670,2456,5202,47.21%,1200,1200
"Spring |.S.D., Trustee, Position 1",0549,1081,443,1524,2703,56.38%,683,683
"Spring |.S.D., Trustee, Position 1",0550,1171,553,1724,3245,53.13%,845,845
"Spring |.S.D., Trustee, Position 1",0586,1790,790,2580,4521,57.07%,1217,1217
"Spring |.S.D., Trustee, Position 1",0588,1940,606,2546,3780,67.35%,1320,1320
"Spring |.S.D., Trustee, Position 1",0596,1377,501,1878,3574,52.55%,990,990
"Spring |.S.D., Trustee, Position 1",0614,1495,527,2022,3622,55.83%,936,936
"Spring |.S.D., Trustee, Position 1",0615,1075,301,1376,2086,65.96%,638,638
"Spring |.S.D., Trustee, Position 1",0629,162,96,258,750,34.40%,121,121
"Spring |.S.D., Trustee, Position 1",0634,1435,499,1934,3259,59.34%,1032,1032
"Spring |.S.D., Trustee, Position 1",0660,1575,345,1920,3087,62.20%,1027,1027
"Spring |.S.D., Trustee, Position 1",0678,1164,294,1458,2660,54.81%,717,717
"Spring |.S.D., Trustee, Position 1",0717,973,232,1205,2078,57.99%,545,545
"Spring |.S.D., Trustee, Position 1",0747,1746,693,2439,4096,59.55%,1184,1184
"Spring |.S.D., Trustee, Position 1",0753,258,53,311,512,60.74%,156,156
"Spring |.S.D., Trustee, Position 1",0757,1867,601,2468,4792,51.50%,1255,1255
"Spring |.S.D., Trustee, Position 1",0794,140,74,214,620,34.52%,92,92
"Spring |.S.D., Trustee, Position 1",0825,9,7,16,21,76.19%,11,11
"Spring |.S.D., Trustee, Position 1",0851,242,72,314,486,64.61%,143,143
"Spring |.S.D., Trustee, Position 1",0883,2252,926,3178,5613,56.62%,1630,1630
"Spring |.S.D., Trustee, Position 1",0894,801,305,1106,2087,52.99%,558,558
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Deborah Jensen,Totals
"Spring |.S.D., Trustee, Position 1",0897,812,365,1177,1766,66.65%,630,630
"Spring |.S.D., Trustee, Position 1",0912,712,167,879,1341,65.55%,457,457
"Spring |.S.D., Trustee, Position 1",0957,282,39,321,585,54.87%,172,172
"Spring |.S.D., Trustee, Position 1",0958,237,109,346,623,55.54%,150,150
"Spring |.S.D., Trustee, Position 1",0981,12,2,14,31,45.16%,3,3
"Spring |.S.D., Trustee, Position 1",0997,521,283,804,1909,42.12%,377,377
"Spring |.S.D., Trustee, Position 1",Totals:,37078,12895,49973,87297,24787,24787
