Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Chris A. Bell,Totals
"Spring |.S.D., Trustee, Position 2",0006,1840,628,2468,4084,60.43%,1226,1226
"Spring |.S.D., Trustee, Position 2",0041,712,264,976,1518,64.30%,484,484
"Spring |.S.D., Trustee, Position 2",0110,1551,481,2142,3222,66.48%,1034,1034
"Spring |.S.D., Trustee, Position 2",0283,1240,604,1844,3129,58.93%,914,914
"Spring |.S.D., Trustee, Position 2",0342,0,0,0,0,0.00%,0,0
"Spring |.S.D., Trustee, Position 2",0358,9,2,11,36,30.56%,5,5
"Spring |.S.D., Trustee, Position 2",0399,191,109,300,782,38.36%,132,132
"Spring |.S.D., Trustee, Position 2",0452,232,63,295,382,77.23%,142,142
"Spring |.S.D., Trustee, Position 2",0465,1628,594,2222,3778,58.81%,1082,1082
"Spring |.S.D., Trustee, Position 2",0466,2274,509,2783,4327,64.32%,1340,1340
"Spring |.S.D., Trustee, Position 2",0468,63,10,73,307,23.78%,38,38
"Spring |.S.D., Trustee, Position 2",0482,0,1,1,0,0.00%,1,1
"Spring |.S.D., Trustee, Position 2",0500,313,77,390,683,57.10%,177,177
"Spring |.S.D., Trustee, Position 2",0520,1786,670,2456,5202,47.21%,1165,1165
"Spring |.S.D., Trustee, Position 2",0549,1081,443,1524,2703,56.38%,688,688
"Spring |.S.D., Trustee, Position 2",0550,1171,553,1724,3245,53.13%,832,832
"Spring |.S.D., Trustee, Position 2",0586,1790,790,2580,4521,57.07%,1293,1293
"Spring |.S.D., Trustee, Position 2",0588,1940,606,2546,3780,67.35%,1305,1305
"Spring |.S.D., Trustee, Position 2",0596,1377,501,1878,3574,52.55%,933,933
"Spring |.S.D., Trustee, Position 2",0614,1495,527,2022,3622,55.83%,1009,1009
"Spring |.S.D., Trustee, Position 2",0615,1075,301,1376,2086,65.96%,667,667
"Spring |.S.D., Trustee, Position 2",0629,162,96,258,750,34.40%,116,116
"Spring |.S.D., Trustee, Position 2",0634,1435,499,1934,3259,59.34%,1002,1002
"Spring |.S.D., Trustee, Position 2",0660,1575,345,1920,3087,62.20%,987,987
"Spring |.S.D., Trustee, Position 2",0678,1164,294,1458,2660,54.81%,737,737
"Spring |.S.D., Trustee, Position 2",0717,973,232,1205,2078,57.99%,529,529
"Spring |.S.D., Trustee, Position 2",0747,1746,693,2439,4096,59.55%,1254,1254
"Spring |.S.D., Trustee, Position 2",0753,258,53,311,512,60.74%,146,146
"Spring |.S.D., Trustee, Position 2",0757,1867,601,2468,4792,51.50%,1229,1229
"Spring |.S.D., Trustee, Position 2",0794,140,74,214,620,34.52%,89,89
"Spring |.S.D., Trustee, Position 2",0825,9,7,16,21,76.19%,8,8
"Spring |.S.D., Trustee, Position 2",0851,242,72,314,486,64.61%,149,149
"Spring |.S.D., Trustee, Position 2",0883,2252,926,3178,5613,56.62%,1545,1545
"Spring |.S.D., Trustee, Position 2",0894,801,305,1106,2087,52.99%,542,542
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Chris A. Bell,Totals
"Spring |.S.D., Trustee, Position 2",0897,812,365,1177,1766,66.65%,617,617
"Spring |.S.D., Trustee, Position 2",0912,712,167,879,1341,65.55%,441,441
"Spring |.S.D., Trustee, Position 2",0957,282,39,321,585,54.87%,168,168
"Spring |.S.D., Trustee, Position 2",0958,237,109,346,623,55.54%,155,155
"Spring |.S.D., Trustee, Position 2",0981,12,2,14,31,45.16%,3,3
"Spring |.S.D., Trustee, Position 2",0997,521,283,804,1909,42.12%,358,358
"Spring |.S.D., Trustee, Position 2",Totals:,37078,12895,49973,87297,24542,24542
