Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Justine Durant,Myron Spencer,Totals
"Spring |.S.D., Trustee, Position 3",0006,1840,628,2468,4084,60.43%,1229,387,1616
"Spring |.S.D., Trustee, Position 3",0041,712,264,976,1518,64.30%,417,194,611
"Spring |.S.D., Trustee, Position 3",0110,1661,481,2142,3222,66.48%,879,364,1243
"Spring |.S.D., Trustee, Position 3",0283,1240,604,1844,3129,58.93%,683,356,1039
"Spring |.S.D., Trustee, Position 3",0342,0,0,0,0,0.00%,0,0,0
"Spring |.S.D., Trustee, Position 3",0358,9,2,11,36,30.56%,5,1,6
"Spring |.S.D., Trustee, Position 3",0399,191,109,300,782,38.36%,132,53,185
"Spring |.S.D., Trustee, Position 3",0452,232,63,295,382,77.23%,101,51,152
"Spring |.S.D., Trustee, Position 3",0465,1628,594,2222,3778,58.81%,850,444,1294
"Spring |.S.D., Trustee, Position 3",0466,2274,509,2783,4327,64.32%,991,654,1645
"Spring |.S.D., Trustee, Position 3",0468,63,10,73,307,23.78%,26,16,42
"Spring |.S.D., Trustee, Position 3",0482,0,1,1,0,0.00%,0,1,1
"Spring |.S.D., Trustee, Position 3",0500,313,77,390,683,57.10%,146,60,206
"Spring |.S.D., Trustee, Position 3",0520,1786,670,2456,5202,47.21%,850,511,1361
"Spring |.S.D., Trustee, Position 3",0549,1081,443,1524,2703,56.38%,502,294,796
"Spring |.S.D., Trustee, Position 3",0550,1171,553,1724,3245,53.13%,598,331,929
"Spring |.S.D., Trustee, Position 3",0586,1790,790,2580,4521,57.07%,1140,380,1520
"Spring |.S.D., Trustee, Position 3",0588,1940,606,2546,3780,67.35%,1133,421,1554
"Spring |.S.D., Trustee, Position 3",0596,1377,501,1878,3574,52.55%,841,314,1155
"Spring |.S.D., Trustee, Position 3",0614,1495,527,2022,3622,55.83%,834,356,1190
"Spring |.S.D., Trustee, Position 3",0615,1075,301,1376,2086,65.96%,487,285,772
"Spring |.S.D., Trustee, Position 3",0629,162,96,258,750,34.40%,98,43,141
"Spring |.S.D., Trustee, Position 3",0634,1435,499,1934,3259,59.34%,953,300,1253
"Spring |.S.D., Trustee, Position 3",0660,1575,345,1920,3087,62.20%,865,343,1208
"Spring |.S.D., Trustee, Position 3",0678,1164,294,1458,2660,54.81%,635,251,886
"Spring |.S.D., Trustee, Position 3",0717,973,232,1205,2078,57.99%,419,214,633
"Spring |.S.D., Trustee, Position 3",0747,1746,693,2439,4096,59.55%,1143,387,1530
"Spring |.S.D., Trustee, Position 3",0753,258,53,311,512,60.74%,131,56,187
"Spring |.S.D., Trustee, Position 3",0757,1867,601,2468,4792,51.50%,879,537,1416
"Spring |.S.D., Trustee, Position 3",0794,140,74,214,620,34.52%,68,33,101
"Spring |.S.D., Trustee, Position 3",0825,9,7,16,21,76.19%,8,5,13
"Spring |.S.D., Trustee, Position 3",0851,242,72,314,486,64.61%,100,58,158
"Spring |.S.D., Trustee, Position 3",0883,2252,926,3178,5613,56.62%,1261,578,1839
"Spring |.S.D., Trustee, Position 3",0894,801,305,1106,2087,52.99%,399,225,624
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Justine Durant,Myron Spencer,Totals
"Spring |.S.D., Trustee, Position 3",0897,812,365,1177,1766,66.65%,455,192,647
"Spring |.S.D., Trustee, Position 3",0912,712,167,879,1341,65.55%,382,160,542
"Spring |.S.D., Trustee, Position 3",0957,282,39,321,585,54.87%,144,50,194
"Spring |.S.D., Trustee, Position 3",0958,237,109,346,623,55.54%,114,58,172
"Spring |.S.D., Trustee, Position 3",0981,12,2,14,31,45.16%,3,2,5
"Spring |.S.D., Trustee, Position 3",0997,521,283,804,1909,42.12%,259,166,425
"Spring |.S.D., Trustee, Position 3",Totals:,37078,12895,49973,87297,20160,9131,29291
