Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Tom Oliverson,Totals
"State Representative, District 130",0049,1546,731,2277,3709,61.39%,1639,1639
"State Representative, District 130",0111,2699,866,3565,4792,74.39%,2612,2612
"State Representative, District 130",0121,354,221,575,966,59.52%,393,393
"State Representative, District 130",0124,3135,888,4024,5393,74.62%,3261,3261
"State Representative, District 130",0126,2017,427,2444,3380,72.31%,2109,2109
"State Representative, District 130",0127,978,214,1192,2091,57.01%,868,868
"State Representative, District 130",0137,993,259,1252,1986,63.04%,899,899
"State Representative, District 130",0173,2259,683,2942,3966,74.18%,2295,2295
"State Representative, District 130",0245,2100,811,2911,4679,62.21%,2010,2010
"State Representative, District 130",0300,3385,728,4113,5480,75.05%,3257,3257
"State Representative, District 130",0370,2525,627,3152,4531,69.57%,2341,2341
"State Representative, District 130",0405,1910,457,2367,3067,77.18%,1844,1844
"State Representative, District 130",0442,2441,685,3126,4315,72.44%,2604,2604
"State Representative, District 130",0480,1445,538,1983,2978,66.59%,1410,1410
"State Representative, District 130",0481,1756,667,2423,3609,67.14%,1831,1831
"State Representative, District 130",0485,2118,567,2685,4051,66.28%,2035,2035
"State Representative, District 130",0486,2310,721,3031,4195,72.25%,2384,2384
"State Representative, District 130",0519,1421,518,1939,3098,62.59%,1395,1395
"State Representative, District 130",0529,2107,434,2541,3842,66.14%,2138,2138
"State Representative, District 130",0602,754,234,988,1441,68.56%,707,707
"State Representative, District 130",0640,1519,615,2234,3927,56.89%,1381,1381
"State Representative, District 130",0641,1637,683,2320,3840,60.42%,1441,1441
"State Representative, District 130",0688,2333,594,2927,3922,74.63%,2366,2366
"State Representative, District 130",0691,2131,551,2682,3690,72.68%,2137,2137
"State Representative, District 130",0713,770,365,1135,2006,56.58%,616,616
"State Representative, District 130",0726,1271,321,1592,2207,72.13%,1391,1391
"State Representative, District 130",0734,2307,556,2863,4294,66.67%,1970,1970
"State Representative, District 130",0768,1479,387,1866,2643,70.60%,1513,1513
"State Representative, District 130",0805,1597,454,2051,2874,71.36%,1627,1627
"State Representative, District 130",0806,1001,324,1325,1889,70.14%,878,878
"State Representative, District 130",0817,2787,550,3337,4700,71.00%,2477,2477
"State Representative, District 130",0828,1174,281,1455,1965,74.05%,1171,1171
"State Representative, District 130",0880,1354,471,1825,2467,73.98%,1441,1441
"State Representative, District 130",0903,1314,354,1668,2558,65.21%,1266,1266
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Tom Oliverson,Totals
"State Representative, District 130",0926,550,149,699,967,72.29%,530,530
"State Representative, District 130",0980,686,333,1019,1412,72.17%,754,754
"State Representative, District 130",0982,1898,501,2399,2916,82.27%,1910,1910
"State Representative, District 130",0983,65,17,82,198,41.41%,51,51
"State Representative, District 130",Totals:,64227,18782,83009,120044,62952,62952
