Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dwayne Bohac,Totals
"State Representative, District 138",0056,698,283,981,1393,70.42%,639,639
"State Representative, District 138",0120,1804,588,2392,3732,64.09%,1604,1604
"State Representative, District 138",0155,2275,576,2851,4065,70.14%,1900,1900
"State Representative, District 138",0165,1159,469,1638,2460,66.59%,1057,1057
"State Representative, District 138",0209,0,0,0,0,0.00%,0,0
"State Representative, District 138",0260,547,227,774,1300,59.54%,425,425
"State Representative, District 138",0262,1847,676,2523,4397,57.38%,1538,1538
"State Representative, District 138",0264,1110,627,1737,3101,56.01%,1038,1038
"State Representative, District 138",0310,709,326,1035,1464,70.70%,706,706
"State Representative, District 138",0398,1751,654,2415,4200,57.50%,1262,1262
"State Representative, District 138",0407,1703,860,2563,3969,64.58%,1739,1739
"State Representative, District 138",0424,548,158,706,1079,65.43%,410,410
"State Representative, District 138",0444,1620,679,2299,3625,63.42%,1424,1424
"State Representative, District 138",0445,1036,382,1418,2134,66.45%,970,970
"State Representative, District 138",0463,1673,564,2237,3773,59.29%,1084,1084
"State Representative, District 138",0517,1610,509,2119,3744,56.60%,1067,1067
"State Representative, District 138",0523,1978,537,2515,4027,62.45%,1682,1682
"State Representative, District 138",0577,885,205,1090,1586,68.73%,715,715
"State Representative, District 138",0621,536,200,736,1272,57.86%,385,385
"State Representative, District 138",0622,2129,591,2720,4562,59.62%,1601,1601
"State Representative, District 138",0642,1030,270,1300,1783,72.91%,1044,1044
"State Representative, District 138",0643,1948,593,2541,4189,60.66%,1390,1390
"State Representative, District 138",0650,2033,819,2852,4039,70.61%,2043,2043
"State Representative, District 138",0689,726,604,1330,2449,54.31%,674,674
"State Representative, District 138",0701,208,73,281,614,45.77%,138,138
"State Representative, District 138",0707,377,69,446,757,58.92%,294,294
"State Representative, District 138",0761,1088,167,1255,1598,78.54%,955,955
"State Representative, District 138",0771,572,210,782,1588,49.24%,392,392
"State Representative, District 138",0804,2703,682,3385,5303,63.83%,2000,2000
"State Representative, District 138",0882,1952,595,2547,4317,59.00%,1007,1007
"State Representative, District 138",0913,102,12,114,241,47.30%,29,29
"State Representative, District 138",0973,504,138,642,999,64.26%,447,447
"State Representative, District 138",0991,0,1,1,2,50.00%,0,0
"State Representative, District 138",0992,455,106,562,1075,52.28%,299,299
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dwayne Bohac,Totals
"State Representative, District 138",1006,0,0,0,0,0.00%,0,0
