Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Carol Alvarado,Totals
"State Representative, District 145",0001,1416,496,1912,2682,71.29%,1324,1324
"State Representative, District 145",0003,875,336,1211,1625,74.52%,847,847
"State Representative, District 145",0009,658,312,970,1861,52.12%,750,750
"State Representative, District 145",0023,132,74,206,551,37.39%,173,173
"State Representative, District 145",0026,834,313,1147,1969,58.25%,945,945
"State Representative, District 145",0027,1391,508,1899,3271,58.06%,1536,1536
"State Representative, District 145",0029,648,490,1138,2722,41.81%,841,841
"State Representative, District 145",0067,942,521,1463,3019,48.46%,1207,1207
"State Representative, District 145",0072,735,418,1154,2029,56.88%,949,949
"State Representative, District 145",0142,293,140,433,933,46.41%,342,342
"State Representative, District 145",0154,913,289,1202,2293,52.42%,990,990
"State Representative, District 145",0172,245,103,348,661,52.65%,280,280
"State Representative, District 145",0203,298,111,409,988,41.40%,337,337
"State Representative, District 145",0211,964,595,1559,3130,49.81%,1163,1163
"State Representative, District 145",0218,1099,457,1556,2467,63.07%,1244,1244
"State Representative, District 145",0226,840,421,1261,2554,49.37%,1050,1050
"State Representative, District 145",0231,801,445,1246,2376,52.44%,1039,1039
"State Representative, District 145",0280,444,362,806,1656,48.67%,617,617
"State Representative, District 145",0289,481,352,833,1584,52.59%,560,560
"State Representative, District 145",0328,425,286,711,1631,43.59%,519,519
"State Representative, District 145",0329,589,260,849,1621,52.38%,645,645
"State Representative, District 145",0343,722,370,1092,2099,52.02%,908,908
"State Representative, District 145",0347,1461,618,2079,3614,57.53%,1021,1021
"State Representative, District 145",0348,830,242,1072,1796,59.69%,431,431
"State Representative, District 145",0369,132,29,161,678,23.75%,110,110
"State Representative, District 145",0526,235,157,392,820,47.80%,318,318
"State Representative, District 145",0675,0,0,0,0,0.00%,0,0
"State Representative, District 145",0752,659,227,886,1484,59.70%,379,379
"State Representative, District 145",0755,1782,955,2737,5015,54.58%,1940,1940
"State Representative, District 145",0763,370,264,634,1249,50.76%,471,471
"State Representative, District 145",0766,126,59,185,428,43.22%,154,154
"State Representative, District 145",0793,984,416,1400,2620,53.44%,747,747
"State Representative, District 145",0842,1338,513,1851,3390,54.60%,1241,1241
"State Representative, District 145",0856,0,3,3,0,0.00%,1,1
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Carol Alvarado,Totals
"State Representative, District 145",0871,2,1,3,3,100.00%,3,3
"State Representative, District 145",0890,445,98,543,1214,44.73%,350,350
"State Representative, District 145",0892,420,123,543,900,60.33%,385,385
"State Representative, District 145",0918,3,1,4,7,57.14%,3,3
"State Representative, District 145",0924,0,0,0,0,0.00%,0,0
"State Representative, District 145",0929,0,0,0,0,0.00%,0,0
"State Representative, District 145",0945,8,6,14,21,66.67%,13,13
"State Representative, District 145",0946,4,2,6,14,42.86%,5,5
"State Representative, District 145",0972,0,0,0,0,0.00%,0,0
"State Representative, District 145",0999,0,0,0,0,0.00%,0,0
"State Representative, District 145",1005,0,0,0,0,0.00%,0,0
"State Representative, District 145",Totals:,24545,11373,35918,66975,25838,25838
