Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Borris L. Miles,LIB Joshua Rohn,Totals
"State Senator, District 13",0007,430,125,555,1002,55.39%,520,12,532
"State Senator, District 13",0016,676,189,865,1284,67.37%,453,212,665
"State Senator, District 13",0019,647,293,940,1288,72.98%,585,204,789
"State Senator, District 13",0020,1007,335,1342,2780,48.27%,861,258,1119
"State Senator, District 13",0021,539,207,746,1229,60.70%,548,139,687
"State Senator, District 13",0022,936,419,1355,2501,54.18%,1104,100,1204
"State Senator, District 13",0024,292,36,328,712,46.07%,266,35,301
"State Senator, District 13",0025,239,292,531,1105,48.05%,490,17,507
"State Senator, District 13",0031,784,453,1237,2656,46.57%,1156,31,1187
"State Senator, District 13",0042,438,109,547,1062,51.51%,524,8,532
"State Senator, District 13",0047,505,268,773,1618,47.78%,708,26,734
"State Senator, District 13",0048,348,168,516,967,53.36%,435,33,468
"State Senator, District 13",0068,1172,430,1602,3096,51.74%,1514,30,1544
"State Senator, District 13",0085,587,329,916,2169,42.23%,840,42,882
"State Senator, District 13",0104,913,211,1124,1920,58.54%,1067,20,1087
"State Senator, District 13",0131,798,371,1169,2147,54.45%,917,75,992
"State Senator, District 13",0132,1028,322,1350,2378,56.77%,1282,31,1313
"State Senator, District 13",0136,982,352,1334,2116,63.04%,1179,94,1273
"State Senator, District 13",0138,600,228,828,1723,48.06%,768,20,788
"State Senator, District 13",0140,1513,510,2023,3270,61.87%,1634,193,1827
"State Senator, District 13",0144,442,125,567,1086,52.21%,531,14,545
"State Senator, District 13",0145,560,256,816,1564,52.17%,772,16,788
"State Senator, District 13",0151,282,107,389,826,47.09%,361,8,369
"State Senator, District 13",0156,1413,403,1816,3223,56.35%,1650,76,1726
"State Senator, District 13",0158,1144,365,1509,3049,49.49%,1437,24,1461
"State Senator, District 13",0159,348,147,495,997,49.65%,410,43,453
"State Senator, District 13",0160,285,67,353,717,49.23%,324,12,336
"State Senator, District 13",0161,378,173,551,992,55.54%,515,12,527
"State Senator, District 13",0168,196,59,255,512,49.80%,248,3,251
"State Senator, District 13",0180,928,463,1391,2914,47.74%,1289,45,1334
"State Senator, District 13",0186,252,150,402,798,50.38%,361,18,379
"State Senator, District 13",0193,375,211,586,1099,53.32%,535,32,567
"State Senator, District 13",0194,1138,449,1587,2172,73.07%,1090,257,1347
"State Senator, District 13",0198,151,82,243,619,39.26%,219,11,230
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Borris L. Miles,LIB Joshua Rohn,Totals
"State Senator, District 13",0201,222,105,327,773,42.30%,307,9,316
"State Senator, District 13",0202,421,233,654,1410,46.38%,598,25,623
"State Senator, District 13",0205,771,171,942,1724,54.64%,900,15,915
"State Senator, District 13",0210,1259,489,1748,2781,62.86%,1408,195,1603
