Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Sylvia R. Garcia,Totals
"State Senator, District 6",0001,1416,496,1912,2682,71.29%,1336,1336
"State Senator, District 6",0002,1000,370,1370,2099,65.27%,880,880
"State Senator, District 6",0009,658,312,970,1861,52.12%,744,744
"State Senator, District 6",0010,701,232,933,1830,50.98%,769,769
"State Senator, District 6",0011,617,258,875,1748,50.06%,714,714
"State Senator, District 6",0012,230,65,295,731,40.36%,162,162
"State Senator, District 6",0013,1230,382,1612,2751,58.60%,710,710
"State Senator, District 6",0023,132,74,206,551,37.39%,172,172
"State Senator, District 6",0026,834,313,1147,1969,58.25%,941,941
"State Senator, District 6",0027,1391,508,1899,3271,58.06%,1525,1525
"State Senator, District 6",0029,648,490,1138,2722,41.81%,848,848
"State Senator, District 6",0036,1032,516,1548,3100,49.94%,1220,1220
"State Senator, District 6",0044,726,310,1036,2126,48.73%,827,827
"State Senator, District 6",0045,2263,1021,3284,5740,57.21%,2731,2731
"State Senator, District 6",0046,875,341,1216,2568,47.35%,1055,1055
"State Senator, District 6",0061,519,423,942,1847,51.00%,710,710
"State Senator, District 6",0062,689,452,1141,2195,51.98%,950,950
"State Senator, District 6",0064,678,368,1046,2220,47.12%,867,867
"State Senator, District 6",0065,638,435,1073,2178,49.27%,908,908
"State Senator, District 6",0066,247,255,502,1135,44.23%,419,419
"State Senator, District 6",0067,942,521,1463,3019,48.46%,1199,1199
"State Senator, District 6",0069,375,222,597,1309,45.61%,503,503
"State Senator, District 6",0072,736,418,1154,2029,56.88%,937,937
"State Senator, District 6",0077,2,5,7,17,41.18%,6,6
"State Senator, District 6",0078,618,254,872,1608,54.23%,682,682
"State Senator, District 6",0079,831,602,1433,2963,48.36%,1216,1216
"State Senator, District 6",0081,775,273,1049,1964,53.41%,821,821
"State Senator, District 6",0083,1829,540,2369,4174,56.76%,1597,1597
"State Senator, District 6",0093,1048,619,1667,3536,47.14%,1238,1238
"State Senator, District 6",0094,202,63,265,580,45.69%,221,221
"State Senator, District 6",0096,828,306,1134,2060,55.05%,983,983
"State Senator, District 6",0099,681,295,976,2192,44.53%,608,608
"State Senator, District 6",0100,529,276,805,1825,44.11%,519,519
"State Senator, District 6",0101,221,129,350,988,35.43%,269,269
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Sylvia R. Garcia,Totals
"State Senator, District 6",0102,580,227,807,1907,42.32%,615,615
"State Senator, District 6",0105,709,433,1142,2304,49.57%,905,905
"State Senator, District 6",0106,73,59,132,299,44.15%,97,97
"State Senator, District 6",0107,592,403,995,2230,44.62%,845,845
"State Senator, District 6",0115,609,272,881,1843,47.80%,779,779
"State Senator, District 6",0118,1823,530,2353,3181,73.97%,1347,1347
"State Senator, District 6",0134,593,345,938,1513,62.00%,627,627
"State Senator, District 6",0141,217,153,370,904,40.93%,190,190
"State Senator, District 6",0142,293,140,433,933,46.41%,341,341
"State Senator, District 6",0150,582,223,805,1574,51.14%,748,748
"State Senator, District 6",0152,838,524,1362,3059,44.52%,1115,1115
"State Senator, District 6",0153,544,399,943,1873,50.35%,754,754
"State Senator, District 6",0154,913,289,1202,2293,52.42%,983,983
"State Senator, District 6",0162,364,267,631,1312,48.09%,484,484
"State Senator, District 6",0163,1080,524,1604,3075,52.16%,1212,1212
"State Senator, District 6",0166,562,261,823,1171,70.28%,609,609
"State Senator, District 6",0167,5,2,7,24,29.17%,6,6
"State Senator, District 6",0170,663,262,925,1958,47.24%,542,542
"State Senator, District 6",0171,482,283,765,1648,46.42%,706,706
"State Senator, District 6",0172,245,103,348,661,52.65%,280,280
