Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Republican Party,DEM Democratic Party,LIB Libertarian Party,GRN Green Party,Totals
Straight Party,0001,1429,496,1925,2682,71.77%,350,617,20,6,993
Straight Party,0002,1011,370,1381,2099,65.79%,300,398,6,8,712
Straight Party,0003,577,335,1213,1625,74.65%,199,318,6,5,528
Straight Party,0004,950,369,1329,1709,77.76%,202,378,13,4,597
Straight Party,0005,762,380,1142,1470,77.69%,200,313,4,2,519
Straight Party,0006,1841,628,2469,4084,60.46%,784,829,19,11,1643
Straight Party,0007,430,125,555,1002,55.39%,11,426,0,0,437
Straight Party,0008,893,351,1244,1848,67.32%,369,383,6,6,764
Straight Party,0009,553,312,975,1861,52.39%,127,435,3,3,568
Straight Party,0010,703,232,935,1830,51,09%,92,466,7,7,572
Straight Party,0011,822,258,880,1748,50.34%,87,448,6,4,545
Straight Party,0012,230,65,295,731,40.36%,103,101,3,0,207
Straight Party,0013,1233,382,1615,2751,58.71%,657,317,9,5,988
Straight Party,0014,1006,429,1435,1924,74.58%,407,352,7,4,770
Straight Party,0015,1559,849,2355,2852,82.68%,683,446,10,2,1141
Straight Party,0016,895,189,884,1284,68.85%,216,230,4,3,453
Straight Party,0017,454,293,747,1198,62.35%,199,278,4,0,481
Straight Party,0018,745,367,1112,1456,76.37%,276,295,3,2,576
Straight Party,0019,852,293,945,1288,73.37%,147,276,8,3,434
Straight Party,0020,1019,335,1354,2780,48.71%,218,477,16,7,718
Straight Party,0021,542,207,749,1229,60.94%,65,300,7,5,377
Straight Party,0022,943,419,1362,2501,54.46%,132,844,6,9,991
Straight Party,0023,132,74,206,551,37.39%,25,108,4,0,137
Straight Party,0024,294,36,330,712,46.35%,33,168,0,3,204
Straight Party,0025,243,292,535,1105,48.42%,14,400,0,1,415
Straight Party,0026,839,313,1152,1969,58.51%,108,501,4,6,619
Straight Party,0027,1397,508,1905,3271,58.24%,200,886,6,17,1109
Straight Party,0028,1519,446,1965,3307,59.42%,740,563,8,3,1314
Straight Party,0029,648,490,1138,2722,41.81%,208,572,6,11,797
Straight Party,0030,1295,546,1841,2818,65.33%,275,769,18,6,1068
Straight Party,0031,786,453,1239,2656,46.65%,22,900,2,3,927
Straight Party,0032,1279,504,1783,2728,65.36%,379,487,30,4,900
Straight Party,0033,2599,554,2553,3907,67.90%,462,797,25,7,1291
Straight Party,0034,1531,517,2148,3044,70.57%,228,838,19,14,1099
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Republican Party,DEM Democratic Party,LIB Libertarian Party,GRN Green Party,Totals
Straight Party,0035,5,0,5,14,35.71%,2,2,0,0,4
Straight Party,0036,1035,516,1552,3100,50.06%,200,869,7,11,1087
Straight Party,0037,1553,409,1962,2467,79.53%,346,631,9,9,995
Straight Party,0038,1901,436,2337,3081,75.85%,377,778,15,9,1179
Straight Party,0039,1726,492,2218,3070,72.25%,296,787,12,8,1103
Straight Party,0040,281,107,388,527,73.62%,73,81,1,1,156
Straight Party,0041,712,264,976,1518,64.30%,267,354,9,4,634
Straight Party,0042,438,109,547,1062,51.51%,9,436,0,1,446
Straight Party,0043,817,300,1117,1972,56.64%,313,434,12,8,767
Straight Party,0044,731,310,1041,2126,48.97%,110,480,7,4,601
Straight Party,0045,2263,1021,3284,5740,57.21%,354,1893,23,8,2278
Straight Party,0046,877,341,1218,2568,47.43%,89,674,12,7,782
Straight Party,0047,507,268,775,1618,47.90%,19,576,1,1,597
Straight Party,0048,348,158,515,967,53.36%,26,333,0,2,361
Straight Party,0049,1548,731,2279,3709,61.45%,1099,499,12,6,1616
Straight Party,0050,1838,680,2518,4314,58.37%,821,920,13,10,1764
Straight Party,0051,830,271,1101,1734,63.49%,556,177,9,0,742
Straight Party,0052,1421,456,1877,2581,72.72%,440,493,12,8,953
Straight Party,0053,1691,613,2304,3083,74.73%,475,591,24,2,1092
Straight Party,0054,1050,211,1271,1619,78.51%,307,292,9,1,609
Straight Party,0055,1274,410,1684,2094,80.42%,336,482,19,4,841
Straight Party,0056,708,283,991,1393,71.14%,369,245,11,7,632
Straight Party,0057,2058,567,2625,3325,78.95%,465,628,15,7,1115
Straight Party,0058,1726,484,2210,3031,72.91%,488,584,22,7,1101
Straight Party,0059,1607,439,2046,2671,76.60%,418,545,10,3,976
Straight Party,0060,1491,537,2028,2766,73.32%,243,710,18,14,985
Straight Party,0061,519,423,942,1847,51.00%,150,511,10,4,675
Straight Party,0062,691,452,1143,2195,52.07%,119,610,5,7,741
Straight Party,0063,767,391,1158,1903,60.85%,614,143,8,0,765
Straight Party,0064,678,368,1046,2220,47.12%,112,612,4,6,734
Straight Party,0065,639,435,1074,2178,49.31%,102,625,4,11,742
Straight Party,0066,247,255,502,1135,44.23%,47,306,2,2,357
Straight Party,0067,944,521,1465,3019,48.53%,151,814,9,9,983
Straight Party,0068,1172,430,1602,3096,51.74%,16,1197,3,1,1217
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Republican Party,DEM Democratic Party,LIB Libertarian Party,GRN Green Party,Totals
Straight Party,0069,375,222,597,1309,45.61%,54,337,1,4,396
Straight Party,0070,2307,670,2977,3815,78.03%,953,597,20,9,1579
Straight Party,0071,2728,947,3675,5016,73.27%,974,994,54,7,2029
Straight Party,0072,737,418,1155,2029,56.92%,153,542,7,0,702
Straight Party,0073,813,282,1095,1621,67.55%,291,238,7,5,541
Straight Party,0074,2508,268,2776,3578,77.59%,1465,395,15,2,1877
Straight Party,0075,1004,286,1290,1684,76.60%,257,342,7,5,611
Straight Party,0076,1017,427,1444,2441,59.16%,472,470,12,3,957
Straight Party,0077,2,5,7,17,41.18%,1,4,0,0,5
Straight Party,0078,619,254,873,1608,54.29%,126,415,12,3,556
Straight Party,0079,832,602,1434,2963,48.40%,137,792,6,15,950
Straight Party,0080,1176,466,1642,2840,57.82%,218,929,7,6,1160
Straight Party,0081,776,273,1049,1964,53.41%,171,532,9,4,716
Straight Party,0082,1593,755,2349,3539,66.37%,1172,404,25,8,1609
Straight Party,0083,1835,540,2376,4174,56.92%,589,998,15,9,1611
Straight Party,0084,573,257,830,1421,58.41%,425,169,10,2,606
Straight Party,0085,604,329,933,2169,43.02%,22,575,5,6,608
Straight Party,0086,2046,493,2539,3449,73.62%,583,637,21,9,1250
Straight Party,0087,1471,719,2190,2839,77.14%,677,408,3,1,1089
Straight Party,0088,338,141,479,784,61.10%,226,103,2,0,331
Straight Party,0089,402,424,826,1094,75.50%,229,163,2,1,395
Straight Party,0090,1867,890,2757,3883,71.00%,1403,382,16,5,1806
Straight Party,0091,676,339,1015,1724,58.87%,370,242,15,5,632
Straight Party,0092,1270,474,1744,2260,77.17%,679,305,19,7,1010
Straight Party,0093,1049,619,1668,3536,47.17%,315,883,13,12,1223
Straight Party,0094,202,63,265,580,45.69%,24,161,4,1,190
Straight Party,0095,2039,534,2573,3394,75.81%,1077,524,21,8,1630
Straight Party,0096,828,306,1134,2060,55.05%,100,715,4,7,826
Straight Party,0097,2517,467,2984,4414,67.60%,1517,443,15,6,1981
Straight Party,0098,1386,594,1980,3161,62.64%,1174,201,9,4,1388
Straight Party,0099,683,295,978,2192,44.62%,279,421,8,7,715
Straight Party,0100,531,276,807,1825,44.22%,221,331,8,5,565
Straight Party,0101,221,129,350,988,35.43%,57,194,1,5,257
Straight Party,0102,581,227,808,1907,42.37%,138,476,6,6,626
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Republican Party,DEM Democratic Party,LIB Libertarian Party,GRN Green Party,Totals
Straight Party,0103,2152,985,3137,5097,61.55%,1008,1119,22,4,2153
Straight Party,0104,915,211,1126,1920,58.65%,13,867,1,1,882
Straight Party,0105,709,433,1142,2304,49.57%,180,609,12,5,806
Straight Party,0106,73,59,132,299,44.15%,28,66,0,3,97
Straight Party,0107,594,403,997,2230,44.71%,99,632,4,7,742
Straight Party,0108,1466,448,1914,3674,52.10%,625,679,18,8,1330
Straight Party,0109,1098,278,1376,2909,47.30%,20,1040,3,6,1069
Straight Party,0110,1664,481,2145,3222,66.57%,825,569,13,3,1410
Straight Party,0111,2704,866,3570,4792,74.50%,1671,652,21,9,2353
Straight Party,0112,1514,598,2112,3188,66.25%,910,429,21,5,1365
Straight Party,0113,1310,418,1728,2718,63.58%,603,535,13,8,1159
Straight Party,0114,2297,506,2803,3885,72.15%,1372,441,22,8,1843
Straight Party,0115,609,272,881,1843,47.80%,57,656,1,4,718
Straight Party,0116,1905,599,2504,3194,78.40%,1194,262,11,2,1469
Straight Party,0117,574,379,953,1900,50.16%,198,418,13,5,634
Straight Party,0118,1828,530,2358,3181,74.13%,728,621,21,6,1376
Straight Party,0119,2765,409,3174,4682,67.79%,1745,395,16,8,2164
Straight Party,0120,1848,588,2436,3732,65.27%,949,601,15,8,1573
Straight Party,0121,356,221,577,966,59.73%,259,142,7,1,409
