Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Matt Schiel,Joseph Ferguson,Lee McLeod,Totals
"Tomball |.S.D., Trustee, Position 5",0114,806,177,983,1340,73.36%,236,160,138,534
"Tomball |.S.D., Trustee, Position 5",0126,1147,243,1390,1900,73.16%,395,147,159,701
"Tomball |.S.D., Trustee, Position 5",0127,978,214,1192,2091,57.01%,251,166,134,551
"Tomball |.S.D., Trustee, Position 5",0173,2259,683,2942,3966,74.18%,445,439,763,1647
"Tomball |.S.D., Trustee, Position 5",0245,10,6,16,23,69.57%,4,2,1,7
"Tomball |.S.D., Trustee, Position 5",0442,970,275,1245,1721,72.34%,190,153,408,751
"Tomball |.S.D., Trustee, Position 5",0479,589,197,786,1091,72.04%,142,122,185,449
"Tomball |.S.D., Trustee, Position 5",0484,0,3,3,0,0.00%,1,0,0,1
"Tomball |.S.D., Trustee, Position 5",0485,2118,567,2685,4051,66.28%,534,446,530,1510
"Tomball |.S.D., Trustee, Position 5",0486,2310,721,3031,4195,72.25%,397,374,972,1743
"Tomball |.S.D., Trustee, Position 5",0529,2107,434,2541,3842,66.14%,593,266,588,1447
"Tomball |.S.D., Trustee, Position 5",0726,1271,321,1592,2207,72.13%,464,154,255,873
"Tomball |.S.D., Trustee, Position 5",0878,1,0,1,0,0.00%,0,0,0,0
"Tomball |.S.D., Trustee, Position 5",0903,1314,354,1668,2558,65.21%,346,251,314,911
"Tomball |.S.D., Trustee, Position 5",0915,0,0,0,0,0.00%,0,0,0,0
"Tomball |.S.D., Trustee, Position 5",0916,0,1,1,0,0.00%,0,0,0,0
"Tomball |.S.D., Trustee, Position 5",0926,550,149,699,967,72.29%,126,114,158,398
"Tomball |.S.D., Trustee, Position 5",0955,3522,572,4094,5099,80.29%,681,687,732,2100
"Tomball |.S.D., Trustee, Position 5",0982,1898,501,2399,2916,82.27%,527,348,425,1300
"Tomball |.S.D., Trustee, Position 5",0983,65,17,82,198,41.41,%,20,18,8,46
"Tomball |.S.D., Trustee, Position 5",Totals:,21915,5435,27350,38165,5352,3847,5770,14969
