Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Sam Gregson,Totals
"Tomball |.S.D., Trustee, Position 6",0114,806,177,983,1340,73.36%,482,482
"Tomball |.S.D., Trustee, Position 6",0126,1147,243,1390,1900,73.16%,654,654
"Tomball |.S.D., Trustee, Position 6",0127,978,214,1192,2091,57.01%,497,497
"Tomball |.S.D., Trustee, Position 6",0173,2259,683,2942,3966,74.18%,1503,1503
"Tomball |.S.D., Trustee, Position 6",0245,10,6,16,23,69.57%,7,7
"Tomball |.S.D., Trustee, Position 6",0442,970,275,1245,1721,72.34%,678,678
"Tomball |.S.D., Trustee, Position 6",0479,589,197,786,1091,72.04%,419,419
"Tomball |.S.D., Trustee, Position 6",0484,0,3,3,0,0.00%,1,1
"Tomball |.S.D., Trustee, Position 6",0485,2118,567,2685,4051,66.28%,1413,1413
"Tomball |.S.D., Trustee, Position 6",0486,2310,721,3031,4195,72.25%,1572,1572
"Tomball |.S.D., Trustee, Position 6",0529,2107,434,2541,3842,66.14%,1230,1230
"Tomball |.S.D., Trustee, Position 6",0726,1271,321,1592,2207,72.13%,751,751
"Tomball |.S.D., Trustee, Position 6",0878,1,0,1,0,0.00%,0,0
"Tomball |.S.D., Trustee, Position 6",0903,1314,354,1668,2558,65.21%,846,846
"Tomball |.S.D., Trustee, Position 6",0915,0,0,0,0,0.00%,0,0
"Tomball |.S.D., Trustee, Position 6",0916,0,1,1,0,0.00%,0,0
"Tomball |.S.D., Trustee, Position 6",0926,550,149,699,967,72.29%,358,358
"Tomball |.S.D., Trustee, Position 6",0955,3522,572,4094,5099,80.29%,1837,1837
"Tomball |.S.D., Trustee, Position 6",0982,1898,501,2399,2916,82.27%,1207,1207
"Tomball |.S.D., Trustee, Position 6",0983,55,17,82,198,41.41,%,39,39
"Tomball |.S.D., Trustee, Position 6",Totals;,21915,5435,27350,38165,13494,13494
