Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ted Poe,DEM Pat Bryan,LIB James B. Veasaw,GRN Joshua Darr,Totals
"United States Representative, District 2",0032,1255,504,1759,2728,64.48%,722,864,91,25,1702
"United States Representative, District 2",0033,2084,554,2638,3907,67.52%,967,1434,102,34,2537
"United States Representative, District 2",0034,1627,517,2144,3044,70.43%,485,1470,68,64,2087
"United States Representative, District 2",0037,1535,409,1945,2467,78.84%,679,1114,61,29,1883
"United States Representative, District 2",0038,1897,436,2333,3081,75.72%,813,1330,83,37,2263
"United States Representative, District 2",0039,1718,492,2210,3070,71.99%,630,1400,63,43,2136
"United States Representative, District 2",0040,281,107,388,527,73.62%,204,167,3,3,377
"United States Representative, District 2",0041,712,264,976,1518,64.30%,435,487,24,9,955
"United States Representative, District 2",0043,815,300,1115,1972,56.54%,484,542,23,20,1069
"United States Representative, District 2",0052,1413,456,1869,2581,72.41%,873,837,73,26,1809
"United States Representative, District 2",0054,1055,211,1266,1619,78.20%,635,560,24,9,1228
"United States Representative, District 2",0056,708,283,991,1393,71.14%,582,337,30,16,965
"United States Representative, District 2",0058,1725,484,2209,3031,72.88%,999,1033,78,28,2138
"United States Representative, District 2",0060,1487,537,2024,2766,73.17%,554,1285,74,55,1968
"United States Representative, District 2",0070,2297,670,2957,3815,77.77%,1748,1063,58,20,2889
"United States Representative, District 2",0071,2711,947,3658,5016,72.93%,1786,1559,168,29,3542
"United States Representative, District 2",0082,1589,756,2345,3539,66.26%,1664,547,70,17,2298
"United States Representative, District 2",0098,1386,594,1980,3161,62.64%,1657,251,27,11,1946
"United States Representative, District 2",0108,1462,448,1910,3674,51.99%,982,820,30,21,1853
"United States Representative, District 2",0110,1661,481,2142,3222,66.48%,1256,798,41,13,2108
"United States Representative, District 2",0112,1512,598,2110,3188,66.19%,1371,593,70,16,2050
"United States Representative, District 2",0113,1309,418,1727,2718,63.54%,901,728,43,19,1691
"United States Representative, District 2",0117,573,379,952,1900,50.11%,335,520,28,24,907
"United States Representative, District 2",0120,1837,588,2425,3732,64.98%,1430,845,55,20,2350
"United States Representative, District 2",0123,756,287,1043,1585,65.80%,271,679,40,27,1017
"United States Representative, District 2",0125,1207,400,1507,2593,61.97%,848,647,47,23,1565
"United States Representative, District 2",0148,1275,652,1928,2571,74.99%,815,998,41,18,1872
"United States Representative, District 2",0155,2292,576,2868,4065,70.55%,1801,921,57,13,2792
"United States Representative, District 2",0165,1171,469,1640,2460,66.67%,947,577,44,25,1593
"United States Representative, District 2",0179,772,244,1016,1673,60.73%,492,445,27,14,978
"United States Representative, District 2",0199,1932,815,2747,4063,67.61%,2114,498,78,21,2711
"United States Representative, District 2",0200,2323,377,2700,3692,73.13%,1225,1286,73,33,2617
"United States Representative, District 2",0204,2103,577,2580,3568,75.11%,1499,979,87,33,2598
"United States Representative, District 2",0222,1480,671,2151,2728,78.85%,1088,963,29,8,2088
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ted Poe,DEM Pat Bryan,LIB James B. Veasaw,GRN Joshua Darr,Totals
"United States Representative, District 2",0224,1179,495,1674,2313,72.37%,768,806,31,17,1622
"United States Representative, District 2",0244,1410,538,1948,3296,59.10%,929,892,51,23,1895
"United States Representative, District 2",0246,2212,482,2694,3971,67.84%,1700,869,48,26,2643
"United States Representative, District 2",0260,548,227,775,1300,59.62%,383,339,11,12,745
"United States Representative, District 2",0262,1852,676,2528,4397,57.49%,1380,968,67,30,2445
"United States Representative, District 2",0263,2210,665,2875,4016,71.59%,2064,673,51,28,2816
"United States Representative, District 2",0274,1271,311,1582,2223,71.17%,1005,465,41,24,1535
"United States Representative, District 2",0299,499,236,735,1506,48.80%,236,433,10,19,698
"United States Representative, District 2",0310,711,326,1037,1464,70.83%,641,324,23,8,996
"United States Representative, District 2",0313,23,8,31,61,50.82%,18,8,1,1,28
"United States Representative, District 2",0323,701,296,997,1793,55.61%,380,549,22,15,966
"United States Representative, District 2",0330,864,326,1190,2146,55.45%,547,568,24,13,1152
"United States Representative, District 2",0340,2047,654,2701,4012,67.32%,1966,603,52,29,2650
"United States Representative, District 2",0350,1592,582,2274,3269,69.56%,829,1258,54,38,2179
"United States Representative, District 2",0351,2851,570,3431,4799,71.49%,2643,644,71,14,3372
"United States Representative, District 2",0357,1884,557,2441,3685,66.24%,1812,524,41,23,2400
"United States Representative, District 2",0361,327,688,1015,1808,56.14%,157,769,26,6,958
"United States Representative, District 2",0363,1826,635,2461,4160,59.16%,1064,1294,36,19,2413
"United States Representative, District 2",0380,2739,551,3290,4380,75.11%,1771,1369,73,27,3240
"United States Representative, District 2",0388,2903,711,3614,5413,66.77%,1818,1618,57,34,3527
"United States Representative, District 2",0398,1753,654,2417,4200,57.55%,1081,1160,56,38,2335
"United States Representative, District 2",0407,1704,860,2564,3969,64.60%,1552,839,69,34,2494
"United States Representative, District 2",0421,1240,273,1513,2023,74.79%,751,679,28,17,1475
"United States Representative, District 2",0424,549,158,707,1079,65.52%,387,279,16,9,691
"United States Representative, District 2",0444,1624,679,2303,3625,63.53%,1283,857,57,26,2223
"United States Representative, District 2",0445,1038,382,1420,2134,66.54%,866,481,30,14,1391
"United States Representative, District 2",0446,89,45,134,309,43.37%,50,75,2,2,129
"United States Representative, District 2",0447,2411,464,2875,3727,77.14%,1926,813,63,17,2819
"United States Representative, District 2",0451,1723,367,2090,2771,75.42%,1678,331,23,6,2038
"United States Representative, District 2",0459,2371,432,2803,3942,71.11%,2147,527,69,18,2761
"United States Representative, District 2",0464,972,582,1554,2343,66.33%,980,481,41,16,1518
"United States Representative, District 2",0469,1880,462,2342,3257,71.91%,1819,420,51,15,2305
"United States Representative, District 2",0472,472,339,811,1131,71.71%,362,390,16,11,779
"United States Representative, District 2",0477,2029,640,2669,4010,66.56%,1845,679,62,20,2606
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ted Poe,DEM Pat Bryan,LIB James B. Veasaw,GRN Joshua Darr,Totals
"United States Representative, District 2",0478,2278,683,2961,4696,63.05%,1846,931,76,40,2893
"United States Representative, District 2",0479,1979,755,2734,3851,70.99%,1975,619,68,26,2688
"United States Representative, District 2",0482,2259,618,2877,4405,65.31%,1937,780,69,32,2818
"United States Representative, District 2",0484,2029,700,2729,3981,68.55%,1721,865,51,33,2670
"United States Representative, District 2",0493,1408,555,1963,3338,58.81%,746,1067,46,25,1884
"United States Representative, District 2",0496,687,549,1236,2325,53.16%,439,715,25,17,1196
"United States Representative, District 2",0500,1873,651,2524,3698,68.25%,1590,794,55,27,2466
"United States Representative, District 2",0513,1756,413,2169,3003,72.23%,1563,511,37,14,2125
"United States Representative, District 2",0514,2293,613,2906,4378,66.38%,1977,766,77,30,2850
"United States Representative, District 2",0515,1841,468,2309,3182,72.56%,1825,389,39,11,2264
"United States Representative, District 2",0516,1318,363,1681,2799,60.06%,827,756,43,20,1646
"United States Representative, District 2",0523,1983,537,2520,4027,62.58%,1566,788,62,32,2448
"United States Representative, District 2",0546,1525,278,1803,2471,72.97%,1550,218,17,5,1790
"United States Representative, District 2",0548,883,395,1278,2339,54.64%,570,629,22,22,1243
"United States Representative, District 2",0551,2593,793,3386,4428,76.47%,2551,706,54,10,3321
"United States Representative, District 2",0563,2075,337,2412,3468,69.55%,1872,439,49,13,2373
"United States Representative, District 2",0577,885,205,1090,1586,68.73%,654,367,25,17,1063
"United States Representative, District 2",0586,1791,790,2581,4521,57.09%,1484,930,61,36,2511
"United States Representative, District 2",0588,1945,606,2551,3780,67.49%,1690,741,47,20,2498
"United States Representative, District 2",0590,1231,400,1631,2176,74.95%,1279,271,27,14,1591
"United States Representative, District 2",0593,1562,755,2317,4179,55.44%,964,1204,45,27,2240
"United States Representative, District 2",0597,1206,609,1815,3587,50.60%,618,1060,44,18,1740
"United States Representative, District 2",0599,1378,493,1871,3005,62.26%,671,1093,39,26,1829
"United States Representative, District 2",0601,2226,670,2896,4151,69.77%,2097,675,52,21,2845
"United States Representative, District 2",0604,1818,375,2193,3189,68.77%,1844,257,33,13,2147
"United States Representative, District 2",0609,2039,729,2768,4305,64.30%,1608,994,54,41,2697
"United States Representative, District 2",0610,669,343,1012,2086,48.51%,426,517,18,12,973
"United States Representative, District 2",0612,1931,431,2362,3388,69.72%,1826,433,53,19,2331
"United States Representative, District 2",0621,539,200,739,1272,58.10%,310,367,20,14,711
"United States Representative, District 2",0622,2135,591,2726,4562,59.75%,1458,1093,49,26,2626
"United States Representative, District 2",0623,1963,461,2424,3919,61.85%,1524,766,50,30,2370
"United States Representative, District 2",0628,720,545,1265,2420,52.27%,448,718,18,13,1197
"United States Representative, District 2",0631,1846,398,2244,3263,68.77%,1485,631,47,21,2184
"United States Representative, District 2",0633,2286,601,2887,3912,73.80%,1971,773,59,22,2825
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ted Poe,DEM Pat Bryan,LIB James B. Veasaw,GRN Joshua Darr,Totals
"United States Representative, District 2",0634,1435,499,1934,3259,59.34%,1101,719,40,22,1882
"United States Representative, District 2",0635,1649,520,2169,3512,61.76%,1620,424,64,18,2126
"United States Representative, District 2",0636,2303,922,3225,4569,70.58%,2813,305,49,11,3178
"United States Representative, District 2",0648,1862,500,2362,3487,67.74%,1628,619,51,15,2313
"United States Representative, District 2",0658,1299,494,1793,2901,61.81%,1138,565,45,16,1764
"United States Representative, District 2",0659,2808,733,3541,5161,68.61%,2478,909,67,25,3479
"United States Representative, District 2",0661,1948,774,2722,4363,62.39%,1338,1214,62,39,2653
"United States Representative, District 2",0666,0,0,0,0,0.00%,0,0,0,0,0
"United States Representative, District 2",0668,1553,719,2272,3669,61.92%,1319,788,74,23,2204
"United States Representative, District 2",0669,1894,702,2596,3585,72.41%,1797,684,46,18,2545
"United States Representative, District 2",0670,2000,416,2416,3335,72.44%,1940,387,47,16,2390
"United States Representative, District 2",0671,1402,588,1990,3198,62.23%,1062,793,58,19,1932
"United States Representative, District 2",0674,2361,610,2971,4228,70.27%,2196,640,54,20,2910
"United States Representative, District 2",0584,1582,540,2322,3559,65.24%,1435,755,51,17,2258
"United States Representative, District 2",0687,1515,400,1916,2713,70.62%,1263,559,31,17,1870
"United States Representative, District 2",0689,729,604,1333,2449,54.43%,568,668,20,13,1269
"United States Representative, District 2",0694,1007,319,1326,2478,53.51%,529,715,26,16,1286
"United States Representative, District 2",0700,726,247,973,1536,63.35%,828,112,15,4,959
"United States Representative, District 2",0701,208,73,281,614,45.77%,122,129,4,6,261
"United States Representative, District 2",0707,377,69,446,757,58.92%,264,148,14,8,434
"United States Representative, District 2",0710,1139,450,1589,2096,75.81%,867,604,47,14,1532
"United States Representative, District 2",0730,1364,406,1770,2435,72.69%,1138,526,41,13,1718
"United States Representative, District 2",0758,2107,595,2702,3803,71.05%,2093,498,45,17,2653
"United States Representative, District 2",0759,1392,375,1767,2779,63.58%,1035,634,34,21,1724
"United States Representative, District 2",0760,1222,268,1490,2162,68.92%,1241,200,25,6,1472
"United States Representative, District 2",0761,1094,167,1261,1598,78.91%,923,287,23,4,1237
"United States Representative, District 2",0764,2474,677,3151,4827,65.28%,1950,1043,61,34,3088
"United States Representative, District 2",0771,572,210,782,1588,49.24%,341,387,19,13,760
"United States Representative, District 2",0776,1432,538,1970,3276,60.13%,1180,699,35,22,1936
"United States Representative, District 2",0802,54,21,75,224,33.48%,18,49,4,1,72
"United States Representative, District 2",0809,19,7,26,98,26.53%,12,13,0,0,25
"United States Representative, District 2",0823,1339,410,1749,3017,57.97%,941,691,46,26,1704
"United States Representative, District 2",0841,1474,475,1949,3431,56.81%,495,1353,27,20,1895
"United States Representative, District 2",0853,1640,487,2127,2986,71.23%,1591,448,45,15,2099
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ted Poe,DEM Pat Bryan,LIB James B. Veasaw,GRN Joshua Darr,Totals
"United States Representative, District 2",0874,1682,670,2352,3294,71.40%,1726,521,44,17,2308
"United States Representative, District 2",0876,1948,577,2525,3485,72.45%,1767,636,50,17,2470
"United States Representative, District 2",0880,1355,471,1825,2467,74.02%,1387,367,35,7,1796
"United States Representative, District 2",0885,1572,323,1895,2811,67.41%,1123,706,26,13,1868
"United States Representative, District 2",0888,817,289,1106,1867,59.24%,377,661,28,12,1078
"United States Representative, District 2",0895,421,252,673,834,80.70%,309,320,12,10,651
"United States Representative, District 2",0896,852,254,1106,1467,75.39%,396,635,21,18,1070
"United States Representative, District 2",0902,1317,361,1678,2217,75.69%,902,661,47,26,1636
"United States Representative, District 2",0904,2,0,2,8,25.00%,0,1,1,0,2
"United States Representative, District 2",0906,19,3,22,28,78.57%,11,10,0,1,22
"United States Representative, District 2",0911,237,63,300,576,52.08%,202,88,6,2,298
"United States Representative, District 2",0922,0,0,0,0,0.00%,0,0,0,0,0
"United States Representative, District 2",0939,1,1,2,4,50.00%,1,1,0,0,2
"United States Representative, District 2",0942,103,16,119,152,78.29%,83,34,1,0,118
"United States Representative, District 2",0964,2149,325,2474,3179,77.82%,1463,912,37,14,2426
"United States Representative, District 2",0967,82,24,106,186,56.99%,37,60,4,4,105
"United States Representative, District 2",0968,455,127,582,906,64.24%,138,416,7,8,569
"United States Representative, District 2",0971,0,0,0,0,0.00%,0,0,0,0,0
"United States Representative, District 2",0973,505,138,643,999,64.36%,422,181,20,7,630
"United States Representative, District 2",0979,0,0,0,0,0.00%,0,0,0,0,0
"United States Representative, District 2",0983,55,17,82,198,41.41,%,42,32,6,0,80
"United States Representative, District 2",1003,0,0,0,0,0.00%,0,0,0,0,0
"United States Representative, District 2",T0ta|s:,216199,69108,285307,429260,168692,100231,6429,2884,278236
