Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Brady,Totals
"United States Representative, District 8",0137,994,259,1253,1986,63.09%,910,910
"United States Representative, District 8",0245,2103,811,2914,4679,62.28%,2014,2014
"United States Representative, District 8",0452,1875,662,2537,3789,66.96%,1847,1847
"United States Representative, District 8",0485,2119,567,2686,4051,66.30%,2033,2033
"United States Representative, District 8",0486,2312,721,3033,4195,72.30%,2380,2380
"United States Representative, District 8",0539,811,234,1045,1535,68.08%,650,650
"United States Representative, District 8",0575,1908,535,2443,3557,68.68%,1571,1571
"United States Representative, District 8",0672,1727,489,2216,3433,64.55%,1641,1641
"United States Representative, District 8",0735,157,61,218,251,86.85%,142,142
"United States Representative, District 8",0788,2,0,2,13,15.38%,2,2
"United States Representative, District 8",0851,1887,441,2328,3597,64.72%,1679,1679
"United States Representative, District 8",0878,685,110,795,1039,76.52%,664,664
"United States Representative, District 8",0897,814,365,1179,1766,66.76%,707,707
"United States Representative, District 8",0903,1318,354,1672,2558,65.36%,1267,1267
"United States Representative, District 8",0915,0,0,0,0,0.00%,0,0
"United States Representative, District 8",0916,1472,308,1780,2205,80.73%,1415,1415
"United States Representative, District 8",0926,550,149,699,967,72.29%,523,523
"United States Representative, District 8",0955,3548,572,4120,5108,80.66%,3196,3196
"United States Representative, District 8",0998,24,12,36,68,52.94%,25,25
"United States Representative, District 8",Totals;,24306,6650,30956,44797,22666,22666
